"Modern State","Number of letters sent from this modern state to Budé this year from mutual correspondents of his and Erasmus (excl. Erasmus)","send_date_year1"
"France","2","NULL"
"France","1","1505"
"Italy","1","1510"
"France","1","1511"
"Belgium","1","1517"
"United Kingdom","1","1517"
"United Kingdom","2","1518"
"France","1","1519"
"Germany","1","1519"
"Italy","1","1519"
"France","4","1520"
"Belgium","1","1520"
"Italy","3","1520"
"France","2","1521"
"Italy","2","1521"
"Italy","1","1524"
"France","1","1524"
"Italy","1","1528"
"Belgium","1","1529"
"Switzerland","1","1530"
"Switzerland","1","1532"
"Belgium","1","1532"
"France","1","1533"
