"Modern State","Number of letters sent from this modern state to Erasmus this year from mutual correspondents of his and Budé (excl. Budé)","send_date_year1"
"France","1","1505"
"Italy","1","1506"
"France","1","1512"
"Germany","5","1514"
"France","1","1514"
"Germany","5","1515"
"France","1","1515"
"France","3","1516"
"Germany","2","1516"
"United Kingdom","9","1516"
"Italy","1","1517"
"Belgium","4","1517"
"United Kingdom","3","1517"
"France","6","1517"
"Germany","1","1517"
"United Kingdom","2","1518"
"Germany","2","1518"
"Belgium","1","1519"
"United Kingdom","1","1519"
"France","4","1519"
"Belgium","1","1520"
"Germany","1","1520"
"United Kingdom","5","1520"
"Belgium","1","1521"
"Belgium","6","1522"
"France","2","1522"
"Germany","1","1522"
"Belgium","1","1523"
"France","1","1523"
"Germany","1","1523"
"United Kingdom","1","1523"
"Belgium","1","1524"
"Italy","1","1524"
"United Kingdom","1","1524"
"Italy","1","1525"
"Belgium","1","1525"
"United Kingdom","1","1526"
"France","1","1526"
"Belgium","2","1526"
"France","2","1527"
"Belgium","3","1527"
"France","2","1528"
"Belgium","1","1528"
"Germany","2","1528"
"Spain","1","1529"
"France","1","1529"
"United Kingdom","2","1529"
"Belgium","1","1529"
"Italy","1","1529"
"Germany","1","1529"
"Unknown","1","1530"
"France","5","1530"
"Germany","1","1530"
"Switzerland","1","1531"
"Belgium","1","1531"
"France","4","1532"
"Germany","1","1532"
"Italy","1","1532"
"United Kingdom","1","1532"
"Germany","1","1533"
"Italy","1","1533"
"United Kingdom","1","1533"
"France","1","1533"
"Belgium","1","1534"
"Italy","2","1534"
"France","2","1534"
"Germany","1","1534"
"Italy","1","1535"
"France","1","1536"
