"Id"	"type"	"gender"	"viaf_id"	"name_in_edition"	"known_name_variations"	"known_name_variations_ref"	"pob_loc_id"	"pob_loc_annotation"	"pob_loc_annotation_ref"	"dob_year1"	"dob_month1"	"dob_day1"	"dob_computable1"	"dob_has_range"	"dob_year2"	"dob_month2"	"dob_day2"	"dob_computable2"	"dob_annotion"	"dob_annotion_ref"	"pod_loc_id"	"pod_loc_annotation"	"pod_loc_annotation_ref"	"dod_year1"	"dod_month1"	"dod_day1"	"dod_computable1"	"dod_has_range"	"dod_year2"	"dod_month2"	"dod_day2"	"dod_computable2"	"dod_annotion"	"dod_annotion_ref"	"further_annotation"
"auerbach_heinrich_viaf_69872391"	"individual"	"male"	"69872391"	"Heinrich STROMER [COE] // Heinrich Stromer [CWE] // Stromer, Henry [ALLEN]"	"Stromerus // Auerbachius // Auerbach"	"GND"	"auerbach_DE_gid_2954603"	"Auerbach"	"COE III, 291-292"	"1482"	NULL	NULL	"1482-01-01"	"1"	"1482"	NULL	NULL	"1482-12-31"	"1482"	"COE III, 291-292"	"leipzig_DE_gid_2879139"	"Leipzig"	"COE III, 291-292"	"1542"	"11"	"26"	"1541-11-26"	"0"	"1542"	"11"	"26"	"1541-11-26"	"26 November 1542"	"COE III, 291-292"	""
"peutinger_konrad_viaf_56776766"	"individual"	"male"	"56776766"	"Konrad PEUTINGER [COE] // Konrad Peutinger [CWE] // Peutinger, Conrad [ALLEN]"	"Peutingerus // Beyttinger // Peuthinerus // Pytingerus"	"GND"	"augsburg_DE_gid_2954172"	"Ausgburg"	"COE III, 74-76"	"1465"	"10"	"15"	"1465-10-15"	"0"	"1465"	"10"	"15"	"1465-10-15"	"15 October 1465"	"COE III, 74-76"	"augsburg_DE_gid_2954172"	"Augsburg"	"COE III, 74-76"	"1547"	"10"	"28"	"1547-10-28"	"0"	"1547"	"10"	"28"	"1547-10-28"	"28 October 1547"	"COE III, 74-76"	""
"basellius_nikolaus_viaf_30349975"	"individual"	"male"	"30349975"	"Nicolaus BASELLIUS [COE] // Nikolaus Basellius [CWE] // Basell, Nicholas [ALLEN]"	"Basell // Basellius"	"COE I, 98-99 // GND"	"bad_dürkheim_DE_gid_2953522"	"Bad Dürkheim"	"COE I, 98-99"	NULL	NULL	NULL	NULL	"1"	NULL	NULL	NULL	NULL	NULL	"COE I, 98-99"	"kloster_hirsau_DE_gid_unknown"	"Hirsau"	"GND"	"1532"	NULL	NULL	"1532-01-01"	"1"	"1532"	NULL	NULL	"1532-12-31"	"ca 1532"	"GND"	""
"camerarius_joachim_viaf_2495607"	"individual"	"male"	"2495607"	"Joachim CAMERARIUS [COE] // Joachim Camerarius [CWE] // Camerarius, Joachim the elder [ALLEN]"	"Joachim Camerarius der Ältere // Liebhard // Camerary // Kamerariades // Kammermeister // Camermeister // Kämmerer"	"GND // COE I, 247-248 // HGK I, 158"	"bamberg_DE_gid_2952984"	"Bamberg"	"HGK I, 158"	"1500"	"04"	"12"	"1500-04-12"	"0"	"1500"	"04"	"12"	"1500-04-12"	"12 April 1500"	"COE I, 247-248"	"leipzig_DE_gid_2879139"	"Leipzig"	"HGK I, 158"	"1574"	"04"	"17"	"1574-04-17"	"0"	"1574"	"04"	"17"	"1574-04-17"	"17 April 1574"	"COE I, 247-248"	""
"froben_hieronymus_viaf_32319505"	"individual"	"male"	"32319505"	"Hieronymus FROBEN [COE] // Hieronymus Froben [CWE] // Froben, Hieronymus [ALLEN]"	"Hieronymus Froben der Ältere // Frobensius"	"GND"	"basel_CH_gid_2661604"	"Basel"	"COE II, 58-60"	"1501"	"08"	"06"	"1501-08-06"	"0"	"1501"	"08"	"06"	"1501-08-06"	"6.8.1501"	"Historisches Lexikon der Schweiz"	"basel_CH_gid_2661604"	"Basel"	"COE II, 58-60"	"1563"	"03"	"13"	"1563-03-13"	"0"	"1563"	"03"	"13"	"1563-03-13"	"13.3.1563"	"Historisches Lexikon der Schweiz"	""
"melanchthon_philipp_viaf_76319978"	"individual"	"male"	"76319978"	"Philippus MELANCHTHON [COE] // Philippus Melanchthon [CWE] // Melanchthon, Philip [ALLEN]"	"Didymus Faventinus // Theophilus Neocomensis // Schwartzerd // Schwarzerd // Schwarzert // Schwarzerdt"	"GND"	"bretten_DE_gid_2944200"	"Bretten"	"COE II, 424-429"	"1497"	"02"	"16"	"1497-02-16"	"0"	"1497"	"02"	"16"	"1497-02-16"	"16 February 1497"	"COE II, 424-429"	"wittenberg_DE_gid_7303020"	"Wittenberg"	"COE II, 424-429"	"1560"	"04"	"19"	"1560-04-19"	"0"	"1560"	"04"	"19"	"1560-04-19"	"19 April 1560"	"COE II, 424-429"	""
"schade_peter_viaf_12457732"	"individual"	"male"	"12457732"	"Petrus MOSELLANUS [COE] // Petrus Mosellanus [CWE] // Mosellanus, Petrus (Schade) [ALLEN]"	"Peter Schade"	"COE II, 466-467"	"bruttig_DE_gid_2942976"	"Bruttig"	"COE II, 466-467"	"1493"	NULL	NULL	"1493-01-01"	"1"	"1494"	NULL	NULL	"1494-12-31"	"ca. 1493/94"	"Reuchlin BW Leseausgabe Bd.IV, 231"	"leipzig_DE_gid_2879139"	"Leipzig"	"COE II, 466-467"	"1524"	"04"	"19"	"1524-04-19"	"0"	"1524"	"04"	"19"	"1524-04-19"	"19 April 1524"	"COE II, 466-467"	""
"thüngen_konrad_ii_von_viaf_26411713"	"individual"	"male"	"26411713"	"Konrad von THÜNGEN [COE] // Konrad von Thüngen [CWE] // Thuengen, Conrad of [ALLEN]"	"Conradus Herbipolitanus"	"GND"	"burg_reußenberg_DE_gid_unknown"	"Burg Reussenberg"	"Landesbibliographie Baden-Württemberg"	"1466"	NULL	NULL	"1466-01-01"	"1"	"1466"	NULL	NULL	"1466-12-31"	"c 1466"	"COE III, 321-322"	"würzburg_DE_gid_2805615"	"Würzburg"	"COE III, 321-322"	"1540"	"06"	"16"	"1540-06-16"	"0"	"1540"	"06"	"16"	"1540-06-16"	"16 June 1540"	"COE III, 321-322"	""
"eck_johann_viaf_100185986"	"individual"	"male"	"100185986"	"Johann Maier of ECK [COE] // Johann Maier von Eck [CWE] // Eck, Johann [ALLEN]"	"Maier // Eckius // Mecke // Eck // Eccus // Eckcius // Mayr // Mair // Eccius // Eckius // Ekius // Ecke // Eeck // Eycken // Ecken // Maierus // Maioris"	"GND"	"egg_an_der_günz_DE_gid_2933168"	"Eck [Egg] an der Günz bei Ottobeuren/Schwaben"	"HGK I, 241"	"1486"	NULL	NULL	"1486-01-01"	"1"	"1486"	NULL	NULL	"1486-12-31"	"1486"	"COE I, 416-419"	"ingolstadt_DE_gid_2895992"	"Ingolstadt"	"HGK I, 241"	"1543"	"02"	"10"	"1543-02-10"	"0"	"1543"	"02"	"10"	"1543-02-10"	"10 February 1543"	"COE I, 416-419"	""
"pirckheimer_willibald_viaf_27173507"	"individual"	"male"	"27173507"	"Willibald PIRCKHEIMER [COE] // Willibald Pirckheimer [CWE] // Pirckheimer, Willibald [ALLEN]"	"Philadelphus // Cotta // Cottalambergius // Cottalembergius // Cotta Lembergius // Pirckheimer // Byrkhamer // Pirkeymerus // Pyrckheimerus // Pyrkheymerus // Birgheimerus // Birgheimer // Pirckheymer // Birckheimer // Pirckheimerus // Pirkheimer // Pirchaimerus // Pirckeymer // Bircamer // Birchheimer // Pirkheymer // Pirkamerus // Pirkeymer // Bircamerus // Birckhaimer // Pircheimerus // Pirckeymerus // Pirckeymherus // Pirckheymerus // Birckheymerus // Pircheymerus // Pirckheimherus // Pirckh"	"GND"	"eichstätt_DE_gid_2932069"	"Eichstätt"	"COE III, 90-94"	"1470"	"12"	"05"	"1470-12-05"	"0"	"1470"	"12"	"05"	"1470-12-05"	"5 December 1470"	"COE III, 90-94"	"nürnberg_DE_gid_2861650"	"Nürnberg"	"COE III, 90-94"	"1530"	"12"	"22"	"1530-12-22"	"0"	"1530"	"12"	"22"	"1530-12-22"	"22 December 1530"	"COE III, 90-94"	""
