locations_id	geonames_id	locations_name_modern	locations_name_in_edition	locations_modern_state	locations_modern_province	locations_lat	locations_lng	locations_ll_combined	locations_further_annotation
würzburg_DE_gid_2805615	2805615	Würzburg	Würzburg	Germany	Bavaria	49.79391	9.95121	49.79391, 9.95121	NULL
leipzig_DE_gid_2879139	2879139	Leipzig	Leipzig	Germany	Saxony	51.33962	12.37129	51.33962, 12.37129	NULL
wittenberg_DE_gid_7303020	7303020	Wittenberg	Wittenberg	Germany	Saxony-Anhalt	51.8661	12.64973	51.8661, 12.64973	NULL
erfurt_DE_gid_2929670	2929670	Erfurt	Erfurt	Germany	Thuringia	50.9787	11.03283	50.9787, 11.03283	NULL
nürnberg_DE_gid_2861650	2861650	Nürnberg	Nürnberg	Germany	Bavaria	49.45421	11.07752	49.45421, 11.07752	NULL
basel_CH_gid_2661604	2661604	Basel	Basel	Switzerland	Basel-City	47.5584	7.57327	47.5584, 7.57327	NULL
kornburg_DE_gid_2885443	2885443	Kornburg	Kornburg	Germany	Bavaria	49.35521	11.09885	49.35521, 11.09885	NULL
eichstätt_DE_gid_2932069	2932069	Eichstätt	Eichstätt	Germany	Bavaria	48.88854	11.19675	48.88854, 11.19675	NULL
stuttgart_DE_gid_2825297	2825297	Stuttgart	Stuttgart	Germany	Baden-Württemberg	48.78232	9.17702	48.78232, 9.17702	NULL
ingolstadt_DE_gid_2895992	2895992	Ingolstadt	Ingolstadt	Germany	Bavaria	48.76508	11.42372	48.76508, 11.42372	NULL
antwerpen_BE_gid_2803138	2803138	Antwerpen	Antwerpen	Belgium	Flemish	51.21989	4.40346	51.21989, 4.40346	NULL
leuven_BE_gid_2792482	2792482	Leuven	Louvain	Belgium	Flemish	50.87959	4.70093	50.87959, 4.70093	NULL
brussels_BE_gid_2800866	2800866	Brussels	Brussels	Belgium	Brussels Capital	50.85045	4.34878	50.85045, 4.34878	NULL
mainz_DE_gid_2874225	2874225	Mainz	Mainz	Germany	Rheinland-Pfalz	49.98419	8.2791	49.98419, 8.2791	NULL
grimma_DE_gid_2917325	2917325	Grimma	Grimma	Germany	Saxony	51.23367	12.71959	51.23367, 12.71959	NULL
pavia_IT_gid_3171366	3171366	Pavia	[Pavia]	Italy	Lombardy	45.19205	9.15917	45.19205, 9.15917	NULL
