letters_id	letter_no_in_edition	sender_id	sender_as_marked	sender_inferred	sender_uncertain	recipient_id	recipient_as_marked	recipient_inferred	recipient_uncertain	label	send_date_year1	send_date_month1	send_date_day1	send_date_computable1	send_date_has_range	send_date_year2	send_date_month2	send_date_day2	send_date_computable2	send_date_as_marked	send_date_inferred	send_date_approx	send_date_uncertain	source_loc_id	source_loc_as_marked	source_loc_inferred	source_loc_uncertain	target_loc_id	target_loc_as_marked	target_loc_inferred	target_loc_uncertain	letter_language	letter_type_genus	letter_type_x_to_x	further_annotation
era_cwe_1981	1981 [CWE] // 1981 [ALLEN]	melanchthon_philipp_viaf_76319978	Philippus Melanchthon [CWE]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	1981 From Philippus Melanchthon Jena, 23 March 1528 [CWE]	1528	03	23	1528-03-23	0	1528	03	23	1528-03-23	23 March 1528 [CWE]	0	0	0	jena_DE_gid_2895044	Jena [CWE]	0	0	basel_CH_gid_2661604	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_1982	1982 [CWE] // 1982 [ALLEN]	melanchthon_philipp_viaf_76319978	Philippus Melanchthon [CWE]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	1982 From Philippus Melanchthon Jena, 23 March [1528] [CWE]	1528	03	23	1528-03-23	0	1528	03	23	1528-03-23	23 March [1528] [CWE]	1	0	0	jena_DE_gid_2895044	Jena [CWE]	0	0	basel_CH_gid_2661604	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_1930	1930 [CWE] // 1930 [ALLEN]	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer [CWE]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	1930 From Willibald Pirckheimer [Nürnberg, 19 January 1528] [CWE]	1528	01	19	1528-01-19	0	1528	01	19	1528-01-19	[19 January 1528] [CWE]	1	0	0	nürnberg_DE_gid_2861650	[Nürnberg] [CWE]	1	0	basel_CH_gid_2661604	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
wpirck_bw_1176	1176	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer	0	0	neuenar_hermann_graf_von_viaf_18164526	Graf Hermann von Neuenahr	0	0	P., Widmungsepistel zu Gregor von Nazianz,↵zwei Reden gegen Kaiser Julian,↵an Graf Hermann von Neuenahr. Lat. Druck. Nürnberg, Ende Mai 1528	1528	05	NULL	1528-05-20	1	1528	05	NULL	1528-05-31	Ende Mai 1528	1	0	0	nürnberg_DE_gid_2861650	Nürnberg	0	0	köln_DE_gid_2886242	Köln	1	1	latin	dedicatory letter	letter_1_to_1	
wpirck_bw_1186	1186	hessus_helius_eobanus_viaf_71412338	Helius Eobanus Hessus	0	0	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer	0	0	Helius Eobanus Hessus, Widmungselegie zu↵„Bucolicorum Idyllia XII", an P. Lat. Druck.↵<Nürnberg, spätestens August 1528>	1528	NULL	NULL	1528-01-01	1	1528	NULL	NULL	1528-08-31	<spätestens August 1528>	1	0	1	nürnberg_DE_gid_2861650	<Nürnberg>	1	0	nürnberg_DE_gid_2861650	Nürnberg	1	1	latin	dedicatory letter	letter_1_to_1	
wpirck_bw_1175	1175	venatorius_thomas_viaf_43677502	Thomas Venatorius	0	0	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer	0	0	Thomas Venatorius an P. Lat. Autogr. ↵<Nürnberg, vor 31. Mai 1528>	1528	NULL	NULL	1528-05-01	1	1528	NULL	NULL	1528-05-30	<vor 31. Mai 1528>	1	0	0	nürnberg_DE_gid_2861650	<Nürnberg>	1	0	nürnberg_DE_gid_2861650	Nürnberg	1	1	latin	familiar letter	letter_1_to_1	belongs to the time range when Pirckheimer was translating the oratories of Julian, cf. Pirckheimer BW VII, p. 95
wpirck_bw_1197	1197	venatorius_thomas_viaf_43677502	Thomas Venatorius	0	0	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer	0	0	Thomas Venatorius an P. Lat. Druck. <Nürnberg, ca. November 1528>	1528	11	NULL	1528-11-01	1	1528	11	NULL	1528-11-30	<ca. November 1528>	1	1	0	nürnberg_DE_gid_2861650	<Nürnberg>	1	0	nürnberg_DE_gid_2861650	Nürnberg	1	1	latin	familiar letter	letter_1_to_1	
era_cwe_1926	1926 [CWE] // 1926 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	neuenar_hermann_graf_von_viaf_18164526	Hermann von Neuenahr [CWE]	0	0	1926 To Hermann von Neuenahr Basel, 3 January 1528 [CWE]	1528	01	03	1528-01-03	0	1528	01	03	1528-01-03	3 January 1528 [CWE]	0	0	0	basel_CH_gid_2661604	Basel [CWE]	0	0	köln_DE_gid_2886242	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_1944	1944 [CWE] // 1944 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	melanchthon_philipp_viaf_76319978	Philippus Melanchthon [CWE]	0	0	1944 To Philippus Melanchthon Basel, 5 February 1528 [CWE]	1528	02	05	1528-02-05	0	1528	02	05	1528-02-05	5 February 1528 [CWE]	0	0	0	basel_CH_gid_2661604	Basel [CWE]	0	0	jena_DE_gid_2895044	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_1945	1945 [CWE] // 1945 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	camerarius_joachim_viaf_2495607	Joachim Camerarius [CWE]	0	0	1945 To Joachim Camerarius Basel, [c 5 February] 1528 [CWE]	1528	02	05	1528-02-05	0	1528	02	05	1528-02-05	[c 5 February] 1528 [CWE]	1	1	0	basel_CH_gid_2661604	Basel [CWE]	0	0	nürnberg_DE_gid_2861650	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_1974	1974 [CWE] // 1974 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	cochlæus_johannes_viaf_121589726	Johannes Cochlaeus [CWE]	0	0	1974 To Johannes Cochlaeus Basel, 19 March 1528 [CWE]	1528	03	19	1528-03-19	0	1528	03	19	1528-03-19	19 March 1528 [CWE]	0	0	0	basel_CH_gid_2661604	Basel [CWE]	0	0	dresden_DE_gid_2935022	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_1977	1977 [CWE] // 1977 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer [CWE]	0	0	1977 To Willibald Pirckheimer Basel, 20 March 1528 [CWE]	1528	03	20	1528-03-20	0	1528	03	20	1528-03-20	20 March 1528 [CWE]	0	0	0	basel_CH_gid_2661604	Basel [CWE]	0	0	nürnberg_DE_gid_2861650	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_1988	1988 [CWE] // 1988 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	cochlæus_johannes_viaf_121589726	Johannes Cochlaeus [CWE]	0	0	1988 To Johannes Cochlaeus Basel, 3 April 1528 [CWE]	1528	04	03	1528-04-03	0	1528	04	03	1528-04-03	3 April 1528 [CWE]	0	0	0	basel_CH_gid_2661604	Basel [CWE]	0	0	dresden_DE_gid_2935022	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_1991	1991 [CWE] // 1991 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer [CWE]	0	0	1991 To Willibald Pirckheimer Basel, 24 April 1528 [CWE]	1528	04	24	1528-04-24	0	1528	04	24	1528-04-24	24 April 1528 [CWE]	0	0	0	basel_CH_gid_2661604	Basel [CWE]	0	0	nürnberg_DE_gid_2861650	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_1992	1992 [CWE] // 1992 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer [CWE]	0	0	1992 To Willibald Pirckheimer Basel, 1 May 1528 [CWE]	1528	05	01	1528-05-01	0	1528	05	01	1528-05-01	1 May 1528 [CWE]	0	0	0	basel_CH_gid_2661604	Basel [CWE]	0	0	nürnberg_DE_gid_2861650	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_1997	1997 [CWE] // 1997 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer [CWE]	0	0	1997 To Willibald Pirckheimer Basel, 28 May 1528 [CWE]	1528	05	28	1528-05-28	0	1528	05	28	1528-05-28	28 May 1528 [CWE]	0	0	0	basel_CH_gid_2661604	Basel [CWE]	0	0	nürnberg_DE_gid_2861650	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_2028	2028 [CWE] // 2028 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer [CWE]	0	0	2028 To Willibald Pirckheimer Basel, 25 August 1528 [CWE]	1528	08	25	1528-08-25	0	1528	08	25	1528-08-25	25 August 1528 [CWE]	0	0	0	basel_CH_gid_2661604	Basel [CWE]	0	0	nürnberg_DE_gid_2861650	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
