correspondents_id	type	gender	viaf_id	Label	known_name_variations	known_name_variations_ref	pob_loc_id	pob_loc_annotation	pob_loc_annotation_ref	dob_year1	dob_month1	dob_day1	dob_computable1	dob_has_range	dob_year2	dob_month2	dob_day2	dob_computable2	dob_annotion	dob_annotion_ref	pod_loc_id	pod_loc_annotation	pod_loc_annotation_ref	dod_year1	dod_month1	dod_day1	dod_computable1	dod_has_range	dod_year2	dod_month2	dod_day2	dod_computable2	dod_annotion	dod_annotion_ref	further_annotation
thüngen_konrad_ii_von_viaf_26411713	individual	male	26411713	Konrad von THÜNGEN	Conradus Herbipolitanus	GND	burg_reußenberg_DE_gid_unknown	Burg Reussenberg	Landesbibliographie Baden-Württemberg	1466	NULL	NULL	1466-01-01	1	1466	NULL	NULL	1466-12-31	c 1466	COE III, 321-322	würzburg_DE_gid_2805615	Würzburg	COE III, 321-322	1540	06	16	1540-06-16	0	1540	06	16	1540-06-16	16 June 1540	COE III, 321-322	
pirckheimer_willibald_viaf_27173507	individual	male	27173507	Willibald PIRCKHEIMER	Philadelphus // Cotta // Cottalambergius // Cottalembergius // Cotta Lembergius // Pirckheimer // Byrkhamer // Pirkeymerus // Pyrckheimerus // Pyrkheymerus // Birgheimerus // Birgheimer // Pirckheymer // Birckheimer // Pirckheimerus // Pirkheimer // Pirchaimerus // Pirckeymer // Bircamer // Birchheimer // Pirkheymer // Pirkamerus // Pirkeymer // Bircamerus // Birckhaimer // Pircheimerus // Pirckeymerus // Pirckeymherus // Pirckheymerus // Birckheymerus // Pircheymerus // Pirckheimherus // Pirckh	GND	eichstätt_DE_gid_2932069	Eichstätt	COE III, 90-94	1470	12	05	1470-12-05	0	1470	12	05	1470-12-05	5 December 1470	COE III, 90-94	nürnberg_DE_gid_2861650	Nürnberg	COE III, 90-94	1530	12	22	1530-12-22	0	1530	12	22	1530-12-22	22 December 1530	COE III, 90-94	
lotzer_johann_(1)_viaf_37256989	individual	male	37256989	Johann (I) LOTZER	Locerus	COE II, 350	horb_am_neckar_DE_gid_2899101	Horb	COE II, 350	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	COE II, 350	unknown_location_XX_gid_unknown	Unknown	COE II, 350	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	COE II, 350	
zasius_ulrich_viaf_61645489	individual	male	61645489	Udalricus ZASIUS	Zasy // Zäsy // Zazius	GND // COE III, 469-473	konstanz_DE_gid_2885679	Konstanz	GND	1461	NULL	NULL	1461-01-01	1	1461	NULL	NULL	1461-12-31	1461	COE III, 469-473	freiburg_DE_gid_2925177	Freiburg im Breisgau	GND	1535	11	24	1535-11-24	0	1535	11	24	1535-11-24	24 November 1535	COE III, 469-473	
glareanus_henricus_viaf_73950690	individual	male	73950690	Henricus GLAREANUS	Loriti // Loritz // Loris // Loritus // Glarean	GND	mollis_CH_gid_2659636	Mollis/Glarus	HGK I, 304	1488	06	NULL	1488-06-01	1	1488	06	NULL	1488-06-30	June 1488	COE II, 105-108	freiburg_DE_gid_2925177	Freiburg i. Br.	HGK I, 304	1563	03	27	1563-03-27	1	1563	03	28	1563-03-28	27/8 March 1563	COE II, 105-108	
erasmus_desiderius_viaf_95982394	individual	male	95982394	ERASMUS	NULL	NULL	rotterdam_NL_gid_2747891	bei Rotterdam	HGK I, 250	1469	NULL	NULL	1469-01-01	1	NULL	NULL	NULL	1469-12-31	1469	HGK I, 250	basel_CH_gid_2661604	Basel	HGK I, 250	1536	NULL	NULL	1536-01-01	1	1536	NULL	NULL	1536-12-31	1536	HGK I 250	
rhenanus_beatus_viaf_39415982	individual	male	39415982	BEATUS Rhenanus	Rinower // Licentius Evangelus // Bild // Selezestadiensis // Selestadiensis // Bildius	COE I, 104-109 // GND	sélestat_FR_gid_2975233	Sélestat	COE I, 104-109	1485	08	22	1485-08-22	0	1485	08	22	1485-08-22	22 August 1485	COE I, 104-109	strasbourg_FR_gid_2973783	Strasbourg	COE I, 104-109	1547	07	20	1547-07-20	0	1547	07	20	1547-07-20	20 July 1547	COE I, 104-109	
spiegel_jakob_viaf_24846746	individual	male	24846746	Jakob SPIEGEL	Spiegellius // Spiegell // Spiegelius // Speculis // Spigel // Specularis	GND // COE III, 270-272	sélestat_FR_gid_2975233	Sélestat	COE III, 270-272	1483	NULL	NULL	1483-01-01	1	1483	NULL	NULL	1483-12-31	c 1483	COE III, 270-272	unknown_location_XX_gid_unknown	Unknown	COE III, 270-272	1547	07	01	1547-07-01	1	NULL	NULL	NULL	NULL	after 30 June 1547	COE III, 270-272	
spalatin_georg_viaf_240011410	individual	male	240011410	Georgius SPALATINUS	Burckhardt // Burkhardt // Burckard // Burkhard // Burkard // Burckart // Burckard // Spalatin // Burghardt // Burchardus	GND	spalt_DE_gid_2830849	Spalt	COE III, 266-268	1484	01	17	1484-01-17	0	1484	01	17	1484-01-17	17 January 1484	COE III, 266-268	altenburg_DE_gid_2957773	Altenburg	COE III, 266-268	1545	01	16	1545-01-16	0	1545	01	16	1545-01-16	16 January 1545	COE III, 266-268	
neuenar_hermann_graf_von_viaf_18164526	individual	male	18164526	Hermann von NEUENAHR	Neuenar // Nuenar // Newenaer // Nova Aquila	GND	unknown_location_in_germany_DE_gid_unknown	Unknown	COE III, 14-15	1492	NULL	NULL	1492-01-01	1	1492	NULL	NULL	1492-12-31	c 1492	COE III, 14-15	augsburg_DE_gid_2954172	Augsburg	COE III, 14-15	1530	10	30	1530-10-30	0	1530	10	30	1530-10-30	30 October 1530	COE III, 14-15	
egnazio_giovanni_battista_viaf_100187526	individual	male	100187526	Giambattista EGNAZIO	Cipelli // Cipolles // Aegnatius // Egnatius // Egnace // Egnatio	GND	venice_IT_gid_3164603	Venice	COE I, 424-425	1478	NULL	NULL	1478-01-01	1	1478	NULL	NULL	1478-12-31	1478	COE I, 424-425	unknown_location_XX_gid_unknown	Unknown	COE I, 424-425	1553	07	04	1553-07-04	0	1553	07	04	1553-07-04	4 July 1553	COE I, 424-425	
balthasar_konstanz_bischof_viaf_42723378	individual	male	42723378	Balthasar MERKLIN	Mercklin	COE II, 434-435	waldkirch_DE_gid_2814883	Waldkirch, near Freiburg	COE II, 434-435	1479	NULL	NULL	1479-01-01	1	1479	NULL	NULL	1479-12-31	c 1479	COE II, 434-435	trier_DE_gid_2821164	Trier	COE II, 434-435	1531	05	28	1531-05-28	0	1531	05	28	1531-05-28	28 May 1531	COE II, 434-435	
oecolampadius_johann_viaf_56634092	individual	male	56634092	Johannes OECOLAMPADIUS	Oecolampadius // Ökolampadius // Heussgen // Hausschein // Haußschein // Hußschin // Oecolampade // Oecolompadius // Ocolampadius // Oecolamp. // Oekolampad // Hussgen // Husschin // Hußschyn // Oekolampadius // Icolampadius // Ecolampadius // Decolampadios // Ecolampade // Huszgen // Ecolampadio	GND	weinsberg_DE_gid_2812158	Weinsberg	COE III, 24-27	1482	NULL	NULL	1482-01-01	1	1482	NULL	NULL	1482-12-31	1482	COE III, 24-27	basel_CH_gid_2661604	Basel	COE III, 24-27	1531	11	22	1531-11-22	1	1531	11	23	1531-11-23	22/3 November 1531	COE III, 24-27	
cochlæus_johannes_viaf_121589726	individual	male	121589726	Johannes COCHLAEUS	Dobnek // Cocleus // Cochleus // Cochläus // Dobeneck // Dobenek Wendelstenius	GND	wendelstein_DE_gid_2811292	Wendelstein bei Schwabach/Mittelfranken	HGK I, 189	1479	NULL	NULL	1479-01-01	1	1479	NULL	NULL	1479-12-31	1479	HGK I, 189	wrocław_PL_gid_3081368	Breslau	HGK I, 189	1552	01	10	1552-01-10	0	1552	01	10	1552-01-10	10 January 1552	COE I, 321-322	
