Id	letter_no_in_edition	source	sender_as_marked	sender_inferred	sender_uncertain	target	recipient_as_marked	recipient_inferred	recipient_uncertain	label	send_date_year1	send_date_month1	send_date_day1	send_date_computable1	send_date_has_range	send_date_year2	send_date_month2	send_date_day2	send_date_computable2	send_date_as_marked	send_date_inferred	send_date_approx	send_date_uncertain	source_loc_id	source_loc_as_marked	source_loc_inferred	source_loc_uncertain	target_loc_id	target_loc_as_marked	target_loc_inferred	target_loc_uncertain	letter_language	letter_type_genus	letter_type_x_to_x	further_annotation
wpirck_bw_293	293	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer	0	0	neuenar_hermann_graf_von_viaf_18164526	Hermann von Neuenahr	0	0	An denselben? Lat. Konzept. S. d. [etwa Anfang 1514]	1514	NULL	NULL	1514-01-01	1	1514	NULL	NULL	1514-02-28	S. d. [etwa Anfang 1514]	1	1	0	unknown_location_XX_gid_unknown	s. l.	0	1	köln_DE_gid_2886242	Köln	1	1	latin	familiar letter	letter_1_to_1	recipient uncertain
wpirck_bw_294	294	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer	0	0	neuenar_hermann_graf_von_viaf_18164526	Hermann von Neuenahr	0	0	An denselben? Lat. Konzept. S. d. [1514?]	1514	NULL	NULL	1514-01-01	1	1514	NULL	NULL	1514-12-31	S. d. [1514?]	1	0	1	unknown_location_XX_gid_unknown	s. l.	0	1	köln_DE_gid_2886242	Köln	1	1	latin	familiar letter	letter_1_to_1	recipient uncertain
wpirck_bw_295	295	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer	0	0	neuenar_hermann_graf_von_viaf_18164526	Hermann von Neuenahr	0	0	An denselben? Lat. Konzept. S. d. [1514?]	1514	NULL	NULL	1514-01-01	1	1514	NULL	NULL	1514-12-31	S. d. [1514?]	1	0	1	unknown_location_XX_gid_unknown	s. l.	0	1	köln_DE_gid_2886242	Köln	1	1	latin	familiar letter	letter_1_to_1	recipient uncertain
wpirck_bw_321	321	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer	0	0	spalatin_georg_viaf_240011410	Georg Spalatin (?)	1	1	An Georg Spalatin (?). Lat. Konzept S. d. [etwa 28.6.1514]	1514	06	28	1514-06-28	0	1514	06	28	1514-06-28	S. d. [etwa 28.6.1514]	1	1	1	unknown_location_XX_gid_unknown	s. l.	0	1	wittenberg_DE_gid_7303020	Wittenberg	1	1	latin	familiar letter	letter_1_to_1	recipient uncertain
wpirck_bw_322	322	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer	0	0	frederick_iii_elector_of_saxony_viaf_316392243	Kurfürst Friedrich der Weise von Sachsen	0	0	An Kurfürst Friedrich den Weisen von Sachsen. Dtsch. Orig. Nbg., 28.6.1514	1514	06	28	1514-06-28	0	1514	06	28	1514-06-28	28.6.1514	0	0	0	nürnberg_DE_gid_2861650	Nürnberg	0	0	wittenberg_DE_gid_7303020	Wittenberg	1	1	german	familiar letter	letter_1_to_1	
wpirck_bw_341	341	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer	0	0	bannicius_jacobus_viaf_72207021	Jakob de Bannissis	0	0	An Jakob de Bannissis (Widmung). Lat. Druck. Nürnberg, 1.12.1514	1514	12	01	1514-12-01	0	1514	12	01	1514-12-01	1.12.1514	0	0	0	nürnberg_DE_gid_2861650	Nürnberg	0	0	unknown_location_XX_gid_unknown	NULL	0	1	latin	dedicatory letter	letter_1_to_1	
wpirck_bw_342	342	pirckheimer_willibald_viaf_27173507	Willibald Pirckheimer	0	0	rhenanus_beatus_viaf_39415982	Beatus Rhenanus	0	0	An Beatus Rhenanus. Lat. Abschrift. Nbg., 9.12.1514	1514	12	09	1514-12-09	0	1514	12	09	1514-12-09	9.12.1514	0	0	0	nürnberg_DE_gid_2861650	Nürnberg	0	0	basel_CH_gid_2661604	Basel	1	1	latin	familiar letter	letter_1_to_1	
era_cwe_303	303 [CWE] // 303 [ALLEN]	zasius_ulrich_viaf_61645489	Udalricus Zasius [CWE]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	303 From Udalricus Zasius Freiburg im Breisgau, 7 September 1514 [CWE]	1514	09	07	1514-09-07	0	1514	09	07	1514-09-07	7 September 1514 [CWE]	0	0	0	freiburg_DE_gid_2925177	Freiburg im Breisgau [CWE]	0	0	basel_CH_gid_2661604	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_306	306 [CWE] // 306 [ALLEN]	zasius_ulrich_viaf_61645489	Udalricus Zasius [CWE]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	306 From Udalricus Zasius Freiburg im Breisgau, 21 September 1514 [CWE]	1514	09	21	1514-09-21	0	1514	09	21	1514-09-21	21 September 1514 [CWE]	0	0	0	freiburg_DE_gid_2925177	Freiburg im Breisgau [CWE]	0	0	basel_CH_gid_2661604	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_310	310 [CWE] // 310 [ALLEN]	zasius_ulrich_viaf_61645489	Udalricus Zasius [CWE]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	310 From Udalricus Zasius Freiburg im Breisgau, 11 October [1514] [CWE]	1514	10	11	1514-10-11	0	1514	10	11	1514-10-11	11 October [1514] [CWE]	1	0	0	freiburg_DE_gid_2925177	Freiburg im Breisgau [CWE]	0	0	basel_CH_gid_2661604	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_317	317 [CWE] // 317 [ALLEN]	zasius_ulrich_viaf_61645489	Udalricus Zasius [CWE]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	317 From Udalricus Zasius Freiburg im Breisgau, 7 November 1514 [CWE]	1514	11	07	1514-11-07	0	1514	11	07	1514-11-07	7 November 1514 [CWE]	0	0	0	freiburg_DE_gid_2925177	Freiburg im Breisgau [CWE]	0	0	basel_CH_gid_2661604	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_319	319 [CWE] // 319 [ALLEN]	zasius_ulrich_viaf_61645489	Udalricus Zasius [CWE]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	319 From Udalricus Zasius Freiburg im Breisgau, 22 December 1514 [CWE]	1514	12	22	1514-12-22	0	1514	12	22	1514-12-22	22 December 1514 [CWE]	0	0	0	freiburg_DE_gid_2925177	Freiburg im Breisgau [CWE]	0	0	basel_CH_gid_2661604	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_290	290 [CWE] // 290 [ALLEN]	reuchlin_johann_viaf_66542815	Johann Reuchlin [CWE]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	290 From Johann Reuchlin Frankfurt, April 1514 [CWE]	1514	04	NULL	1514-04-01	1	1514	04	NULL	1514-04-20	April 1514 [CWE]	0	0	0	frankfurt_am_main_DE_gid_2925533	Frankfurt [CWE]	0	0	london_GB_gid_2643743	NULL	1	0	latin	familiar letter	letter_1_to_1	the Reuchlin BW provides us with the 20th of april as a terminus ante quem : CK
era_cwe_300	300 [CWE] // 300 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	reuchlin_johann_viaf_66542815	Johann Reuchlin [CWE]	0	0	300 To Johann Reuchlin [Basel, August 1514] [CWE]	1514	08	NULL	1514-08-15	1	1514	08	NULL	1514-08-31	[August 1514] [CWE]	1	0	0	basel_CH_gid_2661604	[Basel] [CWE]	1	0	stuttgart_DE_gid_2825297	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cwe_307	307 [CWE] // 307 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [CWE]	0	0	zasius_ulrich_viaf_61645489	Udalricus Zasius [CWE]	0	0	307 To Udalricus Zasius Basel, 23 September [1514] [CWE]	1514	09	23	1514-09-23	0	1514	09	23	1514-09-23	23 September [1514] [CWE]	1	0	0	basel_CH_gid_2661604	Basel [CWE]	0	0	freiburg_DE_gid_2925177	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
