Id	geonames_id	locations_name_modern	locations_name_in_edition	locations_modern_state	locations_modern_province	locations_lat	locations_lng	locations_ll_combined	locations_further_annotation
ingolstadt_DE_gid_2895992	2895992	Ingolstadt	Ingolstadt	Germany	Bavaria	48.76508	11.42372	48.76508, 11.42372	NULL
nürnberg_DE_gid_2861650	2861650	Nürnberg	Nürnberg	Germany	Bavaria	49.45421	11.07752	49.45421, 11.07752	NULL
rome_IT_gid_3169070	3169070	Rome	Rome	Italy	Latium	41.89193	12.51133	41.89193, 12.51133	NULL
freiburg_DE_gid_2925177	2925177	Freiburg	Freiburg	Germany	Baden-Württemberg	47.9959	7.85222	47.9959, 7.85222	NULL
stuttgart_DE_gid_2825297	2825297	Stuttgart	Stuttgart	Germany	Baden-Württemberg	48.78232	9.17702	48.78232, 9.17702	NULL
leuven_BE_gid_2792482	2792482	Leuven	Louvain	Belgium	Flemish	50.87959	4.70093	50.87959, 4.70093	NULL
basel_CH_gid_2661604	2661604	Basel	Basel	Switzerland	Basel-City	47.5584	7.57327	47.5584, 7.57327	NULL
augsburg_DE_gid_2954172	2954172	Augsburg	Augsburg	Germany	Bavaria	48.37154	10.89851	48.37154,10.89851	NULL
köln_DE_gid_2886242	2886242	Köln	Cologne	Germany	North Rhine-Westphalia	50.93333	6.95	50.93333, 6.95	NULL
waischenfeld_DE_gid_2815297	2815297	Waischenfeld	Waischenfeld	Germany	Bavaria	49.84645	11.3481	49.84645, 11.3481	NULL
