Id	type	gender	viaf_id	Label	known_name_variations	known_name_variations_ref	pob_loc_id	pob_loc_annotation	pob_loc_annotation_ref	dob_year1	dob_month1	dob_day1	dob_computable1	dob_has_range	dob_year2	dob_month2	dob_day2	dob_computable2	dob_annotion	dob_annotion_ref	pod_loc_id	pod_loc_annotation	pod_loc_annotation_ref	dod_year1	dod_month1	dod_day1	dod_computable1	dod_has_range	dod_year2	dod_month2	dod_day2	dod_computable2	dod_annotion	dod_annotion_ref	further_annotation
camerarius_joachim_viaf_2495607	individual	male	2495607	Joachim CAMERARIUS	Joachim Camerarius der Ältere // Liebhard // Camerary // Kamerariades // Kammermeister // Camermeister // Kämmerer	GND // COE I, 247-248 // HGK I, 158	bamberg_DE_gid_2952984	Bamberg	HGK I, 158	1500	04	12	1500-04-12	0	1500	04	12	1500-04-12	12 April 1500	COE I, 247-248	leipzig_DE_gid_2879139	Leipzig	HGK I, 158	1574	04	17	1574-04-17	0	1574	04	17	1574-04-17	17 April 1574	COE I, 247-248	
pirckheimer_willibald_viaf_27173507	individual	male	27173507	Willibald PIRCKHEIMER	Philadelphus // Cotta // Cottalambergius // Cottalembergius // Cotta Lembergius // Pirckheimer // Byrkhamer // Pirkeymerus // Pyrckheimerus // Pyrkheymerus // Birgheimerus // Birgheimer // Pirckheymer // Birckheimer // Pirckheimerus // Pirkheimer // Pirchaimerus // Pirckeymer // Bircamer // Birchheimer // Pirkheymer // Pirkamerus // Pirkeymer // Bircamerus // Birckhaimer // Pircheimerus // Pirckeymerus // Pirckeymherus // Pirckheymerus // Birckheymerus // Pircheymerus // Pirckheimherus // Pirckh	GND	eichstätt_DE_gid_2932069	Eichstätt	COE III, 90-94	1470	12	05	1470-12-05	0	1470	12	05	1470-12-05	5 December 1470	COE III, 90-94	nürnberg_DE_gid_2861650	Nürnberg	COE III, 90-94	1530	12	22	1530-12-22	0	1530	12	22	1530-12-22	22 December 1530	COE III, 90-94	
hessus_helius_eobanus_viaf_71412338	individual	male	71412338	Helius EOBANUS Hessus	Koch // Hesse // Hessi // Hess // von Frankenberg	GND	halgehausen_DE_gid_2911550	Halgehausen bei Frankenberg/Hessen	HGK I, 248	1488	01	06	1488-01-06	0	1488	01	06	1488-01-06	6 January 1488	COE I, 434-436	marburg_an_der_lahn_DE_gid_2873759	Marburg/Lahn	HGK I, 248	1540	10	04	1540-10-04	0	1540	10	04	1540-10-04	4 October 1540	COE I, 434-436	
schweiß_alexander_von_viaf_89934990	individual	male	89934990	Alexander SCHWEISS	Schweis	COE III, 235-236	herborn_DE_gid_2906199	Herborn, in Hesse	COE III, 235-236	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	COE III, 235-236	unknown_location_XX_gid_unknown	Unknown	COE III, 235-236	1533	NULL	NULL	1533-01-01	1	1536	NULL	NULL	1536-12-31	1533-6	COE III, 235-236	
zasius_ulrich_viaf_61645489	individual	male	61645489	Udalricus ZASIUS	Zasy // Zäsy // Zazius	GND // COE III, 469-473	konstanz_DE_gid_2885679	Konstanz	GND	1461	NULL	NULL	1461-01-01	1	1461	NULL	NULL	1461-12-31	1461	COE III, 469-473	freiburg_DE_gid_2925177	Freiburg im Breisgau	GND	1535	11	24	1535-11-24	0	1535	11	24	1535-11-24	24 November 1535	COE III, 469-473	
venatorius_thomas_viaf_43677502	individual	male	43677502	Thomas VENATORIUS	Jagauf // Gechauf // Gechauff // Jäger // Ventorius // Jagauf // Venator	GND	nürnberg_DE_gid_2861650	Nürnberg	COE III, 382-383	1488	01	01	1488-01-01	1	1488	12	31	1488-12-31	c 1488	COE III, 382-383	nürnberg_DE_gid_2861650	Nürnberg	COE III, 382-383	1551	02	04	1551-02-04	0	1551	02	04	1551-02-04	4 February 1551	COE III, 382-383	
erasmus_desiderius_viaf_95982394	individual	male	95982394	ERASMUS	NULL	NULL	rotterdam_NL_gid_2747891	bei Rotterdam	HGK I, 250	1469	NULL	NULL	1469-01-01	1	NULL	NULL	NULL	1469-12-31	1469	HGK I, 250	basel_CH_gid_2661604	Basel	HGK I, 250	1536	NULL	NULL	1536-01-01	1	1536	NULL	NULL	1536-12-31	1536	HGK I 250	
pellicanus_konrad_viaf_41862976	individual	male	41862976	Conradus PELLICANUS	Pellican // Pelicanus // Pellikan // Pelican // Pelikaan // Pilicanus // Kürsner // Kürschner // Kurscherer	GND	rouffach_FR_gid_2982636	Rufach/Oberelsass	Deutsche Biographie	1478	01	08	1478-01-08	0	1478	01	08	1478-01-08	8 January 1478	COE III, 65-66	zürich_CH_gid_2657896	Zürich	Deutsche Biographie	1556	04	06	1556-04-06	0	1556	04	06	1556-04-06	6 April 1556	COE III, 65-66	
bucer_martin_viaf_2478527	individual	male	2478527	Martin BUCER	Butzer // Trew // Treu // Trewe // Bucerus // Butger // Felinus Aretius	GND	sélestat_FR_gid_2975233	Schlettstadt/Elsaß	HGK I, 137	1491	11	11	1491-11-11	0	1491	11	11	1491-11-11	11 November 1491	COE I, 209-212	cambridge_GB_gid_2653941	Cambridge	HGK I, 137	1551	02	27	1551-02-27	1	1551	02	28	1551-02-28	27/8 February 1551	COE I, 209-212	
spalatin_georg_viaf_240011410	individual	male	240011410	Georgius SPALATINUS	Burckhardt // Burkhardt // Burckard // Burkhard // Burkard // Burckart // Burckard // Spalatin // Burghardt // Burchardus	GND	spalt_DE_gid_2830849	Spalt	COE III, 266-268	1484	01	17	1484-01-17	0	1484	01	17	1484-01-17	17 January 1484	COE III, 266-268	altenburg_DE_gid_2957773	Altenburg	COE III, 266-268	1545	01	16	1545-01-16	0	1545	01	16	1545-01-16	16 January 1545	COE III, 266-268	
egnazio_giovanni_battista_viaf_100187526	individual	male	100187526	Giambattista EGNAZIO	Cipelli // Cipolles // Aegnatius // Egnatius // Egnace // Egnatio	GND	venice_IT_gid_3164603	Venice	COE I, 424-425	1478	NULL	NULL	1478-01-01	1	1478	NULL	NULL	1478-12-31	1478	COE I, 424-425	unknown_location_XX_gid_unknown	Unknown	COE I, 424-425	1553	07	04	1553-07-04	0	1553	07	04	1553-07-04	4 July 1553	COE I, 424-425	
nausea_friedrich_viaf_248203874	individual	male	248203874	Fridericus NAUSEA	Blancicampianus // Grau // Grawe // Graf // Philalethus Eusebianus	GND	waischenfeld_DE_gid_2815297	Waischenfeld	COE III, 7-8	1496	NULL	NULL	1496-01-01	1	NULL	NULL	NULL	1496-12-31	c 1496	CERL Thesaurus	trento_IT_gid_3165243	Trent	COE III, 7-8	1552	02	06	1552-02-06	0	1552	02	06	1552-02-06	6 February 1552	COE III, 7-8	
emser_hieronymus_viaf_19702295	individual	male	19702295	Hieronymus EMSER	Emßer // Embser // Empse // Emsser	GND	weidenstetten_DE_gid_2812958	Weidenstetten bei Ulm	HGK I, 246	1479	03	28	1479-03-28	0	1479	03	28	1479-03-28	28 March 1479	COE I, 429-430	dresden_DE_gid_2935022	Dresden	HGK I, 246	1527	12	08	1527-12-08	0	1527	12	08	1527-12-08	8 December 1527	COE I, 429-430	HGK I gibt abweichend 1478 als DoB an
oecolampadius_johann_viaf_56634092	individual	male	56634092	Johannes OECOLAMPADIUS	Oecolampadius // Ökolampadius // Heussgen // Hausschein // Haußschein // Hußschin // Oecolampade // Oecolompadius // Ocolampadius // Oecolamp. // Oekolampad // Hussgen // Husschin // Hußschyn // Oekolampadius // Icolampadius // Ecolampadius // Decolampadios // Ecolampade // Huszgen // Ecolampadio	GND	weinsberg_DE_gid_2812158	Weinsberg	COE III, 24-27	1482	NULL	NULL	1482-01-01	1	1482	NULL	NULL	1482-12-31	1482	COE III, 24-27	basel_CH_gid_2661604	Basel	COE III, 24-27	1531	11	22	1531-11-22	1	1531	11	23	1531-11-23	22/3 November 1531	COE III, 24-27	
