Id	letter_no_in_edition	source	sender_as_marked	sender_inferred	sender_uncertain	target	recipient_as_marked	recipient_inferred	recipient_uncertain	label	send_date_year1	send_date_month1	send_date_day1	send_date_computable1	send_date_has_range	send_date_year2	send_date_month2	send_date_day2	send_date_computable2	send_date_as_marked	send_date_inferred	send_date_approx	send_date_uncertain	source_loc_id	source_loc_as_marked	source_loc_inferred	source_loc_uncertain	target_loc_id	target_loc_as_marked	target_loc_inferred	target_loc_uncertain	letter_language	letter_type_genus	letter_type_x_to_x	further_annotation
era_allen_2492	2492 [ALLEN]	pflug_julius_von_viaf_3265533	Julius Pflug [ALLEN]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [ALLEN]	0	0	2492 From Julius Pflug, Leipzig, 12 May 1531 [ALLEN]	1531	05	12	1531-05-12	0	1531	05	12	1531-05-12	12 May 1531 [ALLEN]	0	0	0	leipzig_DE_gid_2879139	Leipzig [ALLEN]	0	0	freiburg_DE_gid_2925177	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_allen_2537	2537 [ALLEN]	venatorius_thomas_viaf_43677502	Thomas Venatorius [ALLEN]	0	0	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [ALLEN]	0	0	2537 From Thomas Venatorius, Nürnberg, 6 Sept. 1531 [ALLEN]	1531	09	06	1531-09-06	0	1531	09	06	1531-09-06	6 Sept. 1531 [ALLEN]	0	0	0	nürnberg_DE_gid_2861650	Nürnberg [ALLEN]	0	0	freiburg_DE_gid_2925177	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_allen_2428	2428 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [ALLEN]	0	0	thüngen_konrad_ii_von_viaf_26411713	Conrad of Thuengen [ALLEN]	0	0	2428 To Conrad of Thuengen, Freiburg, 21 Feb. 1531 [ALLEN]	1531	02	21	1531-02-21	0	1531	02	21	1531-02-21	21 Feb. 1531 [ALLEN]	0	0	0	freiburg_DE_gid_2925177	Freiburg [ALLEN]	0	0	würzburg_DE_gid_2805615	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_allen_2446	2446 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [ALLEN]	0	0	hessus_helius_eobanus_viaf_71412338	Helius Eobanus [ALLEN]	0	0	2446 To Helius Eobanus, Freiburg, 12 March 1531 [ALLEN]	1531	03	12	1531-03-12	0	1531	03	12	1531-03-12	12 March 1531 [ALLEN]	0	0	0	freiburg_DE_gid_2925177	Freiburg [ALLEN]	0	0	nürnberg_DE_gid_2861650	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_allen_2448	2448 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [ALLEN]	0	0	egnazio_giovanni_battista_viaf_100187526	Baptista Egnatius [ALLEN]	0	0	2448 To Baptista Egnatius, Freiburg, 13 March 1531 [ALLEN]	1531	03	13	1531-03-13	0	1531	03	13	1531-03-13	13 March 1531 [ALLEN]	0	0	0	freiburg_DE_gid_2925177	Freiburg [ALLEN]	0	0	venice_IT_gid_3164603	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_allen_2451	2451 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [ALLEN]	0	0	pflug_julius_von_viaf_3265533	Julius Pflug [ALLEN]	0	0	2451 To Julius Pflug, Freiburg, 14 March 1531 [ALLEN]	1531	03	14	1531-03-14	0	1531	03	14	1531-03-14	14 March 1531 [ALLEN]	0	0	0	freiburg_DE_gid_2925177	Freiburg [ALLEN]	0	0	leipzig_DE_gid_2879139	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_allen_2457	2457 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [ALLEN]	0	0	thüngen_konrad_ii_von_viaf_26411713	Conrad of Thuengen [ALLEN]	0	0	2457 To Conrad of Thuengen, Freiburg, 17 March 1531 [ALLEN]	1531	03	17	1531-03-17	0	1531	03	17	1531-03-17	17 March 1531 [ALLEN]	0	0	0	freiburg_DE_gid_2925177	Freiburg [ALLEN]	0	0	würzburg_DE_gid_2805615	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_allen_2495	2495 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [ALLEN]	0	0	hessus_helius_eobanus_viaf_71412338	Helius Eobanus [ALLEN]	0	0	2495 To Helius Eobanus, Freiburg, 17 May 1531 [ALLEN]	1531	05	17	1531-05-17	0	1531	05	17	1531-05-17	17 May 1531 [ALLEN]	0	0	0	freiburg_DE_gid_2925177	Freiburg [ALLEN]	0	0	nürnberg_DE_gid_2861650	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_allen_2522	2522 [ALLEN]	erasmus_desiderius_viaf_95982394	Erasmus of Rotterdam [ALLEN]	0	0	pflug_julius_von_viaf_3265533	Julius Pflug [ALLEN]	0	0	2522 To Julius Pflug, Freiburg, 20 Aug. 1531 [ALLEN]	1531	08	20	1531-08-20	0	1531	08	20	1531-08-20	20 Aug. 1531 [ALLEN]	0	0	0	freiburg_DE_gid_2925177	Freiburg [ALLEN]	0	0	leipzig_DE_gid_2879139	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
era_cde_2518a	2518A [CDE]	erasmus_desiderius_viaf_95982394	Erasme [CDE]	0	0	hessus_helius_eobanus_viaf_71412338	Helius Eobanus [CDE]	0	0	2518A À Helius Eobanus, Fribourg, 11 août 1531 [CDE]	1531	08	11	1531-08-11	0	1531	08	11	1531-08-11	11 août 1531 [CDE]	0	0	0	freiburg_DE_gid_2925177	Fribourg [CDE]	0	0	nürnberg_DE_gid_2861650	NULL	1	0	latin	familiar letter	letter_1_to_1	NULL
