"Id","Label","locations_modern_state","locations_modern_province","locations_lat","locations_lng"
"altenburg_DE_gid_2957773","Altenburg","Germany","Thuringia","50.98763","12.43684"
"altomünster_abbey_DE_gid_unknown","Altomünster Abbey","Germany","Bavaria","48.38844","11.2573"
"antwerpen_BE_gid_2803138","Antwerpen","Belgium","Flemish","51.21989","4.40346"
"augsburg_DE_gid_2954172","Augsburg","Germany","Bavaria","48.37154","10.89851"
"basel_CH_gid_2661604","Basel","Switzerland","Basel-City","47.5584","7.57327"
"bologna_IT_gid_3181928","Bologna","Italy","Emilia-Romagna","44.49381","11.33875"
"brugge_BE_gid_2800931","Brugge","Belgium","Flemish","51.20892","3.22424"
"brussels_BE_gid_2800866","Brussels","Belgium","Brussels Capital","50.85045","4.34878"
"calais_FR_gid_3029162","Calais","France","Hauts-de-France","50.95194","1.85635"
"dresden_DE_gid_2935022","Dresden","Germany","Saxony","51.05089","13.73832"
"erfurt_DE_gid_2929670","Erfurt","Germany","Thuringia","50.9787","11.03283"
"frankfurt_am_main_DE_gid_2925533","Frankfurt am Main","Germany","Hesse","50.11552","8.68417"
"freiburg_DE_gid_2925177","Freiburg","Germany","Baden-Württemberg","47.9959","7.85222"
"glarus_CH_gid_2660594","Glarus","Switzerland","Glarus","47.04057","9.06804"
"heidelberg_DE_gid_2907911","Heidelberg","Germany","Baden-Württemberg","49.40768","8.69079"
"ingolstadt_DE_gid_2895992","Ingolstadt","Germany","Bavaria","48.76508","11.42372"
"jena_DE_gid_2895044","Jena","Germany","Thuringia","50.92878","11.5899"
"köln_DE_gid_2886242","Köln","Germany","North Rhine-Westphalia","50.93333","6.95"
"langenargen_DE_gid_2881263","Langenargen","Germany","Baden-Württemberg","47.59858","9.54163"
"leipzig_DE_gid_2879139","Leipzig","Germany","Saxony","51.33962","12.37129"
"leuven_BE_gid_2792482","Leuven","Belgium","Flemish","50.87959","4.70093"
"lochau_DE_gid_2876645","Lochau","Germany","Saxony-Anhalt","51.39738","12.05303"
"london_GB_gid_2643743","London","United Kingdom","England","51.50853","-0.12574"
"mainz_DE_gid_2874225","Mainz","Germany","Rheinland-Pfalz","49.98419","8.2791"
"mulhouse_FR_gid_2991214","Mulhouse","France","Alsace-Champagne-Ardenne-Lorraine","47.75","7.33333"
"nürnberg_DE_gid_2861650","Nürnberg","Germany","Bavaria","49.45421","11.07752"
"paris_FR_gid_2988507","Paris","France","Île-de-France","48.85341","2.3488"
"passau_DE_gid_2855328","Passau","Germany","Bavaria","48.5665","13.43122"
"rome_IT_gid_3169070","Rome","Italy","Latium","41.89193","12.51133"
"saint_omer_FR_gid_2977845","Saint-Omer","France","Hauts-de-France","50.75","2.25"
"siena_IT_gid_3166548","Siena","Italy","Tuscany","43.31822","11.33064"
"speyer_DE_gid_2830582","Speyer","Germany","Rheinland-Pfalz","49.32083","8.43111"
"strasbourg_FR_gid_2973783","Strasbourg","France","Alsace-Champagne-Ardenne-Lorraine","48.58342","7.74296"
"stuttgart_DE_gid_2825297","Stuttgart","Germany","Baden-Württemberg","48.78232","9.17702"
"torgau_DE_gid_2821807","Torgau","Germany","Saxony","51.56016","12.99617"
"tübingen_DE_gid_2820860","Tübingen","Germany","Baden-Württemberg","48.52266","9.05222"
"venice_IT_gid_3164603","Venice","Italy","Veneto","45.43713","12.33265"
"vienna_AT_gid_2761369","Vienna","Austria","Vienna","48.20849","16.37208"
"weinsberg_DE_gid_2812158","Weinsberg","Germany","Baden-Württemberg","49.15127","9.28762"
"wesel_DE_gid_2810678","Wesel","Germany","North-Rhine-Westphalia","51.6669","6.62037"
"wittenberg_DE_gid_7303020","Wittenberg","Germany","Saxony-Anhalt","51.8661","12.64973"
"worms_DE_gid_2806142","Worms","Germany","Rheinland-Pfalz","49.63278","8.35916"
"würzburg_DE_gid_2805615","Würzburg","Germany","Bavaria","49.79391","9.95121"
"zeitz_DE_gid_2804922","Zeitz","Germany","Saxony-Anhalt","51.04962","12.1369"
"zürich_CH_gid_2657896","Zürich","Switzerland","Zurich","47.36667","8.55"
