"Id","Label","locations_modern_state","locations_modern_province","locations_lat","locations_lng"
"altenburg_DE_gid_2957773","Altenburg","Germany","Thuringia","50.98763","12.43684"
"antwerpen_BE_gid_2803138","Antwerp","Belgium","Flanders","51.21989","4.40346"
"augsburg_DE_gid_2954172","Augsburg","Germany","Bavaria","48.37154","10.89851"
"basel_CH_gid_2661604","Basel","Switzerland","Basel-City","47.5584","7.57327"
"bologna_IT_gid_3181928","Bologna","Italy","Emilia-Romagna","44.49381","11.33875"
"dresden_DE_gid_2935022","Dresden","Germany","Saxony","51.05089","13.73832"
"erfurt_DE_gid_2929670","Erfurt","Germany","Thuringia","50.9787","11.03283"
"ferrara_IT_gid_3177090","Ferrara","Italy","Emilia-Romagna","44.84346","11.60868"
"frankfurt_am_main_DE_gid_2925533","Frankfurt am Main","Germany","Hesse","50.11552","8.68417"
"freiburg_DE_gid_2925177","Freiburg im Breisgau","Germany","Baden-Wurttemberg","47.9959","7.85222"
"ingolstadt_DE_gid_2895992","Ingolstadt","Germany","Bavaria","48.76508","11.42372"
"köln_DE_gid_2886242","Cologne","Germany","North Rhine-Westphalia","50.93333","6.95"
"leipzig_DE_gid_2879139","Leipzig","Germany","Saxony","51.33962","12.37129"
"leuven_BE_gid_2792482","Leuven","Belgium","Flanders","50.87959","4.70093"
"mainz_DE_gid_2874225","Mainz","Germany","Rheinland-Pfalz","49.98419","8.2791"
"neunhof_DE_gid_2864443","Neunhof","Germany","Bavaria","49.55495","11.23017"
"nürnberg_DE_gid_2861650","Nuremberg","Germany","Bavaria","49.45421","11.07752"
"rome_IT_gid_3169070","Rome","Italy","Lazio","41.89193","12.51133"
"sélestat_FR_gid_2975233","Sélestat","France","Grand Est","48.26667","7.45"
"strasbourg_FR_gid_2973783","Strasbourg","France","Grand Est","48.58342","7.74296"
"stuttgart_DE_gid_2825297","Stuttgart","Germany","Baden-Wurttemberg","48.78232","9.17702"
"tübingen_DE_gid_2820860","Tübingen","Germany","Baden-Wurttemberg","48.52266","9.05222"
"venice_IT_gid_3164603","Venice","Italy","Veneto","45.43713","12.33265"
"waischenfeld_DE_gid_2815297","Waischenfeld","Germany","Bavaria","49.84645","11.3481"
"weinsberg_DE_gid_2812158","Weinsberg","Germany","Baden-Wurttemberg","49.15127","9.28762"
"wittenberg_DE_gid_7303020","Wittenberg","Germany","Saxony-Anhalt","51.8661","12.64973"
