"Source","Target"
"leipzig_DE_gid_2879139","basel_CH_gid_2661604"
"frankfurt_am_main_DE_gid_2925533","london_GB_gid_2643743"
"mainz_DE_gid_2874225","leuven_BE_gid_2792482"
"steinheim_castle_DE_gid_unknown","leuven_BE_gid_2792482"
"augsburg_DE_gid_2954172","freiburg_DE_gid_2925177"
"augsburg_DE_gid_2954172","freiburg_DE_gid_2925177"
"augsburg_DE_gid_2954172","basel_CH_gid_2661604"
"augsburg_DE_gid_2954172","basel_CH_gid_2661604"
"kloster_hirsau_DE_gid_11398244","basel_CH_gid_2661604"
"wittenberg_DE_gid_7303020","basel_CH_gid_2661604"
"wittenberg_DE_gid_7303020","basel_CH_gid_2661604"
"jena_DE_gid_2895044","basel_CH_gid_2661604"
"jena_DE_gid_2895044","basel_CH_gid_2661604"
"augsburg_DE_gid_2954172","freiburg_DE_gid_2925177"
"wittenberg_DE_gid_7303020","freiburg_DE_gid_2925177"
"leipzig_DE_gid_2879139","basel_CH_gid_2661604"
"tübingen_DE_gid_2820860","antwerpen_BE_gid_2803138"
"leipzig_DE_gid_2879139","leuven_BE_gid_2792482"
"leipzig_DE_gid_2879139","antwerpen_BE_gid_2803138"
"leipzig_DE_gid_2879139","leuven_BE_gid_2792482"
"würzburg_DE_gid_2805615","freiburg_DE_gid_2925177"
"augsburg_DE_gid_2954172","freiburg_DE_gid_2925177"
"ingolstadt_DE_gid_2895992","leuven_BE_gid_2792482"
"nürnberg_DE_gid_2861650","antwerpen_BE_gid_2803138"
"nürnberg_DE_gid_2861650","basel_CH_gid_2661604"
"nürnberg_DE_gid_2861650","basel_CH_gid_2661604"
"nürnberg_DE_gid_2861650","basel_CH_gid_2661604"
"nürnberg_DE_gid_2861650","basel_CH_gid_2661604"
"nürnberg_DE_gid_2861650","basel_CH_gid_2661604"
"nürnberg_DE_gid_2861650","freiburg_DE_gid_2925177"
"nürnberg_DE_gid_2861650","frankfurt_am_main_DE_gid_2925533"
"nürnberg_DE_gid_2861650","basel_CH_gid_2661604"
"nürnberg_DE_gid_2861650","basel_CH_gid_2661604"
"nürnberg_DE_gid_2861650","antwerpen_BE_gid_2803138"
"nürnberg_DE_gid_2861650","antwerpen_BE_gid_2803138"
"nürnberg_DE_gid_2861650","antwerpen_BE_gid_2803138"
"nürnberg_DE_gid_2861650","leuven_BE_gid_2792482"
"nürnberg_DE_gid_2861650","leuven_BE_gid_2792482"
"wittenberg_DE_gid_7303020","basel_CH_gid_2661604"
"wittenberg_DE_gid_7303020","leuven_BE_gid_2792482"
"leipzig_DE_gid_2879139","freiburg_DE_gid_2925177"
"zeitz_DE_gid_2804922","freiburg_DE_gid_2925177"
"rome_IT_gid_3169070","leuven_BE_gid_2792482"
"rome_IT_gid_3169070","antwerpen_BE_gid_2803138"
"rome_IT_gid_3169070","brussels_BE_gid_2800866"
"rome_IT_gid_3169070","brussels_BE_gid_2800866"
"rome_IT_gid_3169070","leuven_BE_gid_2792482"
"basel_CH_gid_2661604","leuven_BE_gid_2792482"
"halle_(saale)_DE_gid_2911522","leuven_BE_gid_2792482"
"nürnberg_DE_gid_2861650","basel_CH_gid_2661604"
"mainz_DE_gid_2874225","basel_CH_gid_2661604"
"strasbourg_FR_gid_2973783","basel_CH_gid_2661604"
"strasbourg_FR_gid_2973783","basel_CH_gid_2661604"
"basel_CH_gid_2661604","antwerpen_BE_gid_2803138"
"basel_CH_gid_2661604","antwerpen_BE_gid_2803138"
"basel_CH_gid_2661604","leuven_BE_gid_2792482"
"basel_CH_gid_2661604","antwerpen_BE_gid_2803138"
"heidelberg_DE_gid_2907911","freiburg_DE_gid_2925177"
"freiburg_DE_gid_2925177","leuven_BE_gid_2792482"
"freiburg_DE_gid_2925177","basel_CH_gid_2661604"
"freiburg_DE_gid_2925177","freiburg_DE_gid_2925177"
"freiburg_DE_gid_2925177","freiburg_DE_gid_2925177"
"freiburg_DE_gid_2925177","freiburg_DE_gid_2925177"
"freiburg_DE_gid_2925177","freiburg_DE_gid_2925177"
"freiburg_DE_gid_2925177","basel_CH_gid_2661604"
"freiburg_DE_gid_2925177","basel_CH_gid_2661604"
"freiburg_DE_gid_2925177","basel_CH_gid_2661604"
"freiburg_DE_gid_2925177","basel_CH_gid_2661604"
"freiburg_DE_gid_2925177","basel_CH_gid_2661604"
"freiburg_DE_gid_2925177","basel_CH_gid_2661604"
"freiburg_DE_gid_2925177","basel_CH_gid_2661604"
"freiburg_DE_gid_2925177","basel_CH_gid_2661604"
"freiburg_DE_gid_2925177","basel_CH_gid_2661604"
"freiburg_DE_gid_2925177","basel_CH_gid_2661604"
"freiburg_DE_gid_2925177","basel_CH_gid_2661604"
"freiburg_DE_gid_2925177","basel_CH_gid_2661604"
"freiburg_DE_gid_2925177","basel_CH_gid_2661604"
"antwerpen_BE_gid_2803138","leuven_BE_gid_2792482"
"rome_IT_gid_3169070","basel_CH_gid_2661604"
"langenargen_DE_gid_2881263","basel_CH_gid_2661604"
"freiburg_DE_gid_2925177","basel_CH_gid_2661604"
"freiburg_DE_gid_2925177","basel_CH_gid_2661604"
"basel_CH_gid_2661604","antwerpen_BE_gid_2803138"
"basel_CH_gid_2661604","brussels_BE_gid_2800866"
"paris_FR_gid_2988507","leuven_BE_gid_2792482"
"nürnberg_DE_gid_2861650","freiburg_DE_gid_2925177"
"strasbourg_FR_gid_2973783","basel_CH_gid_2661604"
"strasbourg_FR_gid_2973783","basel_CH_gid_2661604"
"strasbourg_FR_gid_2973783","basel_CH_gid_2661604"
"strasbourg_FR_gid_2973783","basel_CH_gid_2661604"
"strasbourg_FR_gid_2973783","basel_CH_gid_2661604"
"strasbourg_FR_gid_2973783","basel_CH_gid_2661604"
"strasbourg_FR_gid_2973783","basel_CH_gid_2661604"
"frankfurt_am_main_DE_gid_2925533","london_GB_gid_2643743"
"stuttgart_DE_gid_2825297","antwerpen_BE_gid_2803138"
"tübingen_DE_gid_2820860","antwerpen_BE_gid_2803138"
"basel_CH_gid_2661604","basel_CH_gid_2661604"
"basel_CH_gid_2661604","basel_CH_gid_2661604"
"zürich_CH_gid_2657896","basel_CH_gid_2661604"
"mainz_DE_gid_2874225","leuven_BE_gid_2792482"
"basel_CH_gid_2661604","basel_CH_gid_2661604"
"basel_CH_gid_2661604","saint_omer_FR_gid_2977845"
"basel_CH_gid_2661604","london_GB_gid_2643743"
"basel_CH_gid_2661604","antwerpen_BE_gid_2803138"
"basel_CH_gid_2661604","antwerpen_BE_gid_2803138"
"basel_CH_gid_2661604","antwerpen_BE_gid_2803138"
"basel_CH_gid_2661604","london_GB_gid_2643743"
"basel_CH_gid_2661604","leuven_BE_gid_2792482"
"strasbourg_FR_gid_2973783","freiburg_DE_gid_2925177"
"sélestat_FR_gid_2975233","freiburg_DE_gid_2925177"
"augsburg_DE_gid_2954172","basel_CH_gid_2661604"
"torgau_DE_gid_2821807","freiburg_DE_gid_2925177"
"lochau_DE_gid_2876645","brussels_BE_gid_2800866"
"altenburg_DE_gid_2957773","leuven_BE_gid_2792482"
"steckelberg_castle_DE_gid_unknown","leuven_BE_gid_2792482"
"ebernburg_castle_DE_gid_unknown","leuven_BE_gid_2792482"
"worms_DE_gid_2806142","basel_CH_gid_2661604"
"bamberg_DE_gid_2952984","leuven_BE_gid_2792482"
"mainz_DE_gid_2874225","leuven_BE_gid_2792482"
"mainz_DE_gid_2874225","leuven_BE_gid_2792482"
"grimma_DE_gid_2917325","leuven_BE_gid_2792482"
"passau_DE_gid_2855328","basel_CH_gid_2661604"
"köln_DE_gid_2886242","leuven_BE_gid_2792482"
"speyer_DE_gid_2830582","basel_CH_gid_2661604"
"köln_DE_gid_2886242","london_GB_gid_2643743"
"rome_IT_gid_3169070","basel_CH_gid_2661604"
"rome_IT_gid_3169070","basel_CH_gid_2661604"
"venice_IT_gid_3164603","freiburg_DE_gid_2925177"
"venice_IT_gid_3164603","freiburg_DE_gid_2925177"
"venice_IT_gid_3164603","leuven_BE_gid_2792482"
"waldkirch_DE_gid_2814883","freiburg_DE_gid_2925177"
"dresden_DE_gid_2935022","basel_CH_gid_2661604"
"dresden_DE_gid_2935022","basel_CH_gid_2661604"
"dresden_DE_gid_2935022","antwerpen_BE_gid_2803138"
"weinsberg_DE_gid_2812158","antwerpen_BE_gid_2803138"
"aschaffenburg_DE_gid_2955272","basel_CH_gid_2661604"
"dresden_DE_gid_2935022","basel_CH_gid_2661604"
"glarus_CH_gid_2660594","basel_CH_gid_2661604"
