"Id","Label","locations_modern_state","locations_modern_province","locations_lat","locations_lng"
"altenburg_DE_gid_2957773","Altenburg","Germany","Thuringia","50.98763","12.43684"
"aschaffenburg_DE_gid_2955272","Aschaffenburg","Germany","Bavaria","49.97704","9.15214"
"augsburg_DE_gid_2954172","Augsburg","Germany","Bavaria","48.37154","10.89851"
"bamberg_DE_gid_2952984","Bamberg","Germany","Bavaria","49.89873","10.90067"
"basel_CH_gid_2661604","Basel","Switzerland","Basel-City","47.5584","7.57327"
"bologna_IT_gid_3181928","Bologna","Italy","Emilia-Romagna","44.49381","11.33875"
"burgos_ES_gid_3127461","Burgos","Spain","Castille and León","42.35022","-3.67527"
"donauwörth_DE_gid_2936253","Donauwörth","Germany","Bavaria","48.71804","10.7793"
"dresden_DE_gid_2935022","Dresden","Germany","Saxony","51.05089","13.73832"
"ebernburg_castle_DE_gid_unknown","Burg Ebernburg","Germany","Rheinland-Pfalz","49.807044","7.838608"
"eichstätt_DE_gid_2932069","Eichstätt","Germany","Bavaria","48.88854","11.19675"
"erfurt_DE_gid_2929670","Erfurt","Germany","Thuringia","50.9787","11.03283"
"ferrara_IT_gid_3177090","Ferrara","Italy","Emilia-Romagna","44.84346","11.60868"
"florence_IT_gid_3176959","Florence","Italy","Tuscany","43.77925","11.24626"
"frankfurt_am_main_DE_gid_2925533","Frankfurt am Main","Germany","Hesse","50.11552","8.68417"
"freiburg_DE_gid_2925177","Freiburg im Breisgau","Germany","Baden-Wurttemberg","47.9959","7.85222"
"ingolstadt_DE_gid_2895992","Ingolstadt","Germany","Bavaria","48.76508","11.42372"
"kloster_georgenthal_DE_gid_unknown","Kloster Georgenthal","Germany","Thuringia","50.828889","10.659167"
"kollegiatstift_st_viktor_DE_gid_unknown","Kollegiatstift St. Viktor","Germany","Rheinland-Pfalz","49.982778","8.303056"
"köln_DE_gid_2886242","Cologne","Germany","North Rhine-Westphalia","50.93333","6.95"
"kornburg_DE_gid_2885443","Kornburg","Germany","Bavaria","49.35521","11.09885"
"leipzig_DE_gid_2879139","Leipzig","Germany","Saxony","51.33962","12.37129"
"leuven_BE_gid_2792482","Leuven","Belgium","Flanders","50.87959","4.70093"
"milano_IT_gid_3173435","Milan","Italy","Lombardy","45.46427","9.18951"
"nürnberg_DE_gid_2861650","Nuremberg","Germany","Bavaria","49.45421","11.07752"
"passau_DE_gid_2855328","Passau","Germany","Bavaria","48.5665","13.43122"
"pavia_IT_gid_3171366","Pavia","Italy","Lombardy","45.19205","9.15917"
"rome_IT_gid_3169070","Rome","Italy","Lazio","41.89193","12.51133"
"sélestat_FR_gid_2975233","Sélestat","France","Grand Est","48.26667","7.45"
"strasbourg_FR_gid_2973783","Strasbourg","France","Grand Est","48.58342","7.74296"
"stuttgart_DE_gid_2825297","Stuttgart","Germany","Baden-Wurttemberg","48.78232","9.17702"
"toledo_ES_gid_2510409","Toledo","Spain","Castille-La Mancha","39.8581","-4.02263"
"torgau_DE_gid_2821807","Torgau","Germany","Saxony","51.56016","12.99617"
"tübingen_DE_gid_2820860","Tübingen","Germany","Baden-Wurttemberg","48.52266","9.05222"
"valladolid_ES_gid_3106672","Valladolid","Spain","Castille and León","41.65518","-4.72372"
"venice_IT_gid_3164603","Venice","Italy","Veneto","45.43713","12.33265"
"waischenfeld_DE_gid_2815297","Waischenfeld","Germany","Bavaria","49.84645","11.3481"
"weinsberg_DE_gid_2812158","Weinsberg","Germany","Baden-Wurttemberg","49.15127","9.28762"
"wittenberg_DE_gid_7303020","Wittenberg","Germany","Saxony-Anhalt","51.8661","12.64973"
"würzburg_DE_gid_2805615","Würzburg","Germany","Bavaria","49.79391","9.95121"
"zürich_CH_gid_2657896","Zürich","Switzerland","Zurich","47.36667","8.55"
