"letters_id","sender_id","recipient_id","send_date_computable1","source_loc_id","SourceLAT","SourceLNG","target_loc_id","TargetLAT","TargetLNG","GEOM"
"era_cwe_1566","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","048e0147-58cf-45e5-8312-f52998ca0ee4","1525-04-09","basel_CH_gid_2661604","47.5584","7.57327","dresden_DE_gid_2935022","51.05089","13.73832","LINESTRING (7.57327 47.5584, 13.73832 51.05089)"
"era_cwe_1683","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","048e0147-58cf-45e5-8312-f52998ca0ee4","1526-03-19","basel_CH_gid_2661604","47.5584","7.57327","dresden_DE_gid_2935022","51.05089","13.73832","LINESTRING (7.57327 47.5584, 13.73832 51.05089)"
"era_cwe_1923","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","048e0147-58cf-45e5-8312-f52998ca0ee4","1527-12-29","basel_CH_gid_2661604","47.5584","7.57327","dresden_DE_gid_2935022","51.05089","13.73832","LINESTRING (7.57327 47.5584, 13.73832 51.05089)"
"era_cwe_1014","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0ec03581-0e29-4e21-88cd-139033fd0f9e","1519-09-01","leuven_BE_gid_2792482","50.87959","4.70093","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (4.70093 50.87959, 7.57327 47.5584)"
"era_cwe_1063","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0ec03581-0e29-4e21-88cd-139033fd0f9e","1520-02-05","leuven_BE_gid_2792482","50.87959","4.70093","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (4.70093 50.87959, 7.57327 47.5584)"
"era_cwe_1206","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0ec03581-0e29-4e21-88cd-139033fd0f9e","1521-05-27","leuven_BE_gid_2792482","50.87959","4.70093","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (4.70093 50.87959, 7.57327 47.5584)"
"era_cwe_327","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0ec03581-0e29-4e21-88cd-139033fd0f9e","1515-04-13","saint_omer_FR_gid_2977845","50.75","2.25","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (2.25 50.75, 7.57327 47.5584)"
"era_cwe_628","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0ec03581-0e29-4e21-88cd-139033fd0f9e","1517-08-23","leuven_BE_gid_2792482","50.87959","4.70093","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (4.70093 50.87959, 7.57327 47.5584)"
"era_cwe_732","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0ec03581-0e29-4e21-88cd-139033fd0f9e","1517-12-06","leuven_BE_gid_2792482","50.87959","4.70093","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (4.70093 50.87959, 7.57327 47.5584)"
"era_cwe_796","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0ec03581-0e29-4e21-88cd-139033fd0f9e","1518-03-13","leuven_BE_gid_2792482","50.87959","4.70093","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (4.70093 50.87959, 7.57327 47.5584)"
