"letters_id","sender_id","recipient_id","send_date_computable1","source_loc_id","SourceLAT","SourceLNG","target_loc_id","TargetLAT","TargetLNG","GEOM"
"era_cwe_1078","c7280d05-7044-4b72-9af8-5dcff8b57743","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-03-14","köln_DE_gid_2886242","50.93333","6.95","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (6.95 50.93333, 4.70093 50.87959)"
"era_cwe_1083","313d5e42-31ce-44fe-9832-eb4da2e49fcb","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-03-17","basel_CH_gid_2661604","47.5584","7.57327","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (7.57327 47.5584, 4.70093 50.87959)"
"era_cwe_1109","6bd6eb34-d5f1-47fe-bfaf-82f0aa28031d","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-06-15","mainz_DE_gid_2874225","49.98419","8.2791","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (8.2791 49.98419, 4.70093 50.87959)"
"era_cwe_1121","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-07-13","freiburg_DE_gid_2925177","47.9959","7.85222","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (7.85222 47.9959, 4.70093 50.87959)"
"era_cwe_1135","6fc3d197-6ece-40c4-829a-fb63f2ed1ea3","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-08-15","steckelberg_castle_DE_gid_unknown","50.336944","9.620278","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (9.620278 50.336944, 4.70093 50.87959)"
"era_cwe_1161","6fc3d197-6ece-40c4-829a-fb63f2ed1ea3","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-11-13","ebernburg_castle_DE_gid_unknown","49.807044","7.838608","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (7.838608 49.807044, 4.70093 50.87959)"
"era_cwe_1180","d2fe0216-e9b0-4077-ba21-251d1ff16084","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-01-15","rome_IT_gid_3169070","41.89193","12.51133","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (12.51133 41.89193, 4.70093 50.87959)"
"era_cwe_1241","313d5e42-31ce-44fe-9832-eb4da2e49fcb","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-10-14","halle_(saale)_DE_gid_2911522","51.5","12","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (12 51.5, 4.70093 50.87959)"
"era_cwe_1247","ae299c0d-a569-4eb0-894a-0c99bfb0575e","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1521-12-09","augsburg_DE_gid_2954172","48.37154","10.89851","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (10.89851 48.37154, 7.57327 47.5584)"
"era_cwe_1253","dba1603f-8714-4349-a9d4-06f69cb86e50","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-01-04","langenargen_DE_gid_2881263","47.59858","9.54163","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (9.54163 47.59858, 7.57327 47.5584)"
"era_cwe_1260","daa18870-1c1f-4d5a-9cef-f9f93fcece52","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-02-16","rome_IT_gid_3169070","41.89193","12.51133","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (12.51133 41.89193, 7.57327 47.5584)"
"era_cwe_1266","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-03-20","freiburg_DE_gid_2925177","47.9959","7.85222","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (7.85222 47.9959, 7.57327 47.5584)"
"era_cwe_1290","313d5e42-31ce-44fe-9832-eb4da2e49fcb","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-06-05","nürnberg_DE_gid_2861650","49.45421","11.07752","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (11.07752 49.45421, 7.57327 47.5584)"
"era_cwe_1308","313d5e42-31ce-44fe-9832-eb4da2e49fcb","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-08-17","mainz_DE_gid_2874225","49.98419","8.2791","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (8.2791 49.98419, 7.57327 47.5584)"
"era_cwe_1324","8e337b13-a43c-4100-81c0-7ee324f61eb0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1522-12-01","rome_IT_gid_3169070","41.89193","12.51133","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (12.51133 41.89193, 7.57327 47.5584)"
"era_cwe_1338","8e337b13-a43c-4100-81c0-7ee324f61eb0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1523-01-23","rome_IT_gid_3169070","41.89193","12.51133","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (12.51133 41.89193, 7.57327 47.5584)"
"era_cwe_1368","313d5e42-31ce-44fe-9832-eb4da2e49fcb","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1523-06-18","strasbourg_FR_gid_2973783","48.58342","7.74296","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (7.74296 48.58342, 7.57327 47.5584)"
"era_cwe_1374","313d5e42-31ce-44fe-9832-eb4da2e49fcb","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1523-07-06","strasbourg_FR_gid_2973783","48.58342","7.74296","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (7.74296 48.58342, 7.57327 47.5584)"
"era_cwe_1443","be273f96-c387-44e8-b3ae-bc9bd615b3a5","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1524-04-15","wittenberg_DE_gid_7303020","51.8661","12.64973","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (12.64973 51.8661, 7.57327 47.5584)"
"era_cwe_1444","87af3740-6b36-4e29-b4eb-b699da0ee2ab","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1524-05-01","leipzig_DE_gid_2879139","51.33962","12.37129","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (12.37129 51.33962, 7.57327 47.5584)"
"era_cwe_1450","7ca36007-621e-4c12-a5dc-f41fa15b4456","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1524-05-30","passau_DE_gid_2855328","48.5665","13.43122","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (13.43122 48.5665, 7.57327 47.5584)"
"era_cwe_1500","2bf9cc2d-d91a-4d46-b38a-c2c0584f1ab0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1524-09-30","wittenberg_DE_gid_7303020","51.8661","12.64973","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (12.64973 51.8661, 7.57327 47.5584)"
"era_cwe_1501","6ffb373e-7884-42c0-b990-a7b11aa129cb","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1524-09-30","wittenberg_DE_gid_7303020","51.8661","12.64973","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (12.64973 51.8661, 7.57327 47.5584)"
"era_cwe_1551","048e0147-58cf-45e5-8312-f52998ca0ee4","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1525-02-16","dresden_DE_gid_2935022","51.05089","13.73832","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (13.73832 51.05089, 7.57327 47.5584)"
"era_cwe_1638","4def768d-f29a-49fe-8466-9afeffa7a72c","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1525-10-15","basel_CH_gid_2661604","47.5584","7.57327","basel_CH_gid_2661604","47.5584","7.57327","LINESTRING (7.57327 47.5584, 7.57327 47.5584)"
