"correspondents_id","name_in_edition"
"adrian_vi_ pope_ viaf_76430137","Pope ADRIAN VI [COE] // Adrian VI [CWE] // Adrian VI, Pope (Adrian of Utrecht) [ALLEN]"
"andreis_franjo_trankvil_viaf_22294763","Tranquillus ANDRONICUS Parthenius [COE] // Tranquillus Andronicus Parthenius [CWE] // Andronicus, Tranquillus [ALLEN]"
"auerbach_heinrich_viaf_69872391","Heinrich STROMER [COE] // Heinrich Stromer [CWE] // Stromer, Henry [ALLEN]"
"balthasar_konstanz_bischof_viaf_42723378","Balthasar MERKLIN [COE] // Balthasar Merklin [CWE] // Mercklin, Balthasar [ALLEN]"
"bannicius_jacobus_viaf_72207021","Jacopo BANNISIO [COE] // Jacopo Bannisio [CWE] // Banisius, Jacobus [ALLEN]"
"basellius_nikolaus_viaf_30349975","Nicolaus BASELLIUS [COE] // Nikolaus Basellius [CWE] // Basell, Nicholas [ALLEN]"
"brassicanus_joannes_alexander_viaf_9899294","Johannes Alexander BRASSICANUS [COE] // Johannes Alexander Brassicanus [CWE] // Brassicanus, Joannes Alexander [ALLEN]"
"bucer_martin_viaf_2478527","Martin BUCER [COE] // Martin Bucer [CWE] // Bucer, Martin [ALLEN]"
"busche_hermann_von_dem_viaf_27087291","Hermannus BUSCHIUS [COE] // Hermann von dem Busche [CWE] // Busch, Hermann [ALLEN]"
"camerarius_joachim_viaf_2495607","Joachim CAMERARIUS [COE] // Joachim Camerarius [CWE] // Camerarius, Joachim the elder [ALLEN]"
"capito_wolfgang_viaf_61578502","Wolfgang Faber CAPITO [COE] // Wolfgang Capito [CWE] // Capito, Wolfgang Fabricius (Köpfel) [ALLEN]"
"cochlæus_johannes_viaf_121589726","Johannes COCHLAEUS [COE] // Johannes Cochlaeus [CWE] // Cochlaeus, Joannes (Dobneck) [ALLEN]"
"eck_johann_viaf_100185986","Johann Maier of ECK [COE] // Johann Maier von Eck [CWE] // Eck, Johann [ALLEN]"
"egnazio_giovanni_battista_viaf_100187526","Giambattista EGNAZIO [COE] // Giambattista Egnazio [CWE] // Egnatius, Johannes Baptista [ALLEN]"
"emser_hieronymus_viaf_19702295","Hieronymus EMSER [COE] // Hieronymus Emser [CWE] // Emser, Hieronymus [ALLEN]"
"frederick_iii_elector_of_saxony_viaf_316392243","Frederick III, elector of SAXONY [COE] // Duke / Elector Frederick of Saxony [CWE] // Frederick of Saxony [ALLEN]"
"froben_hieronymus_viaf_32319505","Hieronymus FROBEN [COE] // Hieronymus Froben [CWE] // Froben, Hieronymus [ALLEN]"
"gerbel_nicolaus_viaf_60906847","Nikolaus GERBEL [COE] // Nikolaus Gerbel [CWE] // Gerbell, Nicholas [ALLEN]"
"glareanus_henricus_viaf_73950690","Henricus GLAREANUS [COE] // Henricus Glareanus [CWE] // Glareanus, Henricus (H. Loriti of Glarus) [ALLEN]"
"hegendorph_christoph_viaf_54260943","Christoph HEGENDORFF [COE] // Christoph Hegendorf [CWE] // Hegendorfer, Christopher [ALLEN]"
"hessus_helius_eobanus_viaf_71412338","Helius EOBANUS Hessus [COE] // Helius Eobanus Hessus [CWE] // Eobanus, Helius (Hessus) [ALLEN]"
"hutten_ulrich_von_viaf_95193756","Ulrich von HUTTEN [COE] // Ulrich von Hutten [CWE] // Hutten, Ulrich von [ALLEN]"
"huttich_johann_viaf_5722622","Johann HUTTICH [COE] // Johann Huttich [CWE] // Huttich, John [ALLEN]"
"lang_johann_viaf_67343955","Johann LANG [COE] // Johann Lang [CWE] // Lang, John [ALLEN]"
"leo_x_pope_viaf_316407579","Pope LEO X [COE] // Leo X / Giovanni de' Medici [CWE] // Leo X, Pope [ALLEN]"
"lotzer_johann_(1)_viaf_37256989","Johann (I) LOTZER [COE] // Johann Lotzer [CWE] // Lotzer, John [ALLEN]"
"luther_martin_viaf_14773105","Martin LUTHER [COE] // Martin Luther [CWE] // Luther, Martin [ALLEN]"
"melanchthon_philipp_viaf_76319978","Philippus MELANCHTHON [COE] // Philippus Melanchthon [CWE] // Melanchthon, Philip [ALLEN]"
"mosham_ruprecht_von_viaf_20551741","Rudbert von MOSHAM [COE] // Rudbert von Mosham [CWE] // Mosham, Rudbert of (Moshain) [ALLEN]"
"nausea_friedrich_viaf_248203874","Fridericus NAUSEA [COE] // Fridericus Nausea [CWE] // Nausea, Fridericus [ALLEN]"
"neuenar_hermann_graf_von_viaf_18164526","Hermann von NEUENAHR [COE] // Hermann, Graf von Neu / Hermann von Neuenahr [CWE] // Neuenahr, Hermann Count of (Neaetius, de Nova Aquila, Nuenarius) [ALLEN]"
"oecolampadius_johann_viaf_56634092","Johannes OECOLAMPADIUS [COE] // Johannes Oecolampadius [CWE] // Oecolampadius, Joannes (John Hussgen) [ALLEN]"
"pellicanus_konrad_viaf_41862976","Conradus PELLICANUS [COE] // Conradus Pellicanus [CWE] // Pellican, Conrad [ALLEN]"
"peutinger_konrad_viaf_56776766","Konrad PEUTINGER [COE] // Konrad Peutinger [CWE] // Peutinger, Conrad [ALLEN]"
"pflug_julius_von_viaf_3265533","Julius PFLUG [COE] // Julius Pflug [CWE] // Pflug, Julius [ALLEN]"
"reuchlin_johann_viaf_66542815","Johann REUCHLIN [COE] // Johann Reuchlin [CWE] // Reuchlin, Johann (Capnio) [ALLEN]"
"rhegius_urbanus_viaf_17232588","Urbanus RHEGIUS [COE] // Urbanus Regius [CWE] // Regius, Urbanus (Rieger) [ALLEN]"
"rhenanus_beatus_viaf_39415982","BEATUS Rhenanus [COE] // Beatus Rhenanus [CWE] // Beatus Rhenanus (Beat Bild) [ALLEN]"
"ricius_paulus_viaf_60018918","Paulus RICIUS [COE] // Paulus Ricius [CWE] // Ricius, Paulus (Ritius) [ALLEN]"
"schade_peter_viaf_12457732","Petrus MOSELLANUS [COE] // Petrus Mosellanus [CWE] // Mosellanus, Petrus (Schade) [ALLEN]"
"schweiß_alexander_von_viaf_89934990","Alexander SCHWEISS [COE] // Alexander Schweiss [CWE] // Schweiss, Alexander [ALLEN]"
"spalatin_georg_viaf_240011410","Georgius SPALATINUS [COE] // Georgius Spalatinus [CWE] // Spalatinus, George [ALLEN]"
"spiegel_jakob_viaf_24846746","Jakob SPIEGEL [COE] // Jakob Spiegel [CWE] // Spiegel, James [ALLEN]"
"thüngen_konrad_ii_von_viaf_26411713","Konrad von THÜNGEN [COE] // Konrad von Thüngen [CWE] // Thuengen, Conrad of [ALLEN]"
"venatorius_thomas_viaf_43677502","Thomas VENATORIUS [COE] // Thomas Venatorius [CWE] // Venatorius, Thomas [ALLEN]"
"zasius_ulrich_viaf_61645489","Udalricus ZASIUS [COE] // Udalricus Zasius [CWE] // Zasius, Ulrich [ALLEN]"
"ziegler_jakob_viaf_15074694","Jakob ZIEGLER [COE] // Jakob Ziegler [CWE] // Ziegler, Jakob (Landavus Bavarus) [ALLEN]"
"zwingli_ulrich_viaf_71399367","Huldrych ZWINGLI [COE] // Huldrych Zwingli [CWE] // Zwingli, Ulrich [ALLEN]"
