"name_in_edition"
"Hieronymus EMSER [COE] // Hieronymus Emser [CWE] // Emser, Hieronymus [ALLEN]"
"BEATUS Rhenanus [COE] // Beatus Rhenanus [CWE] // Beatus Rhenanus (Beat Bild) [ALLEN]"
"Hieronymus FROBEN [COE] // Hieronymus Froben [CWE] // Froben, Hieronymus [ALLEN]"
"Johann Maier of ECK [COE] // Johann Maier von Eck [CWE] // Eck, Johann [ALLEN]"
"Johannes OECOLAMPADIUS [COE] // Johannes Oecolampadius [CWE] // Oecolampadius, Joannes (John Hussgen) [ALLEN]"
"Thomas VENATORIUS [COE] // Thomas Venatorius [CWE] // Venatorius, Thomas [ALLEN]"
"Philippus MELANCHTHON [COE] // Philippus Melanchthon [CWE] // Melanchthon, Philip [ALLEN]"
"Wolfgang Faber CAPITO [COE] // Wolfgang Capito [CWE] // Capito, Wolfgang Fabricius (Köpfel) [ALLEN]"
"Henricus GLAREANUS [COE] // Henricus Glareanus [CWE] // Glareanus, Henricus (H. Loriti of Glarus) [ALLEN]"
"Jakob SPIEGEL [COE] // Jakob Spiegel [CWE] // Spiegel, James [ALLEN]"
"Conradus PELLICANUS [COE] // Conradus Pellicanus [CWE] // Pellican, Conrad [ALLEN]"
"Helius EOBANUS Hessus [COE] // Helius Eobanus Hessus [CWE] // Eobanus, Helius (Hessus) [ALLEN]"
"Tranquillus ANDRONICUS Parthenius [COE] // Tranquillus Andronicus Parthenius [CWE] // Andronicus, Tranquillus [ALLEN]"
"Johann HUTTICH [COE] // Johann Huttich [CWE] // Huttich, John [ALLEN]"
"Nikolaus GERBEL [COE] // Nikolaus Gerbel [CWE] // Gerbell, Nicholas [ALLEN]"
"Hermannus BUSCHIUS [COE] // Hermann von dem Busche [CWE] // Busch, Hermann [ALLEN]"
"Ulrich von HUTTEN [COE] // Ulrich von Hutten [CWE] // Hutten, Ulrich von [ALLEN]"
"Joachim CAMERARIUS [COE] // Joachim Camerarius [CWE] // Camerarius, Joachim the elder [ALLEN]"
"Nicolaus BASELLIUS [COE] // Nikolaus Basellius [CWE] // Basell, Nicholas [ALLEN]"
"Rudbert von MOSHAM [COE] // Rudbert von Mosham [CWE] // Mosham, Rudbert of (Moshain) [ALLEN]"
"Konrad von THÜNGEN [COE] // Konrad von Thüngen [CWE] // Thuengen, Conrad of [ALLEN]"
"Johann (II) PAUMGARTNER [COE] // Johann (II) Paumgartner [CWE] // Paungartner, Johann [ALLEN]"
"Jacopo BANNISIO [COE] // Jacopo Bannisio [CWE] // Banisius, Jacobus [ALLEN]"
"Frederick III, elector of SAXONY [COE] // Duke Frederick of Saxony // Elector Frederick of Saxony [CWE] // Frederick of Saxony [ALLEN]"
"Heinrich STROMER [COE] // Heinrich Stromer [CWE] // Stromer, Henry [ALLEN]"
"Alexander SCHWEISS [COE] // Alexander Schweiss [CWE] // Schweiss, Alexander [ALLEN]"
"Johannes COCHLAEUS [COE] // Johannes Cochlaeus [CWE] // Cochlaeus, Joannes (Dobneck) [ALLEN]"
"Johann REUCHLIN [COE] // Johann Reuchlin [CWE] // Reuchlin, Johann (Capnio) [ALLEN]"
"Pope ADRIAN VI [COE] // Adrian VI [CWE] // Adrian VI, Pope (Adrian of Utrecht) [ALLEN]"
"Julius PFLUG [COE] // Julius Pflug [CWE] // Pflug, Julius [ALLEN]"
"Giambattista EGNAZIO [COE] // Giambattista Egnazio [CWE] // Egnatius, Johannes Baptista [ALLEN]"
"Udalricus ZASIUS [COE] // Udalricus Zasius [CWE] // Zasius, Ulrich [ALLEN]"
"Konrad PEUTINGER [COE] // Konrad Peutinger [CWE] // Peutinger, Conrad [ALLEN]"
"Huldrych ZWINGLI [COE] // Huldrych Zwingli [CWE] // Zwingli, Ulrich [ALLEN]"
"Johann (I) LOTZER [COE] // Johann Lotzer [CWE] // Lotzer, John [ALLEN]"
"Balthasar MERKLIN [COE] // Balthasar Merklin [CWE] // Mercklin, Balthasar [ALLEN]"
"Martin LUTHER [COE] // Martin Luther [CWE] // Luther, Martin [ALLEN]"
"Hermann von NEUENAHR [COE] // Hermann, Graf von Neu // Hermann von Neuenahr [CWE] // Neuenahr, Hermann Count of (Neaetius, de Nova Aquila, Nuenarius) [ALLEN]"
"Paulus RICIUS [COE] // Paulus Ricius [CWE] // Ricius, Paulus (Ritius) [ALLEN]"
"Pope LEO X [COE] // Leo X // Giovanni de' Medici [CWE] // Leo X, Pope [ALLEN]"
"Jakob ZIEGLER [COE] // Jakob Ziegler [CWE] // Ziegler, Jakob (Landavus Bavarus) [ALLEN]"
"Urbanus RHEGIUS [COE] // Urbanus Regius [CWE] // Regius, Urbanus (Rieger) [ALLEN]"
"Christoph HEGENDORFF [COE] // Christoph Hegendorf [CWE] // Hegendorfer, Christopher [ALLEN]"
"Fridericus NAUSEA [COE] // Fridericus Nausea [CWE] // Nausea, Fridericus [ALLEN]"
"Petrus MOSELLANUS [COE] // Petrus Mosellanus [CWE] // Mosellanus, Petrus (Schade) [ALLEN]"
"Martin BUCER [COE] // Martin Bucer [CWE] // Bucer, Martin [ALLEN]"
"Georgius SPALATINUS [COE] // Georgius Spalatinus [CWE] // Spalatinus, George [ALLEN]"
"Johann LANG [COE] // Johann Lang [CWE] // Lang, John [ALLEN]"
"Johannes Alexander BRASSICANUS [COE] // Johannes Alexander Brassicanus [CWE] // Brassicanus, Joannes Alexander [ALLEN]"
