"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2"
"007b1451-07a0-4a17-b430-58a8bee94202","individual","male","Georgius LOXANUS [COE] // Georgius Loxanus [CWE] // Loxanus, George [ALLEN]","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","1","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","1","NULL"
"00dc7284-3fae-4578-8278-ab0aff03a50a","individual","male","Luis Núñez CORONEL [COE] // Luis Núñez Coronel [CWE] // Coronel, Luis [ALLEN]","segovia_ES_gid_3109256","Segovia","1470","1470-01-01","1","1470","1470-12-31","unknown_location_in_spain_ES_gid_unknown","Unknown, in Spain","1531","1531-03-01","1","1531"
"010c346f-88f4-485a-ba7f-fefe691d42b9","individual","male","John WATSON [COE] // John Watson [CWE] // Watson, John [ALLEN]","unknown_location_in_england_GB_gid_unknown","Unknown","NULL","NULL","1","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","1537","1537-01-01","1","1537"
"0142569f-c057-49ed-bb82-5dfc953675b2","individual","male","Willem BOLLART [COE] // Willem Bollart [CWE] // Bollart, William [ALLEN]","brussels_BE_gid_2800866","Brussels","NULL","NULL","1","NULL","NULL","leuven_BE_gid_2792482","Louvain","1532","1532-11-14","0","1532"
"01d02986-fe99-494a-ac18-0e5f49c3d232","individual","male","Christoph FREISLEBEN [COE] // Christoph Freisleben [CWE] // Freisleben, Christopher [ALLEN]","linz_AT_gid_2772400","Linz","NULL","NULL","1","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","1552","1552-01-01","1","NULL"
"0216328b-ac6c-4f90-bbca-75da6e336f6d","individual","male","Otto BRUNFELS [COE] // Otto von Brunfels [CWE] // Brunfels, Otho [ALLEN]","mainz_DE_gid_2874225","Mainz","1488","1488-01-01","1","1488","1488-12-31","bern_CH_gid_2661552","Bern","1534","1534-11-23","0","1534"
"0235d3d2-1490-4a5d-bc9b-32b82ace7456","individual","male","Adolf van der NOOT [COE] // Adolf van der Noot [CWE] // Vander Noot, Adolphus [ALLEN]","brussels_BE_gid_2800866","Brussels","1486","1486-06-03","0","1486","1486-06-03","brussels_BE_gid_2800866","Brussels","1543","1543-03-31","0","1543"
"036eacb5-6f53-4ecf-8cf4-128173fb022a","individual","male","Christoph von STADION [COE] // Christoph von Stadion [CWE] // Stadion, Christoph von [ALLEN]","hohenschelklingen_castle_DE_gid_2901496","castle of Schelklingen, west of Ulm","1478","1478-03-01","1","1478","1478-03-31","nürnberg_DE_gid_2861650","Nürnberg","1543","1543-04-15","0","1543"
"03f9ed99-60ea-44e2-af17-f1e97fc3c2ba","individual","male","Vincent CORNELISSEN van Mierop [COE] // Vincent Cornelissen van Mierop [CWE] // Cornelissen, Vincent [ALLEN]","the_hague_NL_gid_2747373","The Hague","1480","1480-01-01","1","1480","1480-12-31","unknown_location_XX_gid_unknown","Unknown","1550","1550-01-01","1","1551"
"0469cf21-ca22-4d71-ac8a-bac8cf61e65f","individual","male","Reyner SNOY [COE] // Reyner Snoy [CWE] // Snoy, Reyner [ALLEN]","gouda_NL_gid_2755420","Gouda","1477","1477-01-01","1","1477","1477-12-31","gouda_NL_gid_2755420","Gouda","1537","1537-08-01","0","1537"
"048e0147-58cf-45e5-8312-f52998ca0ee4","individual","male","Hieronymus EMSER [COE] // Hieronymus Emser [CWE] // Emser, Hieronymus [ALLEN]","weidenstetten_DE_gid_2812958","Weidenstetten bei Ulm","1479","1479-03-28","0","1479","1479-03-28","dresden_DE_gid_2935022","Dresden","1527","1527-12-08","0","1527"
"05c68323-6534-4612-9718-fd5e0c3808f9","individual","male","[A Patron] [COE] // A Patron, perhaps in The Hague [CWE] // ? [ALLEN]","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","1","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","1","NULL"
"05e04600-4dc6-4755-a00c-a62a348647e0","individual","male","Willem HERMANS [COE] // Willem Hermans [CWE] // Herman, William [ALLEN]","gouda_NL_gid_2755420","Gouda","1469","1469-01-01","1","1469","1469-12-31","unknown_location_XX_gid_unknown","Unknown","1510","1510-07-18","0","1510"
