"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2","colour"
"affenstein_ wolfgang_von_viaf_231943211","individual","male","Wolfgang von AFFENSTEIN","unknown_location_in_germany_DE_gid_unknown","Unknown",1501,"1501-01-01",1,1501,"1501-01-31","dirmstein_DE_gid_2936822","Dirmstein",NA,"0000-00-00",1,1556,"#525252"
"alciati_andrea_viaf_51699991","individual","male","Andrea ALCIATI","alzate_brianza_IT_gid_6535114","Alzate Brianza bei Como",1492,"1492-05-08",0,1492,"1492-05-08","pavia_IT_gid_3171366","Pavia",1550,"1550-01-12",0,1550,"#525252"
"aldrich_robert_viaf_14638314","individual","male","Robert ALDRIDGE","burnham_GB_gid_2654274","Burnham, Buckinghamshire",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",1556,"1556-03-05",0,1556,"#525252"
"antonin_jan_viaf_300229095","individual","male","Jan ANTONIN","košice_SK_gid_724443","Kassa (now Košice)",1499,"1499-01-01",1,1499,"1499-12-31","kraków_PL_gid_3094802","Cracow",1549,"1549-01-01",1,1549,"#525252"
"auerbach_heinrich_viaf_69872391","individual","male","Heinrich STROMER","auerbach_DE_gid_2954603","Auerbach",1482,"1482-01-01",1,1482,"1482-12-31","leipzig_DE_gid_2879139","Leipzig",1542,"1541-11-26",0,1542,"#fdb863"
"baarland_adriaan_van_viaf_19701114","individual","male","Adrianus Cornelii BARLANDUS","baarland_NL_gid_2759562","Baarland, on Zuid-Beveland",1486,"1486-01-01",0,1486,"1486-01-01","leuven_BE_gid_2792482","Louvain",1538,"1538-11-30",0,1538,"#525252"
"baer_ludwig_viaf_57525097","individual","male","Ludwig BAER","basel_CH_gid_2661604","[Basel:CK]",1479,"1497-05-24",0,1479,"1497-05-24","freiburg_DE_gid_2925177","Freiburg",1554,"1554-04-14",0,1554,"#525252"
"béda_noël_viaf_54135945","individual","male","Noël BÉDA","le_mont_saint_michel_FR_gid_6615358","prob. Mont Saint-Michel",1470,"1470-01-01",1,1470,"1470-12-31","le_mont_saint_michel_FR_gid_6615358","prob. Mont Saint-Michel",1537,"1537-01-08",0,1537,"#525252"
"berquin_louis_de_viaf_61541805","individual","male","Louis de BERQUIN","passy_IT_gid_2988394","Passy",NA,"0000-00-00",1,NA,"0000-00-00","paris_FR_gid_2988507","Paris",1529,"1529-04-17",0,1529,"#525252"
"bertulphus_hilarius_viaf_208867782","individual","male","Hilarius BERTHOLF","ledeberg_BE_gid_2793070","Ledeberg, near Ghent",NA,"0000-00-00",1,NA,"0000-00-00","lyon_FR_gid_2996944","Lyon",1533,"1533-08-01",1,1533,"#525252"
"bibaucus_guilielmus_viaf_74763357","individual","male","Willem BIBAUT","tielt_BE_gid_2785476","Tielt, in Flanders",NA,"0000-00-00",1,NA,"0000-00-00","grande_chartreuse_gid_unknown","La Grande Chartreuse, near Grenoble",1535,"1535-07-24",0,1535,"#525252"
"biétry_thiébaut_viaf_unknown","individual","male","Thiébaut BIÉTRY","porrentruy_CH_gid_2659171","Porrentruy, in the Jura",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"#525252"
"botzheim_johannes_von_viaf_40125681","individual","male","Johann von BOTZHEIM","sasbach_DE_gid_2841380","Sasbach (Baden)",NA,"0000-00-00",1,NA,"0000-00-00","überlingen_DE_gid_2820577","Überlingen",1535,"1535-03-01",1,1535,"#525252"
"boudet_michel_viaf_120896676","individual","male","Michel BOUDET","blois_FR_gid_3032213","Blois",1469,"1469-01-01",1,1469,"1469-12-31","unknown_location_XX_gid_unknown","Unknown",1529,"1529-07-22",0,1529,"#525252"
"brie_germain_de_viaf_227062191","individual","male","Germain de BRIE","auxerre_FR_gid_3035843","Auxerre",1490,"1490-01-01",1,1490,"1490-12-31","paris_FR_gid_2988507","Paris",1538,"1538-07-22",0,1538,"#525252"
"carondelet_ferry_viaf_55078138","individual","male","Ferry de CARONDELET","mechelen_BE_gid_2791537","Mechelen",1473,"1473-01-01",1,1473,"1473-12-31","besançon_FR_gid_3033123","Besançon",1528,"1528-06-15",1,1528,"#525252"
"carondelet_jean_viaf_35387645","individual","male","Jean (II) de CARONDELET","dole_FR_gid_3021263","Dole",1469,"1469-01-01",1,1469,"1469-12-31","mechelen_BE_gid_2791537","Mechelen",1545,"1545-02-07",0,1545,"#525252"
"casembroot_leonard_viaf_unknown","individual","male","Leonard CASEMBROOT","brugge_BE_gid_2800931","Bruges",1495,"1495-11-02",0,1495,"1495-11-02","unknown_location_XX_gid_unknown","Unknown",1558,"1558-12-26",0,1558,"#525252"
"catharine_of_aragon_queen_consort_of_henry_viii_king_of_england_viaf_13102140","individual","female","CATHERINE of Aragon","alcalá_de_henares_ES_gid_3130616","Alcalá de Henares",1485,"1485-12-16",0,1485,"1485-12-16","kimbolton_GB_gid_2645536","Kimbolton, County Cambridge",1536,"1536-01-07",0,1536,"#525252"
"charles_v_holy_roman_emperor_viaf_88598818","individual","male","Emperor CHARLES V","gent_BE_gid_2797656","Ghent",1500,"1500-02-24",0,1500,"1500-02-24","monasterio_de_yuste_ES_gid_6452898","San Jerónimo de Yuste",1558,"1558-09-21",0,1558,"#525252"
"cheregato_francesco_viaf_10186230","individual","male","Francesco CHIERIGATI","vicenza_IT_gid_3164419","Vicenza",NA,"0000-00-00",1,NA,"0000-00-00","bologna_IT_gid_3181928","Bologna",1539,"1539-12-05",0,1539,"#525252"
"cigalini_francesco_viaf_27885400","individual","male","Francesco CIGALINI","como_IT_gid_3178229","Como",1489,"1489-01-01",1,1489,"1489-12-31","unknown_location_XX_gid_unknown","Unknown",1551,"1551-06-01",1,1551,"#525252"
"claimondus_johannes_viaf_72207793","individual","male","John CLAYMOND","frampton_GB_gid_2649102","Frampton, Lincolnshire",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",1537,"1537-11-19",0,1537,"#525252"
"clesio_bernardo_viaf_59192040","individual","male","Bernhard von CLES","cles_IT_gid_3178548","Val di Non, north of Trent",1485,"1485-03-11",0,1485,"1485-03-11","bressanone_IT_gid_3181550","Bressanone (Brixen)",1539,"1539-07-30",0,1539,"#525252"
"cochlæus_johannes_viaf_121589726","individual","male","Johannes COCHLAEUS","wendelstein_DE_gid_2811292","Wendelstein bei Schwabach/Mittelfranken",1479,"1479-01-01",1,1479,"1479-12-31","wrocław_PL_gid_3081368","Breslau",1552,"1552-01-10",0,1552,"#fdb863"
"copus_guilielmus_viaf_22249056","individual","male","Guillaume COP","basel_CH_gid_2661604","Basel",1465,"1465-01-01",1,1465,"1465-12-31","paris_FR_gid_2988507","Paris",1532,"1532-12-02",0,1532,"#525252"
"craneveldt_frans_van_viaf_54955515","individual","male","Frans van CRANEVELT","nijmegen_NL_gid_2750053","Nijmegen",1485,"1485-02-03",0,1485,"1485-02-03","mechelen_BE_gid_2791537","Mechelen",1564,"1564-09-08",0,1564,"#525252"
"demoulins_françois_viaf_172203114","individual","male","François DU MOULIN de Rochefort","unknown_location_in_france_FR_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,1526,"#525252"
