"Id","Label","locations_modern_state","locations_modern_province","Latitude","Longitude","locations_ll_combined"
"antwerpen_BE_gid_2803138","Antwerp","Belgium","Flanders","51.21989","4.40346","51.21989, 4.40346"
"leuven_BE_gid_2792482","Leuven","Belgium","Flanders","50.87959","4.70093","50.87959, 4.70093"
"köln_DE_gid_2886242","Cologne","Germany","North-Rhine-Westphalia","50.93333","6.95","50.93333, 6.95"
"basel_CH_gid_2661604","Basel","Switzerland","Basel-City","47.5584","7.57327","47.5584, 7.57327"
"nürnberg_DE_gid_2861650","Nuremberg","Germany","Bavaria","49.45421","11.07752","49.45421, 11.07752"
"mainz_DE_gid_2874225","Mainz","Germany","Rheinland-Pfalz","49.98419","8.2791","49.98419, 8.2791"
"freiburg_DE_gid_2925177","Freiburg im Breisgau","Germany","Baden-Wurttemberg","47.9959","7.85222","47.9959, 7.85222"
"steckelberg_castle_DE_gid_unknown","Burg Steckelberg","Germany","Hesse","50.336944","9.620278","50.336944, 9.620278"
"ebernburg_castle_DE_gid_unknown","Burg Ebernburg","Germany","Rheinland-Pfalz","49.807044","7.838608","49.807044, 7.838608"
"rome_IT_gid_3169070","Rome","Italy","Lazio","41.89193","12.51133","41.89193, 12.51133"
"brugge_BE_gid_2800931","Bruges","Belgium","Flanders","51.20892","3.22424","51.20892, 3.22424"
"halle_(saale)_DE_gid_2911522","Halle (Saale)","Germany","Saxony-Anhalt","51.5","12","51.5, 12"
"augsburg_DE_gid_2954172","Augsburg","Germany","Bavaria","48.37154","10.89851","48.37154, 10.89851"
"langenargen_DE_gid_2881263","Langenargen","Germany","Baden-Wurttemberg","47.59858","9.54163","47.59858, 9.54163"
"strasbourg_FR_gid_2973783","Strasbourg","France","Grand Est","48.58342","7.74296","48.58342, 7.74296"
"wittenberg_DE_gid_7303020","Wittenberg","Germany","Saxony-Anhalt","51.8661","12.64973","51.8661, 12.64973"
"leipzig_DE_gid_2879139","Leipzig","Germany","Saxony","51.33962","12.37129","51.33962, 12.37129"
"passau_DE_gid_2855328","Passau","Germany","Bavaria","48.5665","13.43122","48.5665, 13.43122"
"dresden_DE_gid_2935022","Dresden","Germany","Saxony","51.05089","13.73832","51.05089, 13.73832"
"aschaffenburg_DE_gid_2955272","Aschaffenburg","Germany","Bavaria","49.97704","9.15214","49.97704, 9.15214"
"jena_DE_gid_2895044","Jena","Germany","Thuringia","50.92878","11.5899","50.92878, 11.5899"
"speyer_DE_gid_2830582","Speyer","Germany","Rheinland-Pfalz","49.32083","8.43111","49.32083, 8.43111"
"waldkirch_DE_gid_2814883","Waldkirch","Germany","Baden-Wurttemberg","48.09585","7.96371","48.09585, 7.96371"
"heidelberg_DE_gid_2907911","Heidelberg","Germany","Baden-Wurttemberg","49.40768","8.69079","49.40768, 8.69079"
"würzburg_DE_gid_2805615","Würzburg","Germany","Bavaria","49.79391","9.95121","49.79391, 9.95121"
"sélestat_FR_gid_2975233","Sélestat","France","Grand Est","48.26667","7.45","48.26667, 7.45"
"torgau_DE_gid_2821807","Torgau","Germany","Saxony","51.56016","12.99617","51.56016, 12.99617"
"zeitz_DE_gid_2804922","Zeitz","Germany","Saxony-Anhalt","51.04962","12.1369","51.04962, 12.1369"
"venice_IT_gid_3164603","Venice","Italy","Veneto","45.43713","12.33265","45.43713, 12.33265"
"frankfurt_am_main_DE_gid_2925533","Frankfurt am Main","Germany","Hesse","50.11552","8.68417","50.11552, 8.68417"
"zürich_CH_gid_2657896","Zurich","Switzerland","Zurich","47.36667","8.55","47.36667, 8.55"
"saint_omer_FR_gid_2977845","Saint-Omer","France","Hauts-de-France","50.75","2.25","50.75, 2.25"
"london_GB_gid_2643743","London","United Kingdom","England","51.50853","-0.12574","51.50853, -0.12574"
"worms_DE_gid_2806142","Worms","Germany","Rheinland-Pfalz","49.63278","8.35916","49.63278, 8.35916"
"kloster_hirsau_DE_gid_11398244","Monastery Hirsau","Germany","Baden-Wurttemberg","48.7378","8.7321","48.7378, 8.7321"
"glarus_CH_gid_2660594","Glarus","Switzerland","Glarus","47.04057","9.06804","47.04057, 9.06804"
"stuttgart_DE_gid_2825297","Stuttgart","Germany","Baden-Wurttemberg","48.78232","9.17702","48.78232, 9.17702"
"tübingen_DE_gid_2820860","Tübingen","Germany","Baden-Wurttemberg","48.52266","9.05222","48.52266, 9.05222"
"calais_FR_gid_3029162","Calais","France","Hauts-de-France","50.95194","1.85635","50.95194, 1.85635"
"lochau_DE_gid_2876645","Lochau","Germany","Saxony-Anhalt","51.39738","12.05303","51.39738, 12.05303"
"weinsberg_DE_gid_2812158","Weinsberg","Germany","Baden-Wurttemberg","49.15127","9.28762","49.15127, 9.28762"
"brussels_BE_gid_2800866","Brussels","Belgium","Brussels Capital","50.85045","4.34878","50.85045, 4.34878"
"bamberg_DE_gid_2952984","Bamberg","Germany","Bavaria","49.89873","10.90067","49.89873, 10.90067"
"paris_FR_gid_2988507","Paris","France","Île-de-France","48.85341","2.3488","48.85341, 2.3488"
"steinheim_castle_DE_gid_unknown","Schloss Steinheim","Germany","Hesse","50.1086","8.91605","50.1086, 8.91605"
"altenburg_DE_gid_2957773","Altenburg","Germany","Thuringia","50.98763","12.43684","50.98763, 12.43684"
"ingolstadt_DE_gid_2895992","Ingolstadt","Germany","Bavaria","48.76508","11.42372","48.76508, 11.42372"
"grimma_DE_gid_2917325","Grimma","Germany","Saxony","51.23367","12.71959","51.23367, 12.71959"
