"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2","colour"
"thüngen_konrad_ii_von_viaf_26411713","individual","male","Konrad von THÜNGEN","burg_reußenberg_DE_gid_unknown","Burg Reussenberg",1466,"1466-01-01",1,1466,"1466-12-31","würzburg_DE_gid_2805615","Würzburg",1540,"1540-06-16",0,1540,"#C3161F"
"pirckheimer_willibald_viaf_27173507","individual","male","Willibald PIRCKHEIMER","eichstätt_DE_gid_2932069","Eichstätt",1470,"1470-12-05",0,1470,"1470-12-05","nürnberg_DE_gid_2861650","Nürnberg",1530,"1530-12-22",0,1530,"#D5AB5B"
"lotzer_johann_(1)_viaf_37256989","individual","male","Johann (I) LOTZER","horb_am_neckar_DE_gid_2899101","Horb",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"#C3161F"
"zasius_ulrich_viaf_61645489","individual","male","Udalricus ZASIUS","konstanz_DE_gid_2885679","Konstanz",1461,"1461-01-01",1,1461,"1461-12-31","freiburg_DE_gid_2925177","Freiburg im Breisgau",1535,"1535-11-24",0,1535,"#C3161F"
"glareanus_henricus_viaf_73950690","individual","male","Henricus GLAREANUS","mollis_CH_gid_2659636","Mollis/Glarus",1488,"1488-06-01",1,1488,"1488-06-30","freiburg_DE_gid_2925177","Freiburg i. Br.",1563,"1563-03-27",1,1563,"#C3161F"
"erasmus_desiderius_viaf_95982394","individual","male","Erasmus Desiderius","rotterdam_NL_gid_2747891","bei Rotterdam",1469,"1469-01-01",1,1469,"1469-12-31","basel_CH_gid_2661604","Basel",1536,"1536-01-01",1,1536,"#3C93AF"
"rhenanus_beatus_viaf_39415982","individual","male","BEATUS Rhenanus","sélestat_FR_gid_2975233","Sélestat",1485,"1485-08-22",0,1485,"1485-08-22","strasbourg_FR_gid_2973783","Strasbourg",1547,"1547-07-20",0,1547,"#C3161F"
"spiegel_jakob_viaf_24846746","individual","male","Jakob SPIEGEL","sélestat_FR_gid_2975233","Sélestat",1483,"1483-01-01",1,1483,"1483-12-31","unknown_location_XX_gid_unknown","Unknown",1547,"1547-07-01",1,NA,"#C3161F"
"spalatin_georg_viaf_240011410","individual","male","Georgius SPALATINUS","spalt_DE_gid_2830849","Spalt",1484,"1484-01-17",0,1484,"1484-01-17","altenburg_DE_gid_2957773","Altenburg",1545,"1545-01-16",0,1545,"#C3161F"
"neuenar_hermann_graf_von_viaf_18164526","individual","male","Hermann von NEUENAHR","unknown_location_in_germany_DE_gid_unknown","Unknown",1492,"1492-01-01",1,1492,"1492-12-31","augsburg_DE_gid_2954172","Augsburg",1530,"1530-10-30",0,1530,"#C3161F"
"egnazio_giovanni_battista_viaf_100187526","individual","male","Giambattista EGNAZIO","venice_IT_gid_3164603","Venice",1478,"1478-01-01",1,1478,"1478-12-31","unknown_location_XX_gid_unknown","Unknown",1553,"1553-07-04",0,1553,"#C3161F"
"balthasar_konstanz_bischof_viaf_42723378","individual","male","Balthasar MERKLIN","waldkirch_DE_gid_2814883","Waldkirch, near Freiburg",1479,"1479-01-01",1,1479,"1479-12-31","trier_DE_gid_2821164","Trier",1531,"1531-05-28",0,1531,"#C3161F"
"oecolampadius_johann_viaf_56634092","individual","male","Johannes OECOLAMPADIUS","weinsberg_DE_gid_2812158","Weinsberg",1482,"1482-01-01",1,1482,"1482-12-31","basel_CH_gid_2661604","Basel",1531,"1531-11-22",1,1531,"#C3161F"
"cochlæus_johannes_viaf_121589726","individual","male","Johannes COCHLAEUS","wendelstein_DE_gid_2811292","Wendelstein bei Schwabach/Mittelfranken",1479,"1479-01-01",1,1479,"1479-12-31","wrocław_PL_gid_3081368","Breslau",1552,"1552-01-10",0,1552,"#C3161F"
