"correspondents_id","type","gender","viaf_id","wikidata_id","gnd_id","cerl_id","emlo_person_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotation","dob_annotation_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotation","dod_annotation_ref","further_annotation"
"7c21ae3e-a7f0-46a8-8ebb-db3dabe6de21","individual","male","30349975","Q19958916","101217493X","cnp01290637","NULL","Nicolaus BASELLIUS [COE] // Nikolaus Basellius [CWE] // Basell, Nicholas [ALLEN]","Basell // Basellius // Baselius","COE I, 98-99 // GND","bad_dürkheim_DE_gid_2953522","Bad Dürkheim","COE I, 98-99","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","kloster_hirsau_DE_gid_11398244","Hirsau","GND","1532","NULL","NULL","1532-01-01","1","1532","NULL","NULL","1532-12-31","ca 1532","GND","NULL"
"d9233b24-a98c-4279-8065-e2ab70c0d080","individual","male","27173507","Q62663","118594605","cnp01303090","5b704b83-b998-472f-abde-5a693a4be59d","Willibald PIRCKHEIMER [COE] // Willibald Pirckheimer [CWE] // Pirckheimer, Willibald [ALLEN]","Philadelphus // Cotta // Cottalambergius // Cottalembergius // Cotta Lembergius","GND","eichstätt_DE_gid_2932069","Eichstätt","COE III, 90-94","1470","12","05","1470-12-05","0","1470","12","05","1470-12-05","5 December 1470","COE III, 90-94","nürnberg_DE_gid_2861650","Nürnberg","COE III, 90-94","1530","12","22","1530-12-22","0","1530","12","22","1530-12-22","22 December 1530","COE III, 90-94","NULL"
"d2fe0216-e9b0-4077-ba21-251d1ff16084","individual","male","96579640","Q49237","118640437","cnp01236339","6e8c973d-6ac3-417a-969f-8f0c12594feb","Pope LEO X [COE] // Leo X / Giovanni de' Medici [CWE] // Leo X, Pope [ALLEN]","Giovanni de' Medici","COE II, 319-322","florence_IT_gid_3176959","Florence","COE II, 319-322","1475","12","11","1475-12-11","0","1475","12","11","1475-12-11","11 December 1475","COE II, 319-322","rome_IT_gid_3169070","Rome","COE II, 319-322","1521","12","01","1521-12-01","0","1521","12","01","1521-12-01","1 December 1521","COE II, 319-322","NULL"
"8444896d-fb1b-4eb5-9f39-39b1e78d470c","individual","male","72207021","Q47489015","119612828","cnp01053672","7f41900d-9810-40c7-855c-8bd0b6d80e24","Jacopo BANNISIO [COE] // Jacopo Bannisio [CWE] // Banisius, Jacobus [ALLEN]","Bannisio // Bannicius // Bannisiis // Bannissis // Banisius","GND // COE I, 90-91","korčula_HR_gid_3197710","Korčula","COE I, 90-91","1466","10","15","1466-10-15","0","1466","10","15","1466-10-15","15 October 1466","SOBA","trento_IT_gid_3165243","Trento","Dizionario Biografico degli Italiani","1532","11","19","1532-11-19","0","1532","11","19","1532-11-19","19 November 1532","COE I, 90-91","NULL"
"dba1603f-8714-4349-a9d4-06f69cb86e50","individual","male","17232588","Q72662","118600796","cnp01320312","NULL","Urbanus RHEGIUS [COE] // Urbanus Regius [CWE] // Regius, Urbanus (Rieger) [ALLEN]","Urban Rieger","COE III, 151-153","langenargen_DE_gid_2881263","Langenargen","COE III, 151-153","1489","05","NULL","1489-05-01","1","1489","05","NULL","1489-05-31","May 1489","COE III, 151-153","celle_DE_gid_2940213","Celle","COE III, 151-153","1541","05","23","1541-05-23","0","1541","05","23","1541-05-23","23 May 1541","COE III, 151-153","NULL"
"3ee5f6cd-ee1c-4774-af66-27271ec71cb3","individual","male","73950690","Q124070","11905339X","cnp01303318","NULL","Henricus GLAREANUS [COE] // Henricus Glareanus [CWE] // Glareanus, Henricus (H. Loriti of Glarus) [ALLEN]","Loriti // Loritz // Loris // Loritus // Glarean","GND","mollis_CH_gid_2659636","Mollis/Glarus","HGK I, 304","1488","06","NULL","1488-06-01","1","1488","06","NULL","1488-06-30","June 1488","COE II, 105-108","freiburg_DE_gid_2925177","Freiburg i. Br.","HGK I, 304","1563","03","27","1563-03-27","1","1563","03","28","1563-03-28","27/8 March 1563","COE II, 105-108","NULL"
"8c816868-8923-4daa-a154-e00dd8f38dff","individual","male","66542815","Q61067","118744658","cnp01303128","546e1022-3f14-427b-bae6-6545401369f4","Johann REUCHLIN [COE] // Johann Reuchlin [CWE] // Reuchlin, Johann (Capnio) [ALLEN]","Capnion // Capnio // Roechlin // Kapnion // Reuchlinus","GND","pforzheim_DE_gid_2853969","Pforzheim","GND","1455","01","29","1455-01-29","0","1455","01","29","1455-01-29","29.01.1455","LEO BW","stuttgart_DE_gid_2825297","Stuttgart","GND","1522","06","30","1522-06-30","0","1522","06","30","1522-06-30","30 June 1522","COE III, 145-150","NULL"
"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","individual","male","87673996","Q43499","118530666","cnp01259600","3d57cf71-45af-4e07-a6bd-d83773da9c21","[Erasmus Desiderius] [COE] // Erasmus [CWE] // Erasmus [ALLEN]","NULL","NULL","rotterdam_NL_gid_2747891","bei Rotterdam","HGK I, 250","1469","NULL","NULL","1469-01-01","1","1469","NULL","NULL","1469-12-31","1469","HGK I, 250","basel_CH_gid_2661604","Basel","HGK I, 250","1536","NULL","NULL","1536-01-01","1","1536","NULL","NULL","1536-12-31","1536","HGK I 250","NULL"
"048e0147-58cf-45e5-8312-f52998ca0ee4","individual","male","19702295","Q71712","118684566","cnp01256262","NULL","Hieronymus EMSER [COE] // Hieronymus Emser [CWE] // Emser, Hieronymus [ALLEN]","Emßer // Embser // Empse // Emsser","GND","weidenstetten_DE_gid_2812958","Weidenstetten bei Ulm","HGK I, 246","1479","03","28","1479-03-28","0","1479","03","28","1479-03-28","28 March 1479","COE I, 429-430","dresden_DE_gid_2935022","Dresden","HGK I, 246","1527","12","08","1527-12-08","0","1527","12","08","1527-12-08","8 December 1527","COE I, 429-430","NULL"
"8ad99d13-2ff3-4b64-b5aa-253a2613dc74","individual","male","4969350","Q64344","118521330","cnp01302537","bff27372-c8ac-4a54-bc43-4d3c2e5fc689","Johannes COCHLAEUS [COE] // Johannes Cochlaeus [CWE] // Cochlaeus, Joannes (Dobneck) [ALLEN]","Dobnek // Cocleus // Cochleus // Cochläus // Dobeneck // Dobenek Wendelstenius","GND","wendelstein_DE_gid_2811292","Wendelstein bei Schwabach/Mittelfranken","HGK I, 189","1479","01","10","1479-01-10","0","1479","01","10","1479-01-10","10.01.1479","Sächsische Biografie","wrocław_PL_gid_3081368","Breslau","HGK I, 189","1552","01","10","1552-01-10","0","1552","01","10","1552-01-10","10 January 1552","COE I, 321-322","NULL"
"b5214f05-0224-4d53-9197-52039465d803","individual","male","71399367","Q123034","118637533","cnp01302883","578ed3f0-58e8-4cd1-931e-1845800fc96e","Huldrych ZWINGLI [COE] // Huldrych Zwingli [CWE] // Zwingli, Ulrich [ALLEN]","Zuinglius","COE III, 481-486","wildhaus_CH_gid_2657988","Wildhaus - St Gallen - Switzerland","COE III, 481-486","1484","01","01","1484-01-01","0","1484","01","01","1484-01-01","1 January 1484","COE III, 481-486","kappel_CH_gid_2660189","Kappel am Albis","GND","1531","10","11","1531-10-11","0","1531","10","11","1531-10-11","11 October 1531","COE III, 481-486","NULL"
"2bf9cc2d-d91a-4d46-b38a-c2c0584f1ab0","individual","male","76319978","Q76325","118580485","cnp01479433","20805562-d3d0-48db-9aa9-36dfa4bec0cd","Philippus MELANCHTHON [COE] // Philippus Melanchthon [CWE] // Melanchthon, Philip [ALLEN]","Didymus Faventinus // Theophilus Neocomensis // Schwartzerd // Schwarzerd // Schwarzert // Schwarzerdt","GND","bretten_DE_gid_2944200","Bretten","COE II, 424-429","1497","02","16","1497-02-16","0","1497","02","16","1497-02-16","16 February 1497","COE II, 424-429","wittenberg_DE_gid_7303020","Wittenberg","COE II, 424-429","1560","04","19","1560-04-19","0","1560","04","19","1560-04-19","19 April 1560","COE II, 424-429","NULL"
"313d5e42-31ce-44fe-9832-eb4da2e49fcb","individual","male","61578502","Q1368362","118518968","cnp01303385","NULL","Wolfgang Faber CAPITO [COE] // Wolfgang Capito [CWE] // Capito, Wolfgang Fabricius (Köpfel) [ALLEN]","Capito // Luithold // Luitholdus // Capiton // Cephalaeus // Köphel // Köphl // Cephaleus // Köpphel // Faber // Luithold // Köpffel // Köpfel // Koepfel","GND","haguenau_FR_gid_3014078","Hagenau/Elsaß","HGK I, 163","1478","NULL","NULL","1478-01-01","1","1478","NULL","NULL","1478-12-31","1478","HGK I, 163","strasbourg_FR_gid_2973783","Straßburg","HGK I, 163","1541","11","02","1541-11-02","0","1541","11","02","1541-11-02","2 November 1541","COE I, 261-264","NULL"
"a9779b0b-cb2b-4a48-84c4-940449ef5c3c","individual","male","61645489","Q69024","118772295","cnp01163813","NULL","Udalricus ZASIUS [COE] // Udalricus Zasius [CWE] // Zasius, Ulrich [ALLEN]","Zasy // Zäsy // Zazius","GND // COE III, 469-473","konstanz_DE_gid_2885679","Konstanz","HDS","1461","01","NULL","1461-01-01","1","1461","01","NULL","1461-01-31","Januar 1461","HDS","freiburg_DE_gid_2925177","Freiburg im Breisgau","GND","1535","11","24","1535-11-24","0","1535","11","24","1535-11-24","24 November 1535","COE III, 469-473","NULL"
