"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"wpirck_bw_630","630","basellius_nikolaus_viaf_30349975","Nikolaus Basellius","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Nikolaus Basellius an P. Lat. Autogr. Würzburg, 5. November 1519","1519","11","05","1519-11-05","0","1519","11","05","1519-11-05","5. November 1519","0","0","0","würzburg_DE_gid_2805615","Würzburg","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1",""
"era_cwe_910","910 [CWE] // 910 [ALLEN]","melanchthon_philipp_viaf_76319978","Philippus Melanchthon [CWE]","0","0","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","910 From Philippus Melanchthon Leipzig, 5 January 1519 [CWE]","1519","01","05","1519-01-05","0","1519","01","05","1519-01-05","5 January 1519 [CWE]","0","0","0","leipzig_DE_gid_2879139","Leipzig [CWE]","0","0","leuven_BE_gid_2792482","","1","0","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_588","588","melanchthon_philipp_viaf_76319978","Philipp Melanchthon","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Philipp Melanchthon an P. Lat./Griech. Abdruck. Wittenberg, 21. Februar 1519","1519","02","21","1519-02-21","0","1519","02","21","1519-02-21","21. Februar 1519","0","0","0","wittenberg_DE_gid_7303020","Wittenberg","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1",""
"era_cwe_911","911 [CWE] // 911 [ALLEN]","schade_peter_viaf_12457732","Petrus Mosellanus [CWE]","0","0","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","911 From Petrus Mosellanus Leipzig, 6 January 1519 [CWE]","1519","01","06","1519-01-06","0","1519","01","06","1519-01-06","6 January 1519 [CWE]","0","0","0","leipzig_DE_gid_2879139","Leipzig [CWE]","0","0","leuven_BE_gid_2792482","","1","0","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_582","582","schade_peter_viaf_12457732","Petrus Mosellanus","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Petrus Mosellanus an P. Lat. Autogr. Leipzig, 24. Januar <1519>","1519","01","24","1519-01-24","0","1519","01","24","1519-01-24","24. Januar <1519>","1","0","0","leipzig_DE_gid_2879139","Leipzig","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_614","614","schade_peter_viaf_12457732","Petrus Mosellanus","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Petrus Mosellanus an P. Lat. Abdruck. Erfurt, 3. August 1519","1519","08","03","1519-08-03","0","1519","08","03","1519-08-03","3. August 1519","0","0","0","erfurt_DE_gid_2929670","Erfurt","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_593","593","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","schade_peter_viaf_12457732","<Petrus Mosellanus>","1","0","P. an <Petrus Mosellanus>. Lat. Konz. <Nürnberg, März 1519>","1519","03","","1519-03-01","1","1519","03","","1519-03-31","<März 1519>","1","1","1","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","leipzig_DE_gid_2879139","Leipzig","1","1","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_621","621","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","reuchlin_johann_viaf_66542815","Johannes Reuchlin","0","0","P. an Johannes Reuchlin. Dt. Konz. <Nürnberg, ab 27. August 1519>","1519","","","1519-08-27","1","","","","1519-11-07","<ab 27. August 1519>","1","1","1","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","stuttgart_DE_gid_2825297","Stuttgart","1","1","german","familiar letter","letter_1_to_1","a terminus ante quem might be established by Ep. 631"
"wpirck_bw_635","635","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","neuenar_hermann_graf_von_viaf_18164526","Graf Hermann von Neuenahr","0","0","P., Widmungsepistel zu Lukian, Fugitivi, an Graf Hermann von Neuenahr. Lat. Druck, Konz. <Nürnberg, kurz vor 23. November 1519>","1519","11","","1519-11-15","1","1519","11","","1519-11-22","<kurz vor 23. November 1519>","1","1","1","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","köln_DE_gid_2886242","Köln","1","1","latin","dedicatory letter","letter_1_to_1",""
"wpirck_bw_636","636","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","zwingli_ulrich_viaf_71399367","Ulrich Zwingli","0","0","P. an Ulrich Zwingli. Lat. Autogr. Nürnberg, 23. November 1519","1519","11","23","1519-11-23","0","1519","11","23","1519-11-23","23. November 1519","0","0","0","nürnberg_DE_gid_2861650","Nürnberg","0","0","unknown_location_XX_gid_unknown","","0","1","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_645","645","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","emser_hieronymus_viaf_19702295","Hieronymus Emser","0","0","P., Widmungsepistel zu Lukian, Rhetor, an Hieronymus Emser. Lat. Druck, Konz. <Nürnberg, Anfang Dezember 1519>","1519","12","","1519-12-01","1","1519","12","","1519-12-10","<Anfang Dezember 1519>","1","1","1","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","dresden_DE_gid_2935022","Dresden","1","1","latin","dedicatory letter","letter_1_to_1",""
"wpirck_bw_655b","655b","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","cochlæus_johannes_viaf_121589726","Johannes Cochläus","0","0","P. an Johannes Cochlaeus. Lat. Druck.\n<Nürnberg, Jahresende 1519>","1519","12","","1519-12-20","1","1519","12","","1519-12-31","<Jahresende 1519>","1","1","0","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","rome_IT_gid_3169070","Rome","1","1","latin","familiar letter","letter_1_to_1","Nachtrag in Bd. 7 zu Bd. 4"
"era_cwe_933","933 [CWE] // 933 [ALLEN]","luther_martin_viaf_14773105","Martin Luther [CWE]","0","0","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","933 From Martin Luther Wittenberg, 28 March 1519 [CWE]","1519","03","28","1519-03-28","0","1519","03","28","1519-03-28","28 March 1519 [CWE]","0","0","0","wittenberg_DE_gid_7303020","Wittenberg [CWE]","0","0","leuven_BE_gid_2792482","","1","0","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_587","587","luther_martin_viaf_14773105","Martin Luther","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Martin Luther an P. Lat. Autogr. Wittenberg, 20. Februar 1519","1519","02","20","1519-02-20","0","1519","02","20","1519-02-20","20. Februar 1519","0","0","0","wittenberg_DE_gid_7303020","Wittenberg","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_650","650","lang_johann_viaf_67343955","Johannes Lange","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Johannes Lange an P. Lat. Autogr. Erfurt, 21. Dezember 1519","1519","12","21","1519-12-21","0","1519","12","21","1519-12-21","21. Dezember 1519","0","0","0","erfurt_DE_gid_2929670","Erfurt","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1",""
