"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"era_cwe_1337","1337 [CWE] // 1337 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer [CWE]","0","0","1337 To Willibald Pirckheimer Basel, 8 January 1523 [CWE]","1523","01","08","1523-01-08","0","1523","01","08","1523-01-08","8 January 1523 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","nürnberg_DE_gid_2861650","[Nuremberg]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1338","1338 [CWE] // 1338 [ALLEN]","8e337b13-a43c-4100-81c0-7ee324f61eb0","Adrian VI [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1338 From Adrian VI Rome, 23 January 1523 [CWE]","1523","01","23","1523-01-23","0","1523","01","23","1523-01-23","23 January 1523 [CWE]","0","0","0","rome_IT_gid_3169070","Rome [CWE]","0","0","basel_CH_gid_2661604","[Basel]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1344","1344 [CWE] // 1344 [ALLEN]","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1344 From Willibald Pirckheimer Nürnberg, 17 February 1523 [CWE]","1523","02","17","1523-02-17","0","1523","02","17","1523-02-17","17 February 1523 [CWE]","0","0","0","nürnberg_DE_gid_2861650","Nürnberg [CWE]","0","0","basel_CH_gid_2661604","[Basel]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1348","1348 [CWE] // 1348 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","e921d3e6-9dc2-40e7-9fe6-902dcd5cfe9b","[Georgius Spalatinus] [CWE]","1","0","1348 To [Georgius Spalatinus] Basel, 11 March 1523 [CWE]","1523","03","11","1523-03-11","0","1523","03","11","1523-03-11","11 March 1523 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","lochau_DE_gid_2876645","[Lochau]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1352","1352 [CWE] // 1352 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","8e337b13-a43c-4100-81c0-7ee324f61eb0","Adrian VI [CWE]","0","0","1352 To Adrian VI [Basel, 22 March 1523] [CWE]","1523","03","22","1523-03-22","0","1523","03","22","1523-03-22","[22 March 1523] [CWE]","1","0","0","basel_CH_gid_2661604","[Basel] [CWE]","1","0","rome_IT_gid_3169070","[Rome]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1353","1353 [CWE] // 1353 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","Udalricus Zasius [CWE]","0","0","1353 To Udalricus Zasius Basel, [23 March] 1523 [CWE]","1523","03","23","1523-03-23","0","1523","03","23","1523-03-23","[23 March] 1523 [CWE]","1","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","freiburg_DE_gid_2925177","[Freiburg im Breisgau]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1356","1356 [CWE] // 1356 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","6fc3d197-6ece-40c4-829a-fb63f2ed1ea3","Ulrich von Hutten [CWE]","0","0","1356 To Ulrich von Hutten Basel, 3 April [1523] [CWE]","1523","04","03","1523-04-03","0","1523","04","03","1523-04-03","3 April [1523] [CWE]","1","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","mulhouse_FR_gid_2991214","[Mulhouse]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1368","1368 [CWE] // 1368 [ALLEN]","313d5e42-31ce-44fe-9832-eb4da2e49fcb","Wolfgang Faber Capito [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1368 From Wolfgang Faber Capito Strasbourg, 18 June 1523 [CWE]","1523","06","18","1523-06-18","0","1523","06","18","1523-06-18","18 June 1523 [CWE]","0","0","0","strasbourg_FR_gid_2973783","Strasbourg [CWE]","0","0","basel_CH_gid_2661604","[Basel]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1374","1374 [CWE] // 1374 [ALLEN]","313d5e42-31ce-44fe-9832-eb4da2e49fcb","Wolfgang Faber Capito [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1374 From Wolfgang Faber Capito Strasbourg, 6 July 1523 [CWE]","1523","07","06","1523-07-06","0","1523","07","06","1523-07-06","6 July 1523 [CWE]","0","0","0","strasbourg_FR_gid_2973783","Strasbourg [CWE]","0","0","basel_CH_gid_2661604","[Basel]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1376","1376 [CWE] // 1376 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer [CWE]","0","0","1376 To Willibald Pirckheimer Basel, 19 July [1523] [CWE]","1523","07","19","1523-07-19","0","1523","07","19","1523-07-19","19 July [1523] [CWE]","1","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","nürnberg_DE_gid_2861650","[Nuremberg]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1378","1378 [CWE] // 1378 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","b5214f05-0224-4d53-9197-52039465d803","Huldrych Zwingli [CWE]","0","0","1378 To Huldrych Zwingli [Basel, early August 1523] [CWE]","1523","08","NULL","1523-08-01","1","1523","08","NULL","1523-08-10","[early August 1523] [CWE]","1","0","0","basel_CH_gid_2661604","[Basel] [CWE]","1","0","zürich_CH_gid_2657896","[Zurich]","1","0","latin","prefatory letter","letter_1_to_1","preface to Erasmus' Spongia adversus aspergines Hutteni (Basel: Froben September 1523), cf. CWE X, 54"
"era_cwe_1383","1383 [CWE] // 1383 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer [CWE]","0","0","1383 To Willibald Pirckheimer [Basel], 29 August [1523] [CWE]","1523","08","29","1523-08-29","0","1523","08","29","1523-08-29","29 August [1523] [CWE]","1","0","0","basel_CH_gid_2661604","[Basel] [CWE]","1","0","nürnberg_DE_gid_2861650","[Nuremberg]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1384","1384 [CWE] // 1384 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","b5214f05-0224-4d53-9197-52039465d803","Huldrych Zwingli [CWE]","0","0","1384 To Huldrych Zwingli Basel, 31 August [1523] [CWE]","1523","08","31","1523-08-31","0","1523","08","31","1523-08-31","31 August [1523] [CWE]","1","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","zürich_CH_gid_2657896","[Zurich]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1398","1398 [CWE] // 1398 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer [CWE]","0","0","1398 To Willibald Pirckheimer Basel, 21 November 1523 [CWE]","1523","11","21","1523-11-21","0","1523","11","21","1523-11-21","21 November 1523 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","nürnberg_DE_gid_2861650","[Nuremberg]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"wpirck_bw_788","788","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer","0","0","1d206913-3666-4b58-9ec3-ff95863e8f94","Johannes Oecolampadius","0","0","P. an Johannes Oecolampadius. Lat. Autogr. Nürnberg, 1. Juli 1523","1523","07","01","1523-07-01","0","1523","07","01","1523-07-01","1. Juli 1523","0","0","0","nürnberg_DE_gid_2861650","Nürnberg","0","0","basel_CH_gid_2661604","Basel","1","1","latin","familiar letter","letter_1_to_1","NULL"
"wpirck_bw_791","791","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer","0","0","048e0147-58cf-45e5-8312-f52998ca0ee4","Hieronymus Emser","0","0","P. an Hieronymus Emser. Lat. Abschr. Nürnberg, 10. August 1523","1523","08","10","1523-08-10","0","1523","08","10","1523-08-10","10. August 1523","0","0","0","nürnberg_DE_gid_2861650","Nürnberg","0","0","dresden_DE_gid_2935022","Dresden","1","1","latin","familiar letter","letter_1_to_1","NULL"
"wpirck_bw_797","797","e921d3e6-9dc2-40e7-9fe6-902dcd5cfe9b","Georg Spalatin","0","0","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer","0","0","Georg Spalatin an P. Lat. Autogr. <Nürnberg>, 30. November 1523","1523","11","30","1523-11-30","0","1523","11","30","1523-11-30","30. November 1523","0","0","0","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1","NULL"
"wpirck_bw_798","798","e921d3e6-9dc2-40e7-9fe6-902dcd5cfe9b","Georg Spalatin","0","0","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer","0","0","Georg Spalatin an P. Lat. Autogr. <Nürnberg>, 22. Dezember 1523","1523","12","22","1523-12-22","0","1523","12","22","1523-12-22","22. Dezember 1523","0","0","0","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1","NULL"
"wpirck_bw_799","799","3ee5f6cd-ee1c-4774-af66-27271ec71cb3","Heinrich Glareanus","0","0","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer","0","0","Heinrich Glareanus an P. Lat. Autogr. Basel, <Ende 1523>","1523","NULL","NULL","1523-11-01","1","1523","NULL","NULL","1523-12-31","<Ende 1523>","1","0","1","basel_CH_gid_2661604","Basel","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1","NULL"
