"correspondents_id","type","gender","viaf_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotion","dob_annotion_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotion","dod_annotion_ref","further_annotation"
"camerarius_joachim_viaf_2495607","individual","male","2495607","Joachim CAMERARIUS [COE] // Joachim Camerarius [CWE] // Camerarius, Joachim the elder [ALLEN]","Joachim Camerarius der Ältere // Liebhard // Camerary // Kamerariades // Kammermeister // Camermeister // Kämmerer","GND // COE I, 247-248 // HGK I, 158","bamberg_DE_gid_2952984","Bamberg","HGK I, 158","1500","04","12","1500-04-12","0","1500","04","12","1500-04-12","12 April 1500","COE I, 247-248","leipzig_DE_gid_2879139","Leipzig","HGK I, 158","1574","04","17","1574-04-17","0","1574","04","17","1574-04-17","17 April 1574","COE I, 247-248",""
"melanchthon_philipp_viaf_76319978","individual","male","76319978","Philippus MELANCHTHON [COE] // Philippus Melanchthon [CWE] // Melanchthon, Philip [ALLEN]","Didymus Faventinus // Theophilus Neocomensis // Schwartzerd // Schwarzerd // Schwarzert // Schwarzerdt","GND","bretten_DE_gid_2944200","Bretten","COE II, 424-429","1497","02","16","1497-02-16","0","1497","02","16","1497-02-16","16 February 1497","COE II, 424-429","wittenberg_DE_gid_7303020","Wittenberg","COE II, 424-429","1560","04","19","1560-04-19","0","1560","04","19","1560-04-19","19 April 1560","COE II, 424-429",""
"pirckheimer_willibald_viaf_27173507","individual","male","27173507","Willibald PIRCKHEIMER [COE] // Willibald Pirckheimer [CWE] // Pirckheimer, Willibald [ALLEN]","Philadelphus // Cotta // Cottalambergius // Cottalembergius // Cotta Lembergius // Pirckheimer // Byrkhamer // Pirkeymerus // Pyrckheimerus // Pyrkheymerus // Birgheimerus // Birgheimer // Pirckheymer // Birckheimer // Pirckheimerus // Pirkheimer // Pirchaimerus // Pirckeymer // Bircamer // Birchheimer // Pirkheymer // Pirkamerus // Pirkeymer // Bircamerus // Birckhaimer // Pircheimerus // Pirckeymerus // Pirckeymherus // Pirckheymerus // Birckheymerus // Pircheymerus // Pirckheimherus // Pirckh","GND","eichstätt_DE_gid_2932069","Eichstätt","COE III, 90-94","1470","12","05","1470-12-05","0","1470","12","05","1470-12-05","5 December 1470","COE III, 90-94","nürnberg_DE_gid_2861650","Nürnberg","COE III, 90-94","1530","12","22","1530-12-22","0","1530","12","22","1530-12-22","22 December 1530","COE III, 90-94",""
"hessus_helius_eobanus_viaf_71412338","individual","male","71412338","Helius EOBANUS Hessus [COE] // Helius Eobanus Hessus [CWE] // Eobanus, Helius (Hessus) [ALLEN]","Koch // Hesse // Hessi // Hess // von Frankenberg","GND","halgehausen_DE_gid_2911550","Halgehausen bei Frankenberg/Hessen","HGK I, 248","1488","01","06","1488-01-06","0","1488","01","06","1488-01-06","6 January 1488","COE I, 434-436","marburg_an_der_lahn_DE_gid_2873759","Marburg/Lahn","HGK I, 248","1540","10","04","1540-10-04","0","1540","10","04","1540-10-04","4 October 1540","COE I, 434-436",""
"venatorius_thomas_viaf_43677502","individual","male","43677502","Thomas VENATORIUS [COE] // Thomas Venatorius [CWE] // Venatorius, Thomas [ALLEN]","Jagauf // Gechauf // Gechauff // Jäger // Ventorius // Jagauf // Venator","GND","nürnberg_DE_gid_2861650","Nürnberg","COE III, 382-383","1488","01","01","1488-01-01","1","1488","12","31","1488-12-31","c 1488","COE III, 382-383","nürnberg_DE_gid_2861650","Nürnberg","COE III, 382-383","1551","02","04","1551-02-04","0","1551","02","04","1551-02-04","4 February 1551","COE III, 382-383",""
"erasmus_desiderius_viaf_95982394","individual","male","95982394","[Erasmus Desiderius] [COE] // Erasmus [CWE] // Erasmus [ALLEN]","","","rotterdam_NL_gid_2747891","bei Rotterdam","HGK I, 250","1469","","","1469-01-01","1","1469","","","1469-12-31","1469","HGK I, 250","basel_CH_gid_2661604","Basel","HGK I, 250","1536","","","1536-01-01","1","1536","","","1536-12-31","1536","HGK I 250",""
"rhenanus_beatus_viaf_39415982","individual","male","39415982","BEATUS Rhenanus [COE] // Beatus Rhenanus [CWE] // Beatus Rhenanus (Beat Bild) [ALLEN]","Rinower // Licentius Evangelus // Bild // Selezestadiensis // Selestadiensis // Bildius","COE I, 104-109 // GND","sélestat_FR_gid_2975233","Sélestat","COE I, 104-109","1485","08","22","1485-08-22","0","1485","08","22","1485-08-22","22 August 1485","COE I, 104-109","strasbourg_FR_gid_2973783","Strasbourg","COE I, 104-109","1547","07","20","1547-07-20","0","1547","07","20","1547-07-20","20 July 1547","COE I, 104-109",""
"spalatin_georg_viaf_240011410","individual","male","240011410","Georgius SPALATINUS [COE] // Georgius Spalatinus [CWE] // Spalatinus, George [ALLEN]","Burckhardt // Burkhardt // Burckard // Burkhard // Burkard // Burckart // Burckard // Spalatin // Burghardt // Burchardus","GND","spalt_DE_gid_2830849","Spalt","COE III, 266-268","1484","01","17","1484-01-17","0","1484","01","17","1484-01-17","17 January 1484","COE III, 266-268","altenburg_DE_gid_2957773","Altenburg","COE III, 266-268","1545","01","16","1545-01-16","0","1545","01","16","1545-01-16","16 January 1545","COE III, 266-268",""
"balthasar_konstanz_bischof_viaf_42723378","individual","male","42723378","Balthasar MERKLIN [COE] // Balthasar Merklin [CWE] // Mercklin, Balthasar [ALLEN]","Mercklin","COE II, 434-435","waldkirch_DE_gid_2814883","Waldkirch, near Freiburg","COE II, 434-435","1479","","","1479-01-01","1","1479","","","1479-12-31","c 1479","COE II, 434-435","trier_DE_gid_2821164","Trier","COE II, 434-435","1531","05","28","1531-05-28","0","1531","05","28","1531-05-28","28 May 1531","COE II, 434-435",""
"cochlæus_johannes_viaf_121589726","individual","male","121589726","Johannes COCHLAEUS [COE] // Johannes Cochlaeus [CWE] // Cochlaeus, Joannes (Dobneck) [ALLEN]","Dobnek // Cocleus // Cochleus // Cochläus // Dobeneck // Dobenek Wendelstenius","GND","wendelstein_DE_gid_2811292","Wendelstein bei Schwabach/Mittelfranken","HGK I, 189","1479","","","1479-01-01","1","1479","","","1479-12-31","1479","HGK I, 189","wrocław_PL_gid_3081368","Breslau","HGK I, 189","1552","01","10","1552-01-10","0","1552","01","10","1552-01-10","10 January 1552","COE I, 321-322",""
