"Year","EPPEtX","EPPXtE","EPPPtX","EPPXtP"
"NULL","NULL","NULL","NULL","NULL"
"1484","NULL","NULL","NULL","NULL"
"1487","NULL","NULL","NULL","NULL"
"1488","NULL","NULL","NULL","NULL"
"1489","NULL","NULL","NULL","NULL"
"1491","NULL","NULL","NULL","NULL"
"1493","NULL","NULL","NULL","NULL"
"1494","NULL","NULL","NULL","NULL"
"1495","NULL","NULL","NULL","NULL"
"1496","NULL","NULL","NULL","NULL"
"1497","NULL","NULL","NULL","NULL"
"1498","NULL","NULL","NULL","NULL"
"1499","NULL","NULL","NULL","NULL"
"1500","NULL","NULL","NULL","NULL"
"1501","NULL","NULL","NULL","NULL"
"1502","NULL","NULL","NULL","NULL"
"1503","NULL","NULL","NULL","NULL"
"1504","NULL","NULL","NULL","NULL"
"1505","NULL","NULL","NULL","NULL"
"1506","NULL","NULL","NULL","NULL"
"1507","NULL","NULL","NULL","NULL"
"1508","NULL","NULL","NULL","NULL"
"1509","NULL","NULL","NULL","NULL"
"1510","NULL","NULL","NULL","NULL"
"1511","NULL","NULL","NULL","NULL"
"1512","NULL","NULL","NULL","NULL"
"1513","NULL","NULL","2","NULL"
"1514","NULL","NULL","1","NULL"
"1515","1","2","1","NULL"
"1516","NULL","1","NULL","NULL"
"1517","2","4","NULL","1"
"1518","2","NULL","NULL","1"
"1519","1","NULL","NULL","NULL"
"1520","1","NULL","NULL","NULL"
"1521","1","NULL","NULL","NULL"
"1522","NULL","NULL","NULL","NULL"
"1523","NULL","NULL","NULL","NULL"
"1524","NULL","NULL","NULL","NULL"
"1525","NULL","NULL","NULL","NULL"
"1526","NULL","NULL","NULL","NULL"
"1527","NULL","NULL","NULL","NULL"
"1528","NULL","1","NULL","NULL"
"1529","NULL","NULL","1","NULL"
"1530","NULL","NULL","NULL","NULL"
"1531","NULL","NULL","NULL","NULL"
"1532","NULL","NULL","NULL","NULL"
"1533","NULL","NULL","NULL","NULL"
"1534","NULL","NULL","NULL","NULL"
"1535","NULL","NULL","NULL","NULL"
"1536","NULL","NULL","NULL","NULL"
