"sender_id","name_in_edition","Number of letters sent to Erasmus per mutual correspondent"
"a9779b0b-cb2b-4a48-84c4-940449ef5c3c","Udalricus ZASIUS [COE] // Udalricus Zasius [CWE] // Zasius, Ulrich [ALLEN]","19"
"d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald PIRCKHEIMER [COE] // Willibald Pirckheimer [CWE] // Pirckheimer, Willibald [ALLEN]","15"
"313d5e42-31ce-44fe-9832-eb4da2e49fcb","Wolfgang Faber CAPITO [COE] // Wolfgang Capito [CWE] // Capito, Wolfgang Fabricius (Köpfel) [ALLEN]","10"
"0ec03581-0e29-4e21-88cd-139033fd0f9e","BEATUS Rhenanus [COE] // Beatus Rhenanus [CWE] // Beatus Rhenanus (Beat Bild) [ALLEN]","8"
"2bf9cc2d-d91a-4d46-b38a-c2c0584f1ab0","Philippus MELANCHTHON [COE] // Philippus Melanchthon [CWE] // Melanchthon, Philip [ALLEN]","8"
"68e9f7d5-7c19-4579-bcfb-1205839871dd","Nikolaus GERBEL [COE] // Nikolaus Gerbel [CWE] // Gerbell, Nicholas [ALLEN]","7"
"6fc3d197-6ece-40c4-829a-fb63f2ed1ea3","Ulrich von HUTTEN [COE] // Ulrich von Hutten [CWE] // Hutten, Ulrich von [ALLEN]","6"
"d2fe0216-e9b0-4077-ba21-251d1ff16084","Pope LEO X [COE] // Leo X / Giovanni de' Medici [CWE] // Leo X, Pope [ALLEN]","5"
"3ee5f6cd-ee1c-4774-af66-27271ec71cb3","Henricus GLAREANUS [COE] // Henricus Glareanus [CWE] // Glareanus, Henricus (H. Loriti of Glarus) [ALLEN]","5"
"87af3740-6b36-4e29-b4eb-b699da0ee2ab","Heinrich STROMER [COE] // Heinrich Stromer [CWE] // Stromer, Henry [ALLEN]","4"
"82023df8-a729-45f3-9e10-690acb331101","Johann (II) PAUMGARTNER [COE] // Johann (II) Paumgartner [CWE] // Paungartner, Johann [ALLEN]","3"
"e921d3e6-9dc2-40e7-9fe6-902dcd5cfe9b","Georgius SPALATINUS [COE] // Georgius Spalatinus [CWE] // Spalatinus, George [ALLEN]","3"
"8c816868-8923-4daa-a154-e00dd8f38dff","Johann REUCHLIN [COE] // Johann Reuchlin [CWE] // Reuchlin, Johann (Capnio) [ALLEN]","3"
"9303451d-5a45-49d0-a202-5fc0221ab96c","Julius PFLUG [COE] // Julius Pflug [CWE] // Pflug, Julius [ALLEN]","3"
"a20b6be9-28f9-46c7-b8cd-b6a0014d7d15","Giambattista EGNAZIO [COE] // Giambattista Egnazio [CWE] // Egnatius, Johannes Baptista [ALLEN]","3"
"c7280d05-7044-4b72-9af8-5dcff8b57743","Hermann von NEUENAHR [COE] // Hermann, Graf von Neu / Hermann von Neuenahr [CWE] // Neuenahr, Hermann Count of (Neaetius, de Nova Aquila, Nuenarius) [ALLEN]","3"
"048e0147-58cf-45e5-8312-f52998ca0ee4","Hieronymus EMSER [COE] // Hieronymus Emser [CWE] // Emser, Hieronymus [ALLEN]","3"
"4def768d-f29a-49fe-8466-9afeffa7a72c","Conradus PELLICANUS [COE] // Conradus Pellicanus [CWE] // Pellican, Conrad [ALLEN]","3"
"48011e35-9bac-4ce7-b181-62c64c2e22bc","Jakob SPIEGEL [COE] // Jakob Spiegel [CWE] // Spiegel, James [ALLEN]","3"
"117bf878-67de-4646-b967-b6022532ad85","Johann Maier of ECK [COE] // Johann Maier von Eck [CWE] // Eck, Johann [ALLEN]","2"
"e29e3092-5f6a-4995-b866-8df1aac8503d","Petrus MOSELLANUS [COE] // Petrus Mosellanus [CWE] // Mosellanus, Petrus (Schade) [ALLEN]","2"
"8ad99d13-2ff3-4b64-b5aa-253a2613dc74","Johannes COCHLAEUS [COE] // Johannes Cochlaeus [CWE] // Cochlaeus, Joannes (Dobneck) [ALLEN]","2"
"8e337b13-a43c-4100-81c0-7ee324f61eb0","Pope ADRIAN VI [COE] // Adrian VI [CWE] // Adrian VI, Pope (Adrian of Utrecht) [ALLEN]","2"
"be273f96-c387-44e8-b3ae-bc9bd615b3a5","Martin LUTHER [COE] // Martin Luther [CWE] // Luther, Martin [ALLEN]","2"
"b5214f05-0224-4d53-9197-52039465d803","Huldrych ZWINGLI [COE] // Huldrych Zwingli [CWE] // Zwingli, Ulrich [ALLEN]","1"
"dba1603f-8714-4349-a9d4-06f69cb86e50","Urbanus RHEGIUS [COE] // Urbanus Regius [CWE] // Regius, Urbanus (Rieger) [ALLEN]","1"
"daa18870-1c1f-4d5a-9cef-f9f93fcece52","Jakob ZIEGLER [COE] // Jakob Ziegler [CWE] // Ziegler, Jakob (Landavus Bavarus) [ALLEN]","1"
"1d206913-3666-4b58-9ec3-ff95863e8f94","Johannes OECOLAMPADIUS [COE] // Johannes Oecolampadius [CWE] // Oecolampadius, Joannes (John Hussgen) [ALLEN]","1"
"249047a8-a9e4-46ca-aff7-410a4999b64b","Thomas VENATORIUS [COE] // Thomas Venatorius [CWE] // Venatorius, Thomas [ALLEN]","1"
"bc50a443-ba15-40b1-a604-f5d5fbe99467","Balthasar MERKLIN [COE] // Balthasar Merklin [CWE] // Mercklin, Balthasar [ALLEN]","1"
"b680758a-3438-4879-a9ef-2f17ea220357","Johann (I) LOTZER [COE] // Johann Lotzer [CWE] // Lotzer, John [ALLEN]","1"
"7e4be060-6388-4fe4-b5f2-d5931ac9be71","Konrad von THÜNGEN [COE] // Konrad von Thüngen [CWE] // Thuengen, Conrad of [ALLEN]","1"
"ae299c0d-a569-4eb0-894a-0c99bfb0575e","Konrad PEUTINGER [COE] // Konrad Peutinger [CWE] // Peutinger, Conrad [ALLEN]","1"
"6bd6eb34-d5f1-47fe-bfaf-82f0aa28031d","Hermannus BUSCHIUS [COE] // Hermann von dem Busche [CWE] // Busch, Hermann [ALLEN]","1"
"6ffb373e-7884-42c0-b990-a7b11aa129cb","Joachim CAMERARIUS [COE] // Joachim Camerarius [CWE] // Camerarius, Joachim the elder [ALLEN]","1"
"7c21ae3e-a7f0-46a8-8ebb-db3dabe6de21","Nicolaus BASELLIUS [COE] // Nikolaus Basellius [CWE] // Basell, Nicholas [ALLEN]","1"
"7ca36007-621e-4c12-a5dc-f41fa15b4456","Rudbert von MOSHAM [COE] // Rudbert von Mosham [CWE] // Mosham, Rudbert of (Moshain) [ALLEN]","1"
"853e25f4-7e65-49c4-a737-7fdba57aa66c","Frederick III, elector of SAXONY [COE] // Duke / Elector Frederick of Saxony [CWE] // Frederick of Saxony [ALLEN]","1"
"8444896d-fb1b-4eb5-9f39-39b1e78d470c","Jacopo BANNISIO [COE] // Jacopo Bannisio [CWE] // Banisius, Jacobus [ALLEN]","1"
