"Location Name Modern","Latitude","Longitude","Number of letters sent to this location by Erasmus to mutual correspondents of his and Pirckheimer (incl. Pirckheimer)"
"Nürnberg","49.45421","11.07752","44"
"Basel","47.5584","7.57327","22"
"Rome","41.89193","12.51133","12"
"Freiburg","47.9959","7.85222","11"
"Wittenberg","51.8661","12.64973","11"
"Leipzig","51.33962","12.37129","10"
"Augsburg","48.37154","10.89851","9"
"Mainz","49.98419","8.2791","8"
"Dresden","51.05089","13.73832","8"
"Köln","50.93333","6.95","7"
"Zürich","47.36667","8.55","7"
"Paris","48.85341","2.3488","6"
"Venice","45.43713","12.33265","6"
"Erfurt","50.9787","11.03283","6"
"Würzburg","49.79391","9.95121","6"
"Stuttgart","48.78232","9.17702","5"
"Strasbourg","48.58342","7.74296","4"
"Lochau","51.39738","12.05303","3"
"Antwerpen","51.21989","4.40346","3"
"Worms","49.63278","8.35916","3"
"Altenburg","50.98763","12.43684","3"
"Zeitz","51.04962","12.1369","3"
"Torgau","51.56016","12.99617","2"
"Ingolstadt","48.76508","11.42372","2"
"Weinsberg","49.15127","9.28762","2"
"Langenargen","47.59858","9.54163","2"
"Wesel","51.6669","6.62037","2"
"Frankfurt am Main","50.11552","8.68417","2"
"Mulhouse","47.75","7.33333","1"
"Altomünster Abbey","48.38844","11.2573","1"
"Bologna","44.49381","11.33875","1"
"Tübingen","48.52266","9.05222","1"
"Speyer","49.32083","8.43111","1"
"Vienna","48.20849","16.37208","1"
"Jena","50.92878","11.5899","1"
"Glarus","47.04057","9.06804","1"
"Siena","43.31822","11.33064","1"
"Passau","48.5665","13.43122","1"
"Heidelberg","49.40768","8.69079","1"
