"Location Name Modern","Latitude","Longitude","Number of letters sent to this location by Pirckheimer to mutual correspondents of his and Erasmus (incl. Erasmus)"
"Basel","47.5584","7.57327","17"
"Unknown Location","0","0","10"
"Köln","50.93333","6.95","9"
"Wittenberg","51.8661","12.64973","7"
"Stuttgart","48.78232","9.17702","6"
"Leipzig","51.33962","12.37129","5"
"Dresden","51.05089","13.73832","5"
"Rome","41.89193","12.51133","4"
"Nürnberg","49.45421","11.07752","3"
"Antwerpen","51.21989","4.40346","3"
"Strasbourg","48.58342","7.74296","3"
"Weinsberg","49.15127","9.28762","2"
"Leuven","50.87959","4.70093","2"
"Freiburg","47.9959","7.85222","2"
"Mainz","49.98419","8.2791","2"
"Ingolstadt","48.76508","11.42372","2"
"Augsburg","48.37154","10.89851","2"
"Tübingen","48.52266","9.05222","2"
"Altenburg","50.98763","12.43684","2"
"Ferrara","44.84346","11.60868","1"
"Sélestat","48.26667","7.45","1"
"Venice","45.43713","12.33265","1"
"Frankfurt am Main","50.11552","8.68417","1"
"Erfurt","50.9787","11.03283","1"
"Bologna","44.49381","11.33875","1"
