"Location Name Modern","Latitude","Longitude","Number of letters sent from this location to Pirckheimer from mutual correspondents of his and Erasmus (incl. Erasmus)"
"Basel","47.5584","7.57327","45"
"Nuremberg","49.45421","11.07752","31"
"Augsburg","48.37154","10.89851","21"
"Bologna","44.49381","11.33875","20"
"Leipzig","51.33962","12.37129","11"
"Freiburg im Breisgau","47.9959","7.85222","9"
"Ingolstadt","48.76508","11.42372","8"
"Stuttgart","48.78232","9.17702","6"
"Dresden","51.05089","13.73832","5"
"Frankfurt am Main","50.11552","8.68417","5"
"Strasbourg","48.58342","7.74296","5"
"Altenburg","50.98763","12.43684","5"
"Venice","45.43713","12.33265","5"
"Leuven","50.87959","4.70093","4"
"Eichstätt","48.88854","11.19675","4"
"Wittenberg","51.8661","12.64973","4"
"Cologne","50.93333","6.95","3"
"Erfurt","50.9787","11.03283","3"
"Waischenfeld","49.84645","11.3481","2"
"Rome","41.89193","12.51133","2"
"Kollegiatstift St. Viktor","49.982778","8.303056","2"
"Würzburg","49.79391","9.95121","1"
"Pavia","45.19205","9.15917","1"
"Burg Ebernburg","49.807044","7.838608","1"
"Zürich","47.36667","8.55","1"
"Bamberg","49.89873","10.90067","1"
"Milan","45.46427","9.18951","1"
"Passau","48.5665","13.43122","1"
"Kornburg","49.35521","11.09885","1"
"Weinsberg","49.15127","9.28762","1"
"Aschaffenburg","49.97704","9.15214","1"
"Florence","43.77925","11.24626","1"
"Tübingen","48.52266","9.05222","1"
"Torgau","51.56016","12.99617","1"
"Kloster Georgenthal","50.828889","10.659167","1"
"Ferrara","44.84346","11.60868","1"
"Sélestat","48.26667","7.45","1"
"Burgos","42.35022","-3.67527","1"
"Donauwörth","48.71804","10.7793","1"
"Valladolid","41.65518","-4.72372","1"
"Toledo","39.8581","-4.02263","1"
