"Modern State","Number of letters Pirckheimer sent to this modern state this year to mutual correspondents of his and Erasmus (excl. Erasmus)","send_date_year1"
"Germany","1","1508"
"Germany","3","1511"
"Germany","1","1512"
"Switzerland","1","1513"
"Germany","3","1513"
"Switzerland","1","1514"
"Unknown","1","1514"
"Germany","5","1514"
"Italy","1","1515"
"Switzerland","1","1515"
"Germany","2","1515"
"Unknown","1","1516"
"Germany","3","1516"
"Italy","1","1516"
"Germany","5","1517"
"Unknown","3","1517"
"Germany","4","1518"
"France","1","1518"
"Germany","4","1519"
"Unknown","1","1519"
"Italy","1","1519"
"Germany","5","1520"
"Italy","1","1520"
"Italy","1","1521"
"Germany","4","1521"
"Unknown","2","1521"
"Italy","1","1522"
"Germany","1","1522"
"Unknown","1","1522"
"Switzerland","1","1523"
"Germany","1","1523"
"Switzerland","1","1524"
"France","1","1524"
"France","1","1525"
"Germany","1","1525"
"Switzerland","1","1525"
"Switzerland","2","1526"
"Germany","1","1527"
"Unknown","1","1527"
"Germany","1","1528"
"France","1","1529"
"Germany","2","1529"
"Italy","1","1530"
"Switzerland","1","1530"
"Germany","2","1530"
