"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"wpirck_bw_1","1","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer","0","0","13d9f78b-717e-44fb-a12a-c60936064c2a","Hans Pirckheimer","0","0","Pirckheimer an seinen Vater Dr. Hans Pirckheimer. Lat. Orig. Mit 4 Exkursen. Padua, 4.5.1491","1491","05","04","1491-05-04","0","1491","05","04","1491-05-04","4.5.1491","0","0","0","padova_IT_gid_3171728","Padua","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_2","2","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer","0","0","13d9f78b-717e-44fb-a12a-c60936064c2a","Hans Pirckheimer","0","0","An denselben. Lat. Orig. Padua, 12.7.1491","1491","07","12","1491-07-12","0","1491","07","12","1491-07-12","12.7.1491","0","0","0","padova_IT_gid_3171728","Padua","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_3","3","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer","0","0","13d9f78b-717e-44fb-a12a-c60936064c2a","Hans Pirckheimer","0","0","An denselben. Lat. Abschrift. Pavia, 23.11.(?)1494","1494","11","23","1494-11-23","0","1494","11","23","1494-11-23","23.11.(?)1494","1","0","1","pavia_IT_gid_3171366","Pavia","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_4","4","effbd488-a276-402f-8e00-e393de43b21d","Bernardina","0","0","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer","0","0","Von Bernardina, einer verlassenen Geliebten. Ital. Orig. Pavia, 14.9.1495","1495","09","14","1495-09-14","0","1495","09","14","1495-09-14","14.9.1495","0","0","0","pavia_IT_gid_3171366","Pavia","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","italian","familiar letter","letter_1_to_1",""
"wpirck_bw_5","5","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer","0","0","be1dcbc4-3987-472a-b4a0-c3305ead139f","Ein Ungenannter","0","0","Pirckheimer an einen Ungenannten über das Licht des ersten Schöpfungstages. Lat. Druck und Konzept. S. d. (1496?)","1496","","","1496-01-01","1","1496","","","1496-12-31","(1496?)","1","0","1","unknown_location_XX_gid_unknown","s. l.","0","1","unknown_location_XX_gid_unknown","","0","1","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_6","6","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer","0","0","34bdbfd6-fc21-429b-9935-21bfc976c386","Anton Kreß","0","0","Pirckheimer an Anton Kreß. Lat. Orig. Nbg, 12.1.1499","1499","01","12","1499-01-12","0","1499","01","12","1499-01-12","12.1.1499","0","0","0","nürnberg_DE_gid_2861650","Nürnberg","0","0","unknown_location_in_italy_IT_gid_unknown","Unknown Location in Italy","0","1","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_7","7","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer","0","0","340496ce-5779-4edf-8f68-fd0141451b27","Rat der Stadt Nürnberg","0","0","An den Rat der Stadt Nürnberg. Dtsch. Orig. Ulm, 8.5.1499","1499","05","08","1499-05-08","0","1499","05","08","1499-05-08","8.5.1499","0","0","0","ulm_DE_gid_2820256","Ulm","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_1_to_1",""
"wpirck_bw_7a","7a","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer","0","0","340496ce-5779-4edf-8f68-fd0141451b27","Rat der Stadt Nürnberg","0","0","P. an den Nürnberger Rat. Dt. Autogr. Biberach, 9. Mai 1499","1499","05","09","1499-05-09","0","1499","05","09","1499-05-09","9.5.1499","0","0","0","biberach_DE_gid_2949423","Biberach","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_1_to_1","Addendum in Pirckheimer BW VII to I"
"wpirck_bw_8","8","340496ce-5779-4edf-8f68-fd0141451b27","Nürnberger Rat","0","0","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer","0","0","Vom Nürnberger Rat. Dtsch. Briefb. Regest. Nbg, 11.5.1499","1499","05","11","1499-05-11","0","1499","05","11","1499-05-11","11.5.1499","0","0","0","nürnberg_DE_gid_2861650","Nürnberg","0","0","biberach_DE_gid_2949423","Biberach","1","1","german","familiar letter","letter_1_to_1",""
"wpirck_bw_8ack1","8a","d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald Pirckheimer","0","0","37c35edc-0daf-4a20-8212-b2883390bb20","Bürgermeister und Rat von Nürnberg","0","0","P. an Bürgermeister und Rat von Nürnberg. Dt. Autogr. Lindau, 14. Mai 1499","1499","05","14","1499-05-14","0","1499","05","14","1499-05-14","14. Mai 1499","0","0","0","lindau_DE_gid_2877550","Lindau","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_1_to_n",""
