"locations_id","geonames_id","wikidata_id","emlo_location_id","locations_name_modern","locations_name_in_edition","locations_modern_state","locations_modern_province","locations_lat","locations_lng","locations_ll_combined","locations_further_annotation"
"abernberg_DE_gid_2959842","2959842","Q255698","115cd772-61c9-47a4-9503-578d236553c0","Abensberg","Abensberg (Niederbayern)","Germany","Bavaria","48.81684","11.8498","48.81684, 11.8498",""
"adelmannsfelden_DE_gid_2959530","2959530","Q355264","","Adelmannsfelden","Adelmannsfelden","Germany","Baden-Wurttemberg","48.95476","10.00466","48.95476, 10.00466",""
"altenburg_DE_gid_2957773","2957773","Q15976","2fab53b8-d917-4c1a-b5a4-2d9d64335b13","Altenburg","Altenburg","Germany","Thuringia","50.98763","12.43684","50.98763, 12.43684",""
"alzey_DE_gid_2956710","2956710","Q450726","23718955-0ff0-4c90-8156-7ad071bf117d","Alzey","Alzey","Germany","Rheinland-Pfalz","49.74657","8.11513","49.74657, 8.11513",""
"amberg_DE_gid_2956656","2956656","Q7042","d4f5a460-a6f0-4f8d-a325-7b555971b9a0","Amberg","Amberg","Germany","Bavaria","49.44287","11.86267","49.44287, 11.86267",""
"amlishagen_DE_gid_2956474","2956474","Q472624","","Amlishagen","Gerabronn-Amlishagen","Germany","Baden-Wurttemberg","49.26417","9.96222","49.26417, 9.96222",""
"ansbach_DE_gid_2955936","2955936","Q14859","8cbaf629-a96b-440b-a418-2ee4ef15ed66","Ansbach","Ansbach","Germany","Bavaria","49.30481","10.5931","49.30481, 10.5931",""
"antwerpen_BE_gid_2803138","2803138","Q12892","a4467856-a6ed-44dc-af00-77d179ae3ae7","Antwerp","Antwerpen","Belgium","Flanders","51.21989","4.40346","51.21989, 4.40346",""
"arberg_DE_gid_2955697","2955697","Q506190","d1eb3d65-ec60-47dc-83a3-43ccb79e2731","Arberg","Arberg bei Feuchtwangen (Mittelfranken)","Germany","Bavaria","49.14428","10.61722","49.14428, 10.61722",""
"aschaffenburg_DE_gid_2955272","2955272","Q3942","c84af76e-0105-460c-85fc-f169e2adc41b","Aschaffenburg","Aschaffenburg","Germany","Bavaria","49.97704","9.15214","49.97704, 9.15214",""
"auerbach_DE_gid_2954603","2954603","Q523956","","Auerbach","Auerbach","Germany","Bavaria","49.69201","11.63327","49.69201, 11.63327",""
"augsburg_DE_gid_2954172","2954172","Q2749","4c10c090-b2c1-4122-8d94-e5125e7c3c41","Augsburg","Augsburg","Germany","Bavaria","48.37154","10.89851","48.37154, 10.89851",""
"aurolzmünster_AT_gid_2782159","2782159","Q682218","","Aurolzmünster","Aurolzmünster","Austria","Upper Austria","48.24834","13.45533","48.24834, 13.45533",""
"bad_dürkheim_DE_gid_2953522","2953522","Q22901","","Bad Dürkheim","Bad Dürkheim","Germany","Rheinland-Pfalz","49.4618","8.17236","49.4618, 8.17236",""
"bad_tölz_DE_gid_2953324","2953324","Q280491","d8f33708-095c-4c68-a685-034b0cabd91f","Bad Tölz","Tölz","Germany","Bavaria","47.76111","11.5589","47.76111, 11.5589",""
"baden_AT_gid_2782067","2782067","Q486450","db9edb38-eb05-48a4-9b2e-a8030d73479b","Baden bei Wien","Baden b. Wien","Austria","Lower Austria","48.00543","16.23264","48.00543, 16.23264",""
"bamberg_DE_gid_2952984","2952984","Q3936","9c01eb10-643c-42f0-a8b5-dddcd5c3d2a1","Bamberg","Bamberg","Germany","Bavaria","49.89873","10.90067","49.89873, 10.90067",""
"basel_CH_gid_2661604","2661604","Q78","3254f805-77ac-4ee3-acc8-6f8803794012","Basel","Basel","Switzerland","Basel-City","47.5584","7.57327","47.5584, 7.57327",""
"bayreuth_DE_gid_2951825","2951825","Q3923","748074a1-26ae-4cec-8cd2-3c6e5f286b56","Bayreuth","Bayreuth","Germany","Bavaria","49.94782","11.57893","49.94782, 11.57893",""
"beaune_FR_gid_3034126","3034126","Q16121","3482ace9-4ad8-4925-97f6-630673bfd5a2","Beaune","Beaune i. d. Bourgogne","France","Bourgogne-Franche-Comté","47.03333","4.83333","47.03333, 4.83333",""
"bečov_nad_teplou_CZ_gid_3079609","3079609","Q854597","","Bečov nad Teplou","Petschau/Böhmen","Czech Republic","Karlovarský kraj","50.08345","12.83831","50.08345, 12.83831",""
"bergen_abbey_DE_gid_unknown","Unknown","Q15982673","2d30a0e0-e2d5-4bbc-839d-75714264b685","Bergen Abbey","Kloster Bergen","Germany","Bavaria","48.7842","11.1421","48.7842, 11.1421","LL from Klosterdatenbank GS"
"biberach_DE_gid_2949423","2949423","Q16069","bcfd4c2b-88ad-4702-b126-abb643bb73bd","Biberach an der Riss","Biberach","Germany","Baden-Wurttemberg","48.09345","9.79053","48.09345, 9.79053",""
"billigheim_ingenheim_DE_gid_3272462","3272462","Q566068","","Billigheim-Ingenheim","Billigheim bei Landau","Germany","Rheinland-Pfalz","49.13667","8.09056","49.13667, 8.09056",""
"binningen_DE_gid_2948782","2948782","Q635517","","Binningen","Binningen (Landkreis Cochem-Zell)","Germany","Rheinland-Pfalz","50.20639","7.24612","50.20639, 7.24612",""
"blois_FR_gid_3032213","3032213","Q160927","6a73ae8d-b54a-4faf-9cd7-5cc0c2af70bc","Blois","Blois","France","Centre-Val de Loire","47.58333","1.33333","47.58333, 1.33333",""
"bologna_IT_gid_3181928","3181928","Q1891","754e28f3-9aff-4ac0-866e-b1935edf18c5","Bologna","Bologna","Italy","Emilia-Romagna","44.49381","11.33875","44.49381, 11.33875",""
"bolzano_IT_gid_3181913","3181913","Q6526","4cc3d365-c2ef-45eb-bcea-5f50f0b957ce","Bolzano","Bolzano","Italy","Trentino-Alto Adige","46.49067","11.33982","46.49067, 11.33982",""
"brannenburg_DE_gid_2945165","2945165","Q533000","","Brannenburg","Brannenburg am Inn","Germany","Bavaria","47.73996","12.09166","47.73996, 12.09166",""
"breda_NL_gid_2758401","2758401","Q40844","ebf72787-7564-4bf1-9620-539c0e81842f","Breda","Breda","Netherlands","North Brabant","51.58656","4.77596","51.58656, 4.77596",""
"bressanone_IT_gid_3181550","3181550","Q185541","2bcb65b9-9761-45d9-bda1-2dce6a2e85d7","Brixen","Bressanone (Brixen)","Italy","Trentino-Alto Adige","46.71503","11.65598","46.71503, 11.65598",""
"bretten_DE_gid_2944200","2944200","Q495428","ff4f1ec2-4818-4b16-9268-3fbe67ead5d9","Bretten","Bretten","Germany","Baden-Wurttemberg","49.03685","8.70745","49.03685, 8.70745",""
