"Id"	"letter_no_in_edition"	"sender_id"	"sender_as_marked"	"sender_inferred"	"sender_uncertain"	"recipient_id"	"recipient_as_marked"	"recipient_inferred"	"recipient_uncertain"	"label"	"send_date_year1"	"send_date_month1"	"send_date_day1"	"send_date_computable1"	"send_date_has_range"	"send_date_year2"	"send_date_month2"	"send_date_day2"	"send_date_computable2"	"send_date_as_marked"	"send_date_inferred"	"send_date_approx"	"send_date_uncertain"	"Source"	"source_loc_as_marked"	"source_loc_inferred"	"source_loc_uncertain"	"Target"	"target_loc_as_marked"	"target_loc_inferred"	"target_loc_uncertain"	"letter_language"	"letter_type_genus"	"letter_type_x_to_x"	"further_annotation"
"era_cwe_1095"	"687 [Pirckheimer BW] // 1059 [CWE]"	"pirckheimer_willibald_viaf_27173507"	"Willibald Pirckheimer"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Desiderius Erasmus"	"0"	"0"	"P. an Desiderius Erasmus. Lat. Druck, Konz. Nürnberg, 30. April 1520 "	"1520"	"04"	"30"	"1520-04-30"	"0"	"1520"	"04"	"30"	"1520-04-30"	"30. April 1520"	"0"	"0"	"0"	"nürnberg_DE_gid_2861650"	"Nürnberg"	"0"	"0"	"basel_CH_gid_2661604"	"Basel"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	""
"era_cwe_1265"	"762 [Pirckheimer BW] // 1265 [CWE]"	"pirckheimer_willibald_viaf_27173507"	"Willibald Pirckheimer"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Desiderius Erasmus"	"0"	"0"	"P. an Desiderius Erasmus. Lat. Konz. <Nürnberg, Ende Februar 1522>"	"1522"	"02"	NULL	"1522-02-20"	"1"	"1522"	"03"	NULL	"1522-03-06"	"<Ende Februar 1522> [Pirckheimer BW] // [begi"	"1"	"0"	"0"	"nürnberg_DE_gid_2861650"	"<Nürnberg>"	"1"	"0"	"basel_CH_gid_2661604"	"Basel"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	"for the date range see CWE IX, p. 39"
"era_cwe_1344"	"782 [Pirckheimer BW] // 1344 [CWE]"	"pirckheimer_willibald_viaf_27173507"	"Willibald Pirckheimer"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Desiderius Erasmus"	"0"	"0"	"P. an Desiderius Erasmus. Lat. Abdruck, Konz. Nürnberg, 17. Februar 1523"	"1523"	"02"	"17"	"1523-02-17"	"0"	"1523"	"02"	"17"	"1523-02-17"	"17. Februar 1523"	"0"	"0"	"0"	"nürnberg_DE_gid_2861650"	"Nürnberg"	"0"	"0"	"basel_CH_gid_2661604"	"Basel"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	""
"era_cwe_1480"	"868 [Pirckheimer BW] // 1480 [CWE]"	"pirckheimer_willibald_viaf_27173507"	"Willibald Pirckheimer"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Desiderius Erasmus"	"0"	"0"	"P. an Desiderius Erasmus. Lat. Abdruck. Nürnberg, 1. September 1524"	"1524"	"09"	"01"	"1524-09-01"	"0"	"1524"	"09"	"01"	"1524-09-01"	"1. September 1524"	"0"	"0"	"0"	"nürnberg_DE_gid_2861650"	"Nürnberg"	"0"	"0"	"basel_CH_gid_2661604"	"Basel"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	""
"era_cwe_1880"	"1131 [Pirckheimer BW] // 1880 [CWE]"	"pirckheimer_willibald_viaf_27173507"	"Willibald Pirckheimer"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Desiderius Erasmus"	"0"	"0"	"P. an Desiderius Erasmus. Lat. Konz.
<Nürnberg, ca. September 1527>"	"1527"	"09"	NULL	"1527-09-01"	"1"	"1527"	"09"	NULL	"1527-09-30"	"<ca. September 1527>"	"1"	"1"	"0"	"nürnberg_DE_gid_2861650"	"<Nürnberg>"	"1"	"0"	"basel_CH_gid_2661604"	"Basel"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	""
"era_cwe_1930"	"1149 [Pirckheimer BW] // 1930 [CWE]"	"pirckheimer_willibald_viaf_27173507"	"Willibald Pirckheimer"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Desiderius Erasmus"	"0"	"0"	"P. an Desiderius Erasmus. Lat. Autogr.
<Nürnberg, 19. Januar 1528>"	"1528"	"01"	"19"	"1528-01-19"	"0"	"1528"	"01"	"19"	"1528-01-19"	"<19. Januar 1528>"	"1"	"0"	"0"	"nürnberg_DE_gid_2861650"	"<Nürnberg>"	"1"	"0"	"basel_CH_gid_2661604"	"Basel"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	""
"era_cwe_2178a"	"1229 [Pirckheimer BW] // 2178a [CWE]"	"pirckheimer_willibald_viaf_27173507"	"Willibald Pirckheimer"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Desiderius Erasmus"	"0"	"0"	"P. an Desiderius Erasmus. Lat. Abschr.
Nürnberg, 14. Juni 1529"	"1529"	"06"	"14"	"1529-06-14"	"0"	"1529"	"06"	"14"	"1529-06-14"	"14. Juni 1529"	"0"	"0"	"0"	"nürnberg_DE_gid_2861650"	"Nürnberg"	"0"	"0"	"freiburg_DE_gid_2925177"	"Freiburg"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	""
"era_cwe_326a"	"355 [Pirckheimer BW] // 326a [CWE]"	"pirckheimer_willibald_viaf_27173507"	"Willibald Pirckheimer"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Desiderius Erasmus"	"0"	"0"	"An Erasmus. Lat. Konzept. S. d. [Nbg., April 1515]"	"1515"	"04"	NULL	"1515-04-01"	"1"	"1515"	"04"	NULL	"1515-04-30"	"[April 1515]"	"1"	"1"	"1"	"nürnberg_DE_gid_2861650"	"[Nürnberg]"	"1"	"0"	"frankfurt_am_main_DE_gid_2925533"	"Frankfurt a. M."	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	""
"era_cwe_359"	"370 [Pirckheimer BW] // 359 [CWE]"	"pirckheimer_willibald_viaf_27173507"	"Willibald Pirckheimer"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Desiderius Erasmus"	"0"	"0"	"An Erasmus. Lat. Abschrift u. Druck. Nbg., 1.10.[1515]"	"1515"	"10"	"01"	"1515-10-01"	"0"	"1515"	"10"	"01"	"1515-10-01"	"1.10.[1515]"	"1"	"0"	"0"	"nürnberg_DE_gid_2861650"	"Nürnberg"	"0"	"0"	"basel_CH_gid_2661604"	"Basel"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	""
"era_cwe_375"	"376 [Pirckheimer BW] // 375 [CWE]"	"pirckheimer_willibald_viaf_27173507"	"Willibald Pirckheimer"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Desiderius Erasmus"	"0"	"0"	"An Erasmus. Lat. Abschrift u. Druck. Nbg., 13.12.1515"	"1515"	"12"	"13"	"1515-12-13"	"0"	"1515"	"12"	"13"	"1515-12-13"	"13.12.1515"	"0"	"0"	"0"	"nürnberg_DE_gid_2861650"	"Nürnberg"	"0"	"0"	"basel_CH_gid_2661604"	"Basel"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	""
