"Id"	"geonames_id"	"locations_name_modern"	"locations_name_in_edition"	"locations_modern_state"	"locations_modern_province"	"locations_lat"	"locations_lng"	"locations_ll_combined"	"locations_further_annotation"
"altenburg_DE_gid_2957773"	"2957773"	"Altenburg"	"Altenburg"	"Germany"	"Thuringia"	"50.98763"	"12.43684"	"50.98763, 12.43684"	NULL
"ansbach_DE_gid_2955936"	"2955936"	"Ansbach"	"Ansbach"	"Germany"	"Bavaria"	"49.30481"	"10.5931"	"49.30481,10.5931"	NULL
"antwerpen_BE_gid_2803138"	"2803138"	"Antwerpen"	"Antwerpen"	"Belgium"	"Flemish"	"51.21989"	"4.40346"	"51.21989, 4.40346"	NULL
"arberg_DE_gid_2955697"	"2955697"	"Arberg"	"Arberg bei Feuchtwangen (Mittelfranken)"	"Germany"	"Bavaria"	"49.14428"	"10.61722"	"49.14428, 10.61722"	NULL
"augsburg_DE_gid_2954172"	"2954172"	"Augsburg"	"Augsburg"	"Germany"	"Bavaria"	"48.37154"	"10.89851"	"48.37154,10.89851"	NULL
"bad_windsheim_DE_gid_2953314"	"2953314"	"Bad Windsheim"	"Windsheim"	"Germany"	"Bavaria"	"49.50274"	"10.41539"	"49.50274, 10.41539"	NULL
"bamberg_DE_gid_2952984"	"2952984"	"Bamberg"	"Bamberg"	"Germany"	"Bavaria"	"49.89873"	"10.90067"	"49.89873, 10.90067"	NULL
"basel_CH_gid_2661604"	"2661604"	"Basel"	"Basel"	"Switzerland"	"Basel-City"	"47.5584"	"7.57327"	"47.5584, 7.57327"	NULL
"bergen_abbey_DE_gid_unknown"	"unknown"	"Bergen Abbey"	"Kloster Bergen"	"Germany"	"Bavaria"	"48.73218"	"11.18709"	"48.73218, 11.18709"	"LL for Neuburg an der Donau - that is were the Monastery was located"
"biberach_DE_gid_2949423"	"2949423"	"Biberach"	"Biberach"	"Germany"	"Baden-Württemberg"	"48.09345"	"9.79053"	"48.09345, 9.79053"	NULL
"bologna_IT_gid_3181928"	"3181928"	"Bologna"	"Bologna"	"Italy"	"Emilia-Romagna"	"44.49381"	"11.33875"	"44.49381, 11.33875"	NULL
"bressanone_IT_gid_3181550"	"3181550"	"Bressanone"	"Bressanone (Brixen)"	"Italy"	"Trentino-Alto Adige"	"46.71503"	"11.65598"	"46.71503, 11.65598"	NULL
"dresden_DE_gid_2935022"	"2935022"	"Dresden"	"Dresden"	"Germany"	"Saxony"	"51.05089"	"13.73832"	"51.05089, 13.73832"	NULL
"eichstätt_DE_gid_2932069"	"2932069"	"Eichstätt"	"Eichstätt"	"Germany"	"Bavaria"	"48.88854"	"11.19675"	"48.88854, 11.19675"	NULL
"erfurt_DE_gid_2929670"	"2929670"	"Erfurt"	"Erfurt"	"Germany"	"Thuringia"	"50.9787"	"11.03283"	"50.9787, 11.03283"	NULL
