"Id"	"geonames_id"	"locations_name_modern"	"locations_name_in_edition"	"locations_modern_state"	"locations_modern_province"	"locations_lat"	"locations_lng"	"locations_ll_combined"	"locations_further_annotation"
"altenburg_DE_gid_2957773"	"2957773"	"Altenburg"	"Altenburg"	"Germany"	"Thuringia"	"50.98763"	"12.43684"	"50.98763, 12.43684"	NULL
"amberg_DE_gid_2956656"	"2956656"	"Amberg"	"Amberg"	"Germany"	"Bavaria"	"49.44287"	"11.86267"	"49.44287, 11.86267"	NULL
"ansbach_DE_gid_2955936"	"2955936"	"Ansbach"	"Ansbach"	"Germany"	"Bavaria"	"49.30481"	"10.5931"	"49.30481,10.5931"	NULL
"antwerpen_BE_gid_2803138"	"2803138"	"Antwerpen"	"Antwerpen"	"Belgium"	"Flemish"	"51.21989"	"4.40346"	"51.21989, 4.40346"	NULL
"aschaffenburg_DE_gid_2955272"	"2955272"	"Aschaffenburg"	"Aschaffenburg"	"Germany"	"Bavaria"	"49.97704"	"9.15214"	"49.97704, 9.15214"	NULL
"augsburg_DE_gid_2954172"	"2954172"	"Augsburg"	"Augsburg"	"Germany"	"Bavaria"	"48.37154"	"10.89851"	"48.37154,10.89851"	NULL
"baden_AT_gid_2782067"	"2782067"	"Baden"	"Baden b. Wien"	"Austria"	"Lower Austria"	"48.00543"	"16.23264"	"48.00543, 16.23264"	NULL
"bad_tölz_DE_gid_2953324"	"2953324"	"Bad Tölz"	"Tölz"	"Germany"	"Bavaria"	"47.76111"	"11.5589"	"47.76111, 11.5589"	NULL
"bamberg_DE_gid_2952984"	"2952984"	"Bamberg"	"Bamberg"	"Germany"	"Bavaria"	"49.89873"	"10.90067"	"49.89873, 10.90067"	NULL
"basel_CH_gid_2661604"	"2661604"	"Basel"	"Basel"	"Switzerland"	"Basel-City"	"47.5584"	"7.57327"	"47.5584, 7.57327"	NULL
"beaune_FR_gid_3034126"	"3034126"	"Beaune"	"Beaune i. d. Bourgogne"	"France"	"Bourgogne-Franche-Comté"	"47.03333"	"4.83333"	"47.03333, 4.83333"	NULL
"bergen_abbey_DE_gid_unknown"	"unknown"	"Bergen Abbey"	"Kloster Bergen"	"Germany"	"Bavaria"	"48.73218"	"11.18709"	"48.73218, 11.18709"	"LL for Neuburg an der Donau - that is were the Monastery was located"
"biberach_DE_gid_2949423"	"2949423"	"Biberach"	"Biberach"	"Germany"	"Baden-Württemberg"	"48.09345"	"9.79053"	"48.09345, 9.79053"	NULL
"blois_FR_gid_3032213"	"3032213"	"Blois"	"Blois"	"France"	"Centre"	"47.58333"	"1.33333"	"47.58333, 1.33333"	NULL
"bologna_IT_gid_3181928"	"3181928"	"Bologna"	"Bologna"	"Italy"	"Emilia-Romagna"	"44.49381"	"11.33875"	"44.49381, 11.33875"	NULL
"bolzano_IT_gid_3181913"	"3181913"	"Bolzano"	"Bolzano"	"Italy"	"Trentino-Alto Adige"	"46.49067"	"11.33982"	"46.49067, 11.33982"	NULL
"burgos_ES_gid_3127461"	"3127461"	"Burgos"	"Burgos"	"Spain"	"Castille and León"	"42.35022"	"-3.67527"	"42.35022, -3.67527"	NULL
"chiateoscutella_IT_gid_unknown"	"Unknown"	"Chiateoscutella"	"Chiateoscutella"	"Italy"	"Unknown"	NULL	NULL	NULL	NULL
"dachsbach_DE_gid_2939608"	"2939608"	"Dachsbach"	"Dachsbach"	"Germany"	"Bavaria"	"49.64051"	"10.70652"	"49.64051, 10.70652"	NULL
"donauwörth_DE_gid_2936253"	"2936253"	"Donauwörth"	"Donauwörth"	"Germany"	"Bavaria"	"48.71804"	"10.7793"	"48.71804, 10.7793"	NULL
"dresden_DE_gid_2935022"	"2935022"	"Dresden"	"Dresden"	"Germany"	"Saxony"	"51.05089"	"13.73832"	"51.05089, 13.73832"	NULL
"ebernburg_castle_DE_gid_unknown"	"Unknown"	"Burg Ebernburg"	"Ebernburg"	"Germany"	"Rheinland-Pfalz"	"49.807044"	"7.838608"	"49.807044, 7.838608"	"LL for Burg Ebernburg (GeoHack)"
"eichstätt_DE_gid_2932069"	"2932069"	"Eichstätt"	"Eichstätt"	"Germany"	"Bavaria"	"48.88854"	"11.19675"	"48.88854, 11.19675"	NULL
"erfurt_DE_gid_2929670"	"2929670"	"Erfurt"	"Erfurt"	"Germany"	"Thuringia"	"50.9787"	"11.03283"	"50.9787, 11.03283"	NULL
"esslingen_DE_gid_2928751"	"2928751"	"Esslingen"	"Eßlingen"	"Germany"	"Baden-Württemberg"	"48.73961"	"9.30473"	"48.73961, 9.30473"	NULL
"feldkirch_AT_gid_2779674"	"2779674"	"Feldkirch"	"Feldkirch"	"Austria"	"Vorarlberg"	"47.23306"	"9.6"	"47.23306, 9.6"	NULL
"feldlager_bei_herrenberg_gid_unknown"	"Unknown"	"Feldlager bei Herrenberg"	"Feldlager bei Herrenberg"	"Germany"	"Baden-Württemberg"	"48.59523"	"8.86648"	"48.59523, 8.86648"	"LL for Herrenberg"
"ferrara_IT_gid_3177090"	"3177090"	"Ferrara"	"Ferrara"	"Italy"	"Emilia-Romagna"	"44.84346"	"11.60868"	"44.84346, 11.60868"	NULL
"florence_IT_gid_3176959"	"3176959"	"Florence"	"Florenz"	"Italy"	"Tuscany"	"43.77925"	"11.24626"	"43.77925, 11.24626"	NULL
"forchheim_DE_gid_2925910"	"2925910"	"Forchheim"	"Forchheim"	"Germany"	"Bavaria"	"49.71754"	"11.05877"	"49.71754, 11.05877"	NULL
"frankfurt_am_main_DE_gid_2925533"	"2925533"	"Frankfurt am Main"	"Frankfurt a. M. // Frankfurt"	"Germany"	"Hesse"	"50.11552"	"8.68417"	"50.11552, 8.68417"	NULL
"freiberg_DE_gid_2925192"	"2925192"	"Freiberg"	"Freiberg i. S."	"Germany"	"Saxony"	"50.91089"	"13.33881"	"50.91089, 13.33881"	NULL
"freiburg_DE_gid_2925177"	"2925177"	"Freiburg"	"Freiburg i. Br."	"Germany"	"Baden-Württemberg"	"47.9959"	"7.85222"	"47.9959, 7.85222"	NULL
"fürth_DE_gid_2923544"	"2923544"	"Fürth"	"Fürth"	"Germany"	"Bavaria"	"49.47593"	"10.98856"	"49.47593, 10.98856"	NULL
"garmisch_partenkirchen_DE_gid_2922530"	"2922530"	"Garmisch-Partenkirchen"	"Partenkirchen"	"Germany"	"Bavaria"	"47.49209"	"11.09576"	"47.49209, 11.09576"	NULL
"geisenfeld_abbey_DE_gid_unknown"	"unknown"	"Geisenfeld Abbey"	"Kloster Geisenfeld"	"Germany"	"Bavaria"	"48.683256"	"11.613472"	"48.683256, 11.613472"	"LL for Kloster Geisenfeld (GeoHack)"
"genève_CH_gid_2660646"	"2660646"	"Genève"	"Genf"	"Switzerland"	"Geneva"	"46.20222"	"6.14569"	"46.20222, 6.14569"	NULL
"georgenthal_DE_gid_2921261"	"2921261"	"Georgenthal"	"Georgenthal"	"Germany"	"Thuringia"	"50.83205"	"10.66266"	"50.83205, 10.66266"	"LL for Georgenthal; Spalatinus wrote from the monastery situated there"
"gmunden_AT_gid_2778436"	"2778436"	"Gmunden"	"Gmunden"	"Austria"	"Upper Austria"	"47.91839"	"13.79933"	"47.91839, 13.79933"	NULL
"göppingen_DE_gid_2919054"	"2919054"	"Göppingen"	"Göppingen"	"Germany"	"Baden-Württemberg"	"48.70354"	"9.65209"	"48.70354, 9.65209"	NULL
"granada_ES_gid_2517117"	"2517117"	"Granada"	"Granada"	"Spain"	"Andalusia"	"37.18817"	"-3.60667"	"37.18817, -3.60667"	NULL
"graz_AT_gid_2778067"	"2778067"	"Graz"	"Graz"	"Austria"	"Styria"	"47.06667"	"15.45"	"47.06667, 15.45"	NULL
"haguenau_FR_gid_3014078"	"3014078"	"Haguenau"	"Hagenau"	"France"	"Alsace-Champagne-Ardenne-Lorraine"	"48.81557"	"7.79051"	"48.81557, 7.79051"	NULL
"hall_in_tirol_AT_gid_2764958"	"2764958"	"Hall in Tirol"	"Hall am Inn"	"Austria"	"Tyrol"	"47.28333"	"11.51667"	"47.28333, 11.51667"	NULL
"herford_DE_gid_2906121"	"2906121"	"Herford"	"Herford"	"Germany"	"North Rhine-Westphalia"	"52.11457"	"8.67343"	"52.11457, 8.67343"	NULL
"hilpoltstein_DE_gid_2904638"	"2904638"	"Hilpoltstein"	"Hilpoltstein"	"Germany"	"Bavaria"	"49.19047"	"11.1906"	"49.19047, 11.1906"	NULL
"hollfeld_DE_gid_2900453"	"2900453"	"Hollfeld"	"Hollfeld"	"Germany"	"Bavaria"	"49.93793"	"11.29153"	"49.93793, 11.29153"	NULL
"ingolstadt_DE_gid_2895992"	"2895992"	"Ingolstadt"	"Ingolstadt"	"Germany"	"Bavaria"	"48.76508"	"11.42372"	"48.76508, 11.42372"	NULL
"innsbruck_AT_gid_2775220"	"2775220"	"Innsbruck"	"Innsbruck"	"Austria"	"Tyrol"	"47.26266"	"11.39454"	"47.26266, 11.39454"	NULL
"jena_DE_gid_2895044"	"2895044"	"Jena"	"Jena"	"Germany"	"Thuringia"	"50.92878"	"11.5899"	"50.92878, 11.5899"	NULL
