Location Name Modern	Latitude	Longitude	Number of Correspondents who received at this Location letters BY Pirckheimer
Unknown Location	NULL	NULL	24
Nürnberg	49.45421	11.07752	15
Augsburg	48.37154	10.89851	7
Bamberg	49.89873	10.90067	6
Strasbourg	48.58342	7.74296	4
Basel	47.5584	7.57327	4
Bologna	44.49381	11.33875	4
Leipzig	51.33962	12.37129	4
Rome	41.89193	12.51133	4
Ingolstadt	48.76508	11.42372	3
Wittenberg	51.8661	12.64973	3
Mainz	49.98419	8.2791	3
Vienna	48.20849	16.37208	3
Heidelberg	49.40768	8.69079	3
Sélestat	48.26667	7.45	2
Tübingen	48.52266	9.05222	2
Freiburg	47.9959	7.85222	2
Weinsberg	49.15127	9.28762	1
Altenburg	50.98763	12.43684	1
Leuven	50.87959	4.70093	1
Ferrara	44.84346	11.60868	1
Schweinfurt	50.04937	10.22175	1
Dresden	51.05089	13.73832	1
Ansbach	49.30481	10.5931	1
Stuttgart	48.78232	9.17702	1
Frankfurt am Main	50.11552	8.68417	1
Venice	45.43713	12.33265	1
Köln	50.93333	6.95	1
Eichstätt	48.88854	11.19675	1
Antwerpen	51.21989	4.40346	1
Speyer	49.32083	8.43111	1
Erfurt	50.9787	11.03283	1
Unknown Location in Italy	NULL	NULL	1
Bressanone	46.71503	11.65598	1
