"correspondents_id","type","gender","viaf_id","wikidata_id","gnd_id","cerl_id","emlo_person_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotation","dob_annotation_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotation","dod_annotation_ref","further_annotation"
"02c8526f-07c4-4530-b200-5d0a24771513","individual","male","81436331","Q21704505","137213433","cnp01165438","NULL","Hieronymus Haller","Haller von Hallerstein","GND","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1519","NULL","NULL","1519-01-01","1","1519","NULL","NULL","1519-12-31","1519","GND","NULL"
"075ff4f2-74f7-4d0d-85cd-8dc8ea4b16aa","individual","male","171032352","Q95230861","1012010643","cnp01287958","NULL","Sebastian Fürnschild","Förnschild","GND","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1542","NULL","NULL","1542-01-01","1","1542","NULL","NULL","1542-12-31","1542","GND","NULL"
"08a26948-fb74-4493-a4f2-72cf166561dc","individual","male","NULL","Q114440422","NULL","NULL","NULL","Leonhard Kreber","NULL","NULL","nürtingen_DE_gid_2861632","Nürtingen","Pirckheimer BW V, 100","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1527","08","27","1527-08-27","0","1527","08","27","1527-08-27","27. August 1527","Pirckheimer BW V, 100","NULL"
"0e68d9b1-2044-4025-8138-266ae0ebee98","individual","male","NULL","Q114440348","NULL","NULL","NULL","Gabriel de Malon","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"0ebbde82-bd06-4dba-9d95-d0375207c54c","individual","male","NULL","Q114440435","NULL","NULL","NULL","Paul Brotbeck","Prachtbectius","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1061a8f7-83e0-4a54-aefa-995c3df3d69b","individual","male","NULL","Q114440430","NULL","NULL","NULL","Matthias Vellgner","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1112e591-081d-413e-abad-b56625c79b82","individual","male","80400410","Q55131039","135976901","cnp01169446","NULL","Michael von Kaden","Kadaw // Cadus // Kadow // Kadan","GND","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","nürnberg_DE_gid_2861650","Nürnberg","GND","1540","12","15","1540-12-15","1","1541","03","09","1541-03-09","gest. zwischen 15.12.1540/09.03.1541","GND","NULL"
"11af9480-a0f0-4698-9ff6-e4ed70631a95","individual","male","NULL","Q114440384","NULL","NULL","NULL","Johannes Boemio","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"121b1905-f2fa-4eb1-8a9d-6d078d310734","corporate body","not applicable","NULL","NULL","NULL","NULL","NULL","Rat zu Laufenburg","NULL","NULL","unknown_location_XX_gid_unknown","not applicable","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","not applicable","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"15279fcb-0d07-4fe2-bb32-f5b25f5547b1","individual","male","NULL","Q114440444","NULL","NULL","NULL","Veit Widemann","NULL","NULL","gesslingen_AT_gid_2778617","Geßlingen","Pirckheimer BW II, 532","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1527","NULL","NULL","1527-01-01","1","1527","NULL","NULL","1527-12-31","1527","Pirckheimer BW II, 532","NULL"
"152d325f-82ad-4e17-8bbb-7dbe69d23080","individual","male","1526163335713403270007","Q114440323","1242181806","cnp02352711","NULL","Augustin Lupf","Lupff","GND","binningen_DE_gid_2948782","Binningen (Landkreis Cochem-Zell)","GND","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"178e52f5-9e51-42a7-9a82-26f5d1b4590c","individual","male","NULL","Q114440390","NULL","NULL","NULL","Johannes Laeus","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"18c8f359-7175-44a6-a2c5-a9a4e5961839","individual","female","NULL","Q114440330","NULL","NULL","NULL","Brigitta von Murr","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"195fbd92-eac0-4096-812f-ac7a8410e67d","individual","male","NULL","Q114440420","NULL","NULL","NULL","Konrad Nicolai","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1a6fcf1d-5396-4d62-b0b2-ae3f59589fa7","individual","male","NULL","Q114440395","NULL","NULL","NULL","Kaspar von Eyb","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1e820c70-1fea-4d22-88ba-2563301f919c","individual","male","NULL","Q114440431","NULL","NULL","NULL","Michael Kreber","NULL","NULL","nürtingen_DE_gid_2861632","Nürtingen","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
