"correspondents_id","type","gender","viaf_id","wikidata_id","gnd_id","cerl_id","emlo_person_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotation","dob_annotation_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotation","dod_annotation_ref","further_annotation"
"0e68d9b1-2044-4025-8138-266ae0ebee98","individual","male","NULL","Q114440348","NULL","NULL","9278cde7-be9a-4b55-a7e5-49bd29adc613","Gabriel de Malon","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"0ebbde82-bd06-4dba-9d95-d0375207c54c","individual","male","NULL","Q114440435","NULL","NULL","0e992cad-6eb8-481a-b87a-d6a8b86d3aa2","Paul Brotbeck","Prachtbectius","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1061a8f7-83e0-4a54-aefa-995c3df3d69b","individual","male","NULL","Q114440430","NULL","NULL","8acde142-83df-4389-8419-98db9eefaa9b","Matthias Vellgner","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"11af9480-a0f0-4698-9ff6-e4ed70631a95","individual","male","NULL","Q114440384","NULL","NULL","b5b04660-d739-49f9-923d-1743b9b9851a","Johannes Boemio","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"121b1905-f2fa-4eb1-8a9d-6d078d310734","corporate body","not applicable","NULL","NULL","NULL","NULL","9da62a70-e755-4e2d-8fd8-4e280f0058ac","Rat zu Laufenburg","NULL","NULL","unknown_location_XX_gid_unknown","not applicable","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","not applicable","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"152d325f-82ad-4e17-8bbb-7dbe69d23080","individual","male","1526163335713403270007","Q114440323","1242181806","cnp02352711","92b5df75-2dde-4a67-86d5-fb22bf4a038b","Augustin Lupf","Lupff","GND","binningen_DE_gid_2948782","Binningen (Landkreis Cochem-Zell)","GND","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"178e52f5-9e51-42a7-9a82-26f5d1b4590c","individual","male","NULL","Q114440390","NULL","NULL","cc9ee05f-6cd3-4d71-9ab5-145c5d2792e1","Johannes Laeus","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"18c8f359-7175-44a6-a2c5-a9a4e5961839","individual","female","NULL","Q114440330","NULL","NULL","81cdb22b-0bb1-4600-8b48-187b1d97ef17","Brigitta von Murr","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"195fbd92-eac0-4096-812f-ac7a8410e67d","individual","male","NULL","Q114440420","NULL","NULL","534b61e3-9130-477f-a4ce-748aed092117","Konrad Nicolai","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1a6fcf1d-5396-4d62-b0b2-ae3f59589fa7","individual","male","NULL","Q114440395","NULL","NULL","7212e25a-7a0a-4faf-9a15-c41083cec7f0","Kaspar von Eyb","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
