"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"wpirck_bw_1005","1005","pirckheimer_caritas_die_jüngere_viaf_1024145858287223022794","Caritas Pirckheimer d. J.","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Caritas Pirckheimer d. J. an P. Dt. Autogr.\nKloster Bergen, <ab 15. Januar 1526>","1526","","","1526-01-15","1","","","","1526-12-31","<ab 15. Januar 1526>","1","0","0","bergen_abbey_DE_gid_unknown","Kloster Bergen","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_1_to_1","the date range might be narrowed down to January 1526"
"wpirck_bw_1013","1013","gugel_christoph_viaf_232302151","Christoph Gugel","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Christoph Gugel an P. Lat. Autogr.\n<Nürnberg, frühestens Februar 1526>","1526","","","1526-02-01","1","","","","1530-12-21","<frühestens Februar 1526>","1","0","1","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1","the end of the date range could only be narrowed down to Pirckheimer's death"
"wpirck_bw_1040","1040","pirckheimer_katharina_die_jüngere_viaf_unknown","Katharina Pirckheimer d. J.","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Katharina Pirckheimer d. J. an P. Dt. Autogr.\nNürnberg, Klarakloster <8. Juli frühestens 1526>","1526","07","08","1526-07-08","1","","","","1528-07-08","<8. Juli frühestens 1526>","1","0","1","nürnberg_klarissenkloster_st_klara_DE_gid_unknown","Nürnberg, Klarakloster","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_1_to_1","1528 as the end of the date range appears plausbile given Ep. 1132 and supplement"
"wpirck_bw_1051","1051","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","imhoff_andreas_viaf_25371459","Endres Imhoff","0","0","P. an Endres Imhoff. Dt. Konz. \n<Nürnberg, frühestens September 1526>","1526","","","1526-09-01","1","","","","1527-05-05","<frühestens September 1526>","1","0","1","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_1_to_1","for the end of the date range cf. Pirckheimer BW VI, p. 200"
"wpirck_bw_1062","1062","pirckheimer_katharina_die_jüngere_viaf_unknown","Katharina Pirckheimer d. J.","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Katharina Pirckheimer d. J. an P. Dt. Autogr. \n<Nürnberg, Klarakloster, nach 21. Oktober 1526>","1526","","","1526-10-22","1","","","","1526-12-31","<nach 21. Oktober 1526>","1","0","1","nürnberg_klarissenkloster_st_klara_DE_gid_unknown","<Nürnberg, Klarakloster>","1","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_1_to_1","for the date range cf. Pirckheimer BW VI, p. 224"
"wpirck_bw_1070","1070","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","oecolampadius_johann_viaf_56634092","Johannes Oecolampadius","0","0","P., Vorrede zu 'De vera Christi carne … Responsio secunda' an Joh. Oecolampadius, an alle, die in Christus leben wollen. Lat. Druck. <Nürnberg, vor 15. Dezember 1526>","1526","","","1526-06-21","1","","","","1526-12-14","<vor 15. Dezember 1526>","1","0","1","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","basel_CH_gid_2661604","Basel","1","1","latin","prefatory letter","letter_1_to_1","as for the beginning of the date range, cf. Ep. 1036"
"wpirck_bw_1083","1083","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","hummelberger_michael_viaf_287885872","<Michael Hummelberg>","1","0","P. an <Michael Hummelberg>. Lat. Konz. \n<Nürnberg, ab Mitte Februar 1527>","1527","","","1527-02-14","1","","","","1527-07-31","<ab Mitte Februar 1527>","1","0","0","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","ravensburg_DE_gid_2849802","Ravensburg","1","1","latin","familiar letter","letter_1_to_1","recipient added by editors // for the end of the date range cf. Pirckheimer BW VI, p 274"
"wpirck_bw_1084","1084","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","volckamer_clemens_viaf_10624711","Clemens Volckamer","0","0","P. an Clemens Volckamer. Lat. Konz. \n<Nürnberg, ab Mitte Februar 1527>","1527","","","1527-02-14","1","","","","1527-07-31","<ab Mitte Februar 1527>","1","0","0","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1","for the end of the date range cf. Pirckheimer BW VI, p 274"
"wpirck_bw_1096a","1096a","pirckheimer_katharina_die_jüngere_viaf_unknown","Katharina Pirckheimer d. J.","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Katharina Pirckheimer d. J. an P. Dt. Autogr. \n<Nürnberg, Klarakloster, 20. März frühestens 1527>","1527","03","20","1527-03-20","1","","03","20","1530-03-20","<20. März frühestens 1527>","1","0","0","nürnberg_klarissenkloster_st_klara_DE_gid_unknown","<Nürnberg, Klarakloster>","1","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_1_to_1","Nachtrag in Bd. 7 zu Bd. 6 // the end of the date range could only be narrowed down to the year Pirckheimer's death"
"wpirck_bw_1110","1110","zinner_nikolaus_viaf_232419217","Nikolaus Zinner","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Nikolaus Zinner an P. Lat. Druck. \nMailand, 22. Mai 1527","1527","05","22","1527-05-22","0","1527","05","22","0000-00-00","22. Mai 1527","0","0","0","milano_IT_gid_3173435","Mailand","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1",""
