"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"wpirck_bw_1073","1073","pirckheimer_katharina_die_jüngere_viaf_unknown","Katharina Pirckheimer d. J.","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Katharina Pirckheimer d. J. an P. De. Autogr.<Nürnberg, Klarakloster, kurz vor Weihnachten 1526>","1526","12","","1526-12-17","1","1526","12","","1526-12-24","<kurz vor Weihnachten 1526>","1","0","0","nürnberg_klarissenkloster_st_klara_DE_gid_unknown","<Nürnberg, Klarakloster>","1","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_1_to_1",""
"wpirck_bw_1074","1074","pirckheimer_klara_viaf_11044869","Klara Pirckheimer","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Klara Pirckheimer an P. Dt. Autogr. <Nürnberg, Klarakloster, Anfang 1527>","1527","","","1527-01-01","1","1527","","","1527-02-28","<Anfang 1527>","1","0","1","nürnberg_klarissenkloster_st_klara_DE_gid_unknown","<Nürnberg, Klarakloster>","1","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_1_to_1",""
"wpirck_bw_1204","1204","pirckheimer_katharina_die_jüngere_viaf_unknown","Katharina Pirckheimer d. J.","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Katharina Pirckheimer d. J. an P. Dt. Autogr. <Nürnberg, Klarakloster, Jahreswende 1529>","1528","12","","1528-12-29","1","1529","01","","1529-01-03","<Jahreswende 1529>","1","1","0","nürnberg_klarissenkloster_st_klara_DE_gid_unknown","<Nürnberg, Klarakloster>","1","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_1_to_1",""
"wpirck_bw_1266","1266","pirckheimer_katharina_die_jüngere_viaf_unknown","Katharina Pirckheimer d. J.","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Katharina Pirckheimer d. J. an P. Dt. Autogr. <Nürnberg, Klarakloster, Jahresende 1529>","1529","12","","1529-12-29","1","1529","12","","1529-12-31","<Jahresende 1529>","1","0","0","nürnberg_klarissenkloster_st_klara_DE_gid_unknown","<Nürnberg, Klarakloster>","1","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_1_to_1",""
"wpirck_bw_1267","1267","lotzer_johann_(1)_viaf_37256989","Johann Lotzer","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Johann Lotzer an P. Lat. Autogr. <Nürnberg, 1529/30>","1529","","","1529-01-01","1","1530","","","1530-12-31","<1529/30>","1","0","0","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_140","140","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","sperantius_sebastian_viaf_20458910","Sebastian Sperantius?","1","1","Pirckheimer an Sebastian Sperantius? Lat. Konzept. S.d. [Nbg, 1506?]","1506","","","1506-01-01","1","1506","","","1506-12-31","S. d. [1506?]","1","0","1","nürnberg_DE_gid_2861650","[Nürnberg]","1","0","ingolstadt_DE_gid_2895992","Ingolstadt","1","1","latin","familiar letter","letter_1_to_1","the date range might be way to narrow, cf. Pirckheimer BW I, p. 460"
"wpirck_bw_141","141","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","unnamed_person_viaf_not_applicable","?","0","1","Pirckheimer an? zugunsten der Astrologie. Lat. Konz. S.d. [Nbg, kaum vor 1507]","1506","","","1506-01-01","1","1506","","","1506-12-31","[kaum vor 1507]","1","0","0","nürnberg_DE_gid_2861650","[Nürnberg]","1","0","unknown_location_XX_gid_unknown","","0","1","latin","familiar letter","letter_1_to_1","for the date range, the whole year 1506 has been chosen, which seems to be appropriate because the book De rerum praenotione mentioned in the present letter got published in the same year, cf. Pirckheimer BW I, p. 465"
"wpirck_bw_155","155","behaim_lorenz_viaf_20423397","Lorenz Beheim","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Von demselben. Lat. Orig. Bamb., 8.[?]3.1507","1507","03","08","1507-03-08","0","1507","03","08","1507-03-08","8.[?]3.1507","1","0","1","bamberg_DE_gid_2952984","Bamberg","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_156","156","behaim_lorenz_viaf_20423397","Lorenz Beheim","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Von demselben. Lat. Orig. Bamb., 7.[?]3.1507","1507","03","07","1507-03-07","0","1507","03","07","1507-03-07","7.[?]3.1507","1","0","1","bamberg_DE_gid_2952984","Bamberg","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_174bis","174bis","graf_balthasar_viaf_unkown","Balthasar Graf","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Von Balthasar Graf. Dtsch. Orig. S. d. [Nördlingen]","1507","05","24","1507-05-24","1","","","","1507-12-31","S. d.","0","0","1","nördlingen_DE_gid_2861914","[Nördlingen]","1","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_1_to_1","a terminus post quem, 23. May 1507, can be derived from Ep. 170, cf. Pirckheimer BW II, p. 13 // for the end of the date range, 1507 appears plausible"
"wpirck_bw_174III","174III","graf_balthasar_viaf_unkown","Balthasar Graf","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Von demselben. Dtsch. Orig. S. d. [Nördlingen]","1507","05","24","1507-05-24","1","","","","1507-12-31","S. d.","0","0","1","nördlingen_DE_gid_2861914","[Nördlingen]","1","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_1_to_1","a terminus post quem, 23. May 1507, can be derived from Ep. 170, cf. Pirckheimer BW II, p. 13 // must have been written after 174bis // // for the end of the date range, 1507 appears plausible"
"wpirck_bw_176","176","loeffelholz_von_colberg_martin_viaf_86025775","Martin Löffelholz","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Von Martin Löffelholz. Dtsch. Orig. S. d. [Schloß Schwarzenburg ober Rötz i. d. Obpf. ? etwa 25. 3. 1508]","1508","03","25","1508-03-25","0","1508","03","25","1508-03-25","[etwa 25. 3. 1508]","1","1","0","schloss_schwarzenburg_gid_unknown","[Schloß Schwarzenburg ober Rötz i. d. Obpf. ?]","1","1","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_1_to_1",""
"wpirck_bw_178","178","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","spalatin_georg_viaf_240011410","Georg Spalatin","0","0","An denselben. Lat. Konzept. S. d. [Nbg., nach 27. 8. 1508]","1508","","","1508-08-28","1","","","","1508-12-31","[nach 27. 8. 1508]","1","0","1","nürnberg_DE_gid_2861650","[Nürnberg]","1","0","wittenberg_DE_gid_7303020","Wittenberg","0","1","latin","familiar letter","letter_1_to_1","for the end of the date range, 1508 appears plausible"
"wpirck_bw_181","181","behaim_lorenz_viaf_20423397","Lorenz Beheim","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Von demselben. Lat. Orig. S. d","","","","1508-10-01","1","","","","1508-10-31","S. d.","0","0","1","unknown_location_XX_gid_unknown","s. l.","0","1","unknown_location_XX_gid_unknown","","0","1","latin","familiar letter","letter_1_to_1","as a date range, October 1508 has been chosen, which seems to be suggested by Pirckheimer BW II, p. 40"
"wpirck_bw_187","187","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","staupitz_johann_von_viaf_46769278","Johann von Staupitz","0","0","An Johann von Staupitz. Lat. Konzept. S. d. [1510/1511?]","1510","06","27","1510-01-01","1","1511","","","1511-12-31","S. d. [1510/1511?]","1","0","1","unknown_location_XX_gid_unknown","s. l.","0","1","unknown_location_XX_gid_unknown","","0","1","latin","familiar letter","letter_1_to_1","a terminus post quem, 26. June 1510 is established by Pirckheimer BW II, p. 58 // the end of the date range could also be narrowed down to 'autumn 1511', cf Pirckheimer BW II, p. 59"
"wpirck_bw_187bis","187bis","rauch_margareta_viaf_unknown","Margretha Reuin","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Von Margretha Reuin. Dtsch. Orig. oder Abschrift. S. d.","","","","1510-01-01","1","","","","1510-12-31","S. d.","0","0","1","unknown_location_XX_gid_unknown","s. l.","0","1","unknown_location_XX_gid_unknown","","0","1","german","familiar letter","letter_1_to_1","as a date range, 1510 has been chosen as suggested by Pirckheimer BW II, p. 62"
"wpirck_bw_187III","187III","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","varnbüler_ulrich_viaf_57691488","Ein Unbekannter","1","1","An einen Unbekannten. Lat. Konzept. S. d.","","","","1504-03-30","1","","","","1510-12-31","S. d.","0","0","1","unknown_location_XX_gid_unknown","s. l.","0","1","unknown_location_XX_gid_unknown","","0","1","latin","familiar letter","letter_1_to_1","a terminus ab quem is established by Pirckheimer BW II, p. 63, the end of the date range is suggested ibid."
"wpirck_bw_194","194","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","peutinger_konrad_viaf_56776766","Konrad [Peutinger?]","1","1","An Konrad [Peutinger?] in Augsburg. Lat. Konzept. S.d. [1511?]","1511","","","1511-01-01","1","1511","","","1511-12-31","S.d. [1511?]","1","0","1","unknown_location_XX_gid_unknown","s. l.","0","0","augsburg_DE_gid_2954172","Augsburg","0","0","latin","familiar letter","letter_1_to_1","recipient uncertain"
"wpirck_bw_196","196","behaim_lorenz_viaf_20423397","Lorenz Beheim","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Von demselben. Lat. Orig. S. d. [Bamberg, Herbst 1511]","1511","","","1511-09-01","1","1511","","","1511-11-30","[Herbst 1511]","1","0","0","bamberg_DE_gid_2952984","[Bamberg]","1","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_201","201","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","unnamed_person_viaf_not_applicable","Ein ungenannter Freund","0","0","An einen ungenannten Freund. Lat. Konzept. S. d. [1512?]","1512","","","1512-01-01","1","1512","","","1512-12-31","S. d. [1512?]","1","0","1","unknown_location_XX_gid_unknown","s. l.","0","1","unknown_location_XX_gid_unknown","","0","1","latin","familiar letter","letter_1_to_1",""
"wpirck_bw_201a","201a","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","leib_kilian_viaf_57412912","<Kilian Leib>","1","0","P. an <Kilian Leib>. Lat. Autogr. <Nürnberg, ca. 1511/12>","1511","","","1511-01-01","1","1512","","","1512-12-31","<ca. 1511/12>","1","1","0","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","monastery_rebdorf_DE_gid_unknown","Monastery Rebdorf","1","1","latin","familiar letter","letter_1_to_1","Nachtrag in Bd. 7 zu Bd. 2"
