"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"wpirck_bw_1015ck2","1015","donauwörth_town_council_of_viaf_not_applicable","Bürgermeister und Rat von Donauwörth","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Bürgermeister und Rat von Donauwörth an P. Dt. Kanzleiausf. Donauwörth, 5. März 1526","1526","03","05","1526-03-05","0","1526","03","05","1526-03-05","5. März 1526","0","0","0","donauwörth_DE_gid_2936253","Donauwörth","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_n_to_1","multiple senders"
"wpirck_bw_103ck2","103","pirckheimer_eufemia_viaf_100506353","Sabina und Eufemia Pirckheimer","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Von Sabina und Eufemia Pirckheimer. Dtsch. Orig. Kl. Bergen, 2.3.1506","1506","03","02","1506-03-02","0","1506","03","02","1506-03-02","2.3.1506","0","0","0","bergen_abbey_DE_gid_unknown","Kloster Bergen","0","0","nürnberg_DE_gid_2861650","Nürnberg","0","1","german","familiar letter","letter_n_to_1","multiple senders"
"wpirck_bw_106ck2","106","eichstätt_town_council_of_viaf_not_applicable","Bürgermeister und Rat zu Eichstätt","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Von Bürgermeister und Rat zu Eichstätt. Dtsch. Orig. Eichstätt, 24.3.1506","1506","03","24","1506-03-24","0","1506","03","24","1506-03-24","24.3.1506","0","0","0","eichstätt_DE_gid_2932069","Eichstätt","0","0","nürnberg_DE_gid_2861650","Nürnberg","0","1","german","familiar letter","letter_n_to_1","multiple senders"
"wpirck_bw_116ck2","116","fragner_heinrich_viaf_unknown","Hans Egen und Heinr. Fragner, Baumeistern zu Eichstätt","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Von Hans Egen und Heinr. Fragner, Baumeistern zu Eichstätt. Dtsch. Orig. [Eichstätt] 6.7.1506","1506","07","06","1506-07-06","0","1506","07","06","1506-07-06","6.7.1506","0","0","0","eichstätt_DE_gid_2932069","[Eichstätt]","1","0","nürnberg_DE_gid_2861650","Nürnberg","0","1","german","familiar letter","letter_n_to_1","multiple senders"
"wpirck_bw_1173ck2","1173","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","pirckheimer_caritas_die_jüngere_viaf_1024145858287223022794","Pirckheimers Schwestern und Töchter im Kloster","0","0","P., Widmungsepistel zu Gregor von Nazianz,\nZwei Reden gegen Kaiser Julian, an seine\nSchwestern und Töchter im Kloster. Lat. Autogr.\n<Nürnberg, Mai 1528>","1528","05","","1528-05-01","1","1528","05","","1528-05-31","<Mai 1528>","1","0","0","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","bergen_abbey_DE_gid_unknown","Kloster Bergen","1","1","latin","dedicatory letter","letter_1_to_n","multiple recipients"
"wpirck_bw_1173ck3","1173","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","pirckheimer_eufemia_viaf_100506353","Pirckheimers Schwestern und Töchter im Kloster","0","0","P., Widmungsepistel zu Gregor von Nazianz,\nZwei Reden gegen Kaiser Julian, an seine\nSchwestern und Töchter im Kloster. Lat. Autogr.\n<Nürnberg, Mai 1528>","1528","05","","1528-05-01","1","1528","05","","1528-05-31","<Mai 1528>","1","0","0","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","bergen_abbey_DE_gid_unknown","Kloster Bergen","1","1","latin","dedicatory letter","letter_1_to_n","multiple recipients"
"wpirck_bw_1173ck4","1173","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","pirckheimer_katharina_die_ältere_viaf_17967599","Pirckheimers Schwestern und Töchter im Kloster","0","0","P., Widmungsepistel zu Gregor von Nazianz,\nZwei Reden gegen Kaiser Julian, an seine\nSchwestern und Töchter im Kloster. Lat. Autogr.\n<Nürnberg, Mai 1528>","1528","05","","1528-05-01","1","1528","05","","1528-05-31","<Mai 1528>","1","0","0","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","geisenfeld_abbey_DE_gid_unknown","Kloster Geisenfeld","1","1","latin","dedicatory letter","letter_1_to_n","multiple recipients"
"wpirck_bw_1173ck5","1173","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","pirckheimer_katharina_die_jüngere_viaf_unknown","Pirckheimers Schwestern und Töchter im Kloster","0","0","P., Widmungsepistel zu Gregor von Nazianz,\nZwei Reden gegen Kaiser Julian, an seine\nSchwestern und Töchter im Kloster. Lat. Autogr.\n<Nürnberg, Mai 1528>","1528","05","","1528-05-01","1","1528","05","","1528-05-31","<Mai 1528>","1","0","0","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","nürnberg_klarissenkloster_st_klara_DE_gid_unknown","Nürnberg, Klarakloster","1","1","latin","dedicatory letter","letter_1_to_n","multiple recipients"
"wpirck_bw_1173ck6","1173","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","pirckheimer_klara_viaf_11044869","Pirckheimers Schwestern und Töchter im Kloster","0","0","P., Widmungsepistel zu Gregor von Nazianz,\nZwei Reden gegen Kaiser Julian, an seine\nSchwestern und Töchter im Kloster. Lat. Autogr.\n<Nürnberg, Mai 1528>","1528","05","","1528-05-01","1","1528","05","","1528-05-31","<Mai 1528>","1","0","0","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","nürnberg_klarissenkloster_st_klara_DE_gid_unknown","Nürnberg, Klarakloster","1","1","latin","dedicatory letter","letter_1_to_n","multiple recipients"
"wpirck_bw_1173ck7","1173","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","pirckheimer_walburg_viaf_unknown","Pirckheimers Schwestern und Töchter im Kloster","0","0","P., Widmungsepistel zu Gregor von Nazianz,\nZwei Reden gegen Kaiser Julian, an seine\nSchwestern und Töchter im Kloster. Lat. Autogr.\n<Nürnberg, Mai 1528>","1528","05","","1528-05-01","1","1528","05","","1528-05-31","<Mai 1528>","1","0","0","nürnberg_DE_gid_2861650","<Nürnberg>","1","0","nürnberg_klarissenkloster_st_klara_DE_gid_unknown","Nürnberg, Klarakloster","1","1","latin","dedicatory letter","letter_1_to_n","multiple recipients"
"wpirck_bw_130ck2","130","pirckheimer_eufemia_viaf_100506353","Sabina und Eufemia Pirckheimer","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Von Sabina und Eufemia Pirckheimer. Dtsch. Orig. Kl.Bergen, 23.10.1506","1506","10","23","1506-10-23","0","1506","10","23","1506-10-23","23.10.1506","0","0","0","bergen_abbey_DE_gid_unknown","Kloster Bergen","0","0","nürnberg_DE_gid_2861650","Nürnberg","0","1","german","familiar letter","letter_n_to_1","multiple senders"
"wpirck_bw_153ck2","153","pirckheimer_eufemia_viaf_100506353","Sabina und Eufemia Pirckheimer","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Von Sabina und Eufemia Pirckheimer. Dtsch. Orig. Kl. Bergen, 23.2.1507","1507","02","23","1507-02-23","0","1507","02","23","1507-02-23","23.2.1507","0","0","0","bergen_abbey_DE_gid_unknown","Kloster Bergen","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_n_to_1","multiple senders"
"wpirck_bw_15ck2","15","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","gotzendorffer_hans_viaf_unknown","Endres Wallenfelser und Hans Gotzendorffer","0","0","Pirckheimer an Endres Wallenfelser und Hans Gotzendorffer. Dtsch. Orig. Pfunds, 13.6.1499","1499","06","13","1499-06-13","0","1499","06","13","1499-06-13","13.6.1499","0","0","0","pfunds_AT_gid_2768905","Pfunds","0","0","schweinfurt_DE_gid_2834498","Schweinfurt","0","1","german","familiar letter","letter_1_to_n","multiple recipients"
"wpirck_bw_182ck2","182","hollfeld_town_council_of_viaf_not_applicable","Bürgermeister und Rat zu Hollfeld","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Bürgermeister und Rat zu Hollfeld an P. und Martin Geuder. Dtsch. Orig. Hollfeld, 10.2.1509","1509","02","10","1509-02-10","0","1509","02","10","1509-02-10","10.2.1509","0","0","0","hollfeld_DE_gid_2900453","Hollfeld","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_n_to_n","multiple recipients"
"wpirck_bw_354ck2","354","jechler_lorenz_viaf_uncertain","Veit Widemann und Lorenz Jechler","0","0","pirckheimer_willibald_viaf_27173507","Willibald Pirckheimer","0","0","Von Veit Wid[e]mann und Lorenz Jechler. Dtsch. Orig. Leipzig, 2.4.1515","1515","02","02","1515-04-02","0","1515","02","02","1515-04-02","2.4.1515","0","0","0","leipzig_DE_gid_2879139","Leipzig","0","0","nürnberg_DE_gid_2861650","Nürnberg","1","1","german","familiar letter","letter_n_to_1","multiple senders"
