"recipient_id","Number of locations this correspondent receives letters at"
"adelmann_von_adelmannsfelden_konrad_viaf_70113118","1"
"adelman_von_adelmannsfelden_bernhard_von_viaf_37722933","1"
"adrian_vi_ pope_ viaf_76430137","1"
"ansbach_margrave_counselors_of_viaf_not_applicable","1"
"arzt_ulrich_viaf_62731686","1"
"auerbach_heinrich_viaf_69872391","2"
"a_prince_of_the_holy_roman_empire_viaf_not_applicable","1"
"bannicius_jacobus_viaf_72207021","1"
"baumann_konrad_viaf_unknown","1"
"baumgartner_hans_(II)_viaf_55332057","1"
"behaim_lorenz_viaf_20423397","1"
"beheim_georg_viaf_52872509","1"
"bild_veit_viaf_42582972","1"
"brant_sebastian_viaf_29530930","1"
"brassicanus_joannes_alexander_viaf_9899294","1"
"brotbeck_paul_viaf_unknown","1"
"celtis_konrad_viaf_64142723","1"
"cochlæus_johannes_viaf_121589726","3"
"coler_christoph_viaf_30751426","1"
"cuspinianus_johannes_viaf_56145857800523020145","1"
"dürer_albrecht_viaf_54146999","1"
"eck_johann_viaf_100185986","1"
"egnazio_giovanni_battista_viaf_100187526","1"
"emser_hieronymus_viaf_19702295","1"
"erasmus_desiderius_viaf_95982394","5"
"eyb_kaspar_von_viaf_unknown","1"
"frederick_iii_elector_of_saxony_viaf_316392243","1"
"froben_hieronymus_viaf_32319505","1"
"gabriel_eichstätt_bischof_viaf_35304026","1"
"georg_III_bamberg_bischof_viaf_15568815","1"
"gerbel_nicolaus_viaf_60906847","1"
"geuder_georg_viaf_uncertain","1"
"geuder_hans_viaf_167595640","1"
"geuder_sebald_viaf_unknown","1"
"gotzendorffer_hans_viaf_unknown","1"
"grüninger_johann_viaf_304920352","1"
"helfenstein_ulrich_von_viaf_232441970","1"
"hessus_helius_eobanus_viaf_71412338","2"
"hipler_johann_viaf_unknown","1"
"hummelberger_michael_viaf_287885872","1"
"hutten_ulrich_von_viaf_95193756","2"
"huttich_johann_viaf_5722622","1"
"imhoff_andreas_viaf_25371459","1"
"irenicus_franciscus_viaf_52493747","1"
"koberger_johannes_viaf_100735335","1"
"kress_anton_viaf_8938667","2"
"laufenburg_town_council_of_viaf_not_applicable","1"
"lawyers_of_two_counts_of_hohenlohe_viaf_not_applicable","1"
"leib_kilian_viaf_57412912","2"
"lentersheim_veit_von_viaf_unknown","1"
"leo_x_pope_viaf_316407579","1"
"linck_wenzeslaus_viaf_25394616","1"
"longinus_vincentius_viaf_49659875","1"
"ludwig_V_pfalz_kurfürst_viaf_61689502","1"
"lupf_augustin_viaf_unknown","1"
"maier_bartholomaeus_viaf_unknown","1"
"maximilian_I_holy_roman_emperor_viaf_293727145","1"
"melanchthon_philipp_viaf_76319978","2"
"montanus_jakob_viaf_52459266","1"
"neuenar_hermann_graf_von_viaf_18164526","2"
"nürnberg_mayor_of_viaf_not_applicable","1"
"nürnberg_town_council_fünf_herren","1"
"nürnberg_town_council_of_viaf_not_applicable","1"
"nützel_kaspar_viaf_15536542","1"
"oecolampadius_johann_viaf_56634092","2"
"peutinger_konrad_viaf_56776766","1"
"pfintzing_melchior_viaf_56753537","1"
"phrygio_paul_constantin_viaf_100373177","1"
"pico_della_mirandola_giovanni_francesco_viaf_100167850","1"
"pirckheimer_caritas_die_ältere_viaf_41848634","1"
"pirckheimer_caritas_die_jüngere_viaf_1024145858287223022794","1"
"pirckheimer_eufemia_viaf_100506353","1"
"pirckheimer_johannes_viaf_45097499","1"
"pirckheimer_katharina_die_ältere_viaf_17967599","1"
"pirckheimer_katharina_die_jüngere_viaf_unknown","1"
"pirckheimer_klara_viaf_11044869","1"
"pirckheimer_sabina_viaf_100506400","1"
"pirckheimer_walburg_viaf_unknown","1"
"pirckheimer_willibald_viaf_27173507","17"
"praun_hans_viaf_unknown","1"
"pufler_michael_viaf_unknown","1"
"reuchlin_johann_viaf_66542815","2"
"reusch_johannes_viaf_309696969","1"
"reuter_konrad_viaf_40196398","1"
"rhenanus_beatus_viaf_39415982","2"
"sauermann_georg_viaf_49957282","1"
"schade_peter_viaf_12457732","1"
"scharpff_hans_viaf_unknown","1"
"schleinitz_heinrich_von_viaf_32935699","1"
"schwarzenberg_johann_von_viaf_41987336","1"
"spalatin_georg_viaf_240011410","2"
"spengler_lazarus_viaf_14956752","1"
"sperantius_sebastian_viaf_20458910","2"
"staupitz_johann_von_viaf_46769278","1"
"stetten_katharina_von_viaf_unknown","1"
"streitberg_gabriel_von_viaf_unknwon","1"
"tannberger_wolfgang_viaf_81734707","1"
"thierstein_thomas_von_viaf_unknown","1"
"thüngen_konrad_ii_von_viaf_26411713","1"
"trithemius_johannes_viaf_275145670671105170001","1"
"truchseß_jörg_viaf_74629691","1"
"tscherte_hans_viaf_95414344","1"
"unnamed_person_viaf_not_applicable","1"
"varnbüler_ulrich_viaf_57691488","2"
"volckamer_clemens_viaf_10624711","1"
"volprecht_wolfgang_viaf_35275753","1"
"wallenfelser_endres_viaf_unknown","1"
"wolmershausen_georg_von_viaf_171769668","1"
"zasius_ulrich_viaf_61645489","2"
"ziegler_jakob_viaf_15074694","1"
"zinner_nikolaus_viaf_232419217","1"
"zwingli_ulrich_viaf_71399367","1"
