"sender_id","Number of locations this correspondent writes letters from"
"adelman_von_adelmannsfelden_bernhard_von_viaf_37722933","1"
"aesticampianus_johannes_viaf_41271419","1"
"albersdorff_ulrich_von_viaf_unknown","1"
"andreis_franjo_trankvil_viaf_22294763","2"
"auerbach_heinrich_viaf_69872391","2"
"aventinus_johannes_viaf_24865681","1"
"balthasar_konstanz_bischof_viaf_42723378","1"
"bannicius_jacobus_viaf_72207021","1"
"basellius_nikolaus_viaf_30349975","1"
"baumgartner_hans_(II)_viaf_55332057","2"
"behaim_lorenz_viaf_20423397","2"
"bernardina_wpirck_corpus_viaf_unknown","1"
"bild_veit_viaf_42582972","1"
"billicanus_theobald_viaf_54939371","1"
"boemio_johannes_viaf_unknown","1"
"brassicanus_joannes_alexander_viaf_9899294","1"
"brenz_johannes_viaf_19687604","1"
"brotbeck_paul_viaf_unknown","1"
"bucer_martin_viaf_2478527","1"
"burckhard_peter_viaf_8201375","1"
"busche_hermann_von_dem_viaf_27087291","1"
"büschler_hermann_viaf_170561908","1"
"camerarius_joachim_viaf_2495607","2"
"capito_wolfgang_viaf_61578502","1"
"castro_campi_johannes_baptista_de_viaf_unknown","1"
"chelidonius_benedictus_viaf_88090962","3"
"cochlæus_johannes_viaf_121589726","11"
"coler_christoph_viaf_30751426","1"
"conti_alvise_viaf_unknown","1"
"coradatus_konrad_viaf_20474413","1"
"cuno_johannes_viaf_72150890","2"
"cuspinianus_johannes_viaf_56145857800523020145","1"
"denck_hans_viaf_46807511","1"
"diethay_elisabeth_viaf_755397","1"
"dietrich_ambrosius_viaf_69673463","2"
"donauwörth_mayor_of_viaf_not_applicable","1"
"donauwörth_town_council_of_viaf_not_applicable","1"
"dürer_albrecht_viaf_54146999","2"
"egen_hans_viaf_69680016","1"
"egnazio_giovanni_battista_viaf_100187526","1"
"eichstätt_mayor_of_viaf_not_applicable","1"
"eichstätt_town_council_of_viaf_not_applicable","1"
"emser_hieronymus_viaf_19702295","1"
"erasmus_desiderius_viaf_95982394","3"
"faber_johannes_viaf_32834550","1"
"fischer_friedrich_viaf_80410834","2"
"flach_von_schwarzenberg_georg_viaf_unknown","1"
"förnschild_sebastian_viaf_171032352","1"
"fragner_heinrich_viaf_unknown","1"
"frank_andreas_viaf_uncertain","1"
"frederick_iii_elector_of_saxony_viaf_316392243","1"
"friedrich_II_pfalz_kurfürst_viaf_8179078","1"
"fries_wolfgang_viaf_unknown","1"
"fuchs_konrad_viaf_uncertain","1"
"gabriel_eichstätt_bischof_viaf_35304026","1"
"galeazzo_di_san_severino_giovanni_gian_viaf_40127865","3"
"georg_III_bamberg_bischof_viaf_15568815","2"
"geuder_brigitta_viaf_8143882","1"
"geuder_georg_viaf_uncertain","9"
"geuder_hans_viaf_167595640","1"
"geuder_martin_der_jüngere_viaf_unknown","1"
"geuder_sebald_viaf_unknown","4"
"glareanus_henricus_viaf_73950690","2"
"graf_balthasar_viaf_unkown","1"
"groland_leonhard_viaf_168778652","1"
"grüninger_johann_viaf_304920352","2"
"gugel_christoph_viaf_232302151","1"
"habermayer_katharine_viaf_8137100","1"
"haller_sebastian_viaf_unknown","1"
"haller_von_hallerstein_hieronymus_viaf_81436331","1"
"haloander_gregor_viaf_100185149","1"
"hegendorph_christoph_viaf_54260943","1"
"heinrich_III_nassau_graf_viaf_45163160","1"
"heller_jakob_viaf_140302440","1"
"herden_katharina_viaf_32756028","1"
"hessus_helius_eobanus_viaf_71412338","2"
"heß_johann_viaf_74612417","4"
"hircanus_sebastian_viaf_unknown","1"
"hohenlohe_graf_albrecht_von_viaf_37680768","3"
"hohenlohe_graf_georg_von_viaf_74616777","1"
"hollfeld_mayor_of_viaf_not_applicable","1"
"hollfeld_town_council_of_viaf_not_applicable","1"
"hummelberger_gabriel_viaf_47706765","1"
"hummelberger_michael_viaf_287885872","1"
"hutten_ulrich_von_viaf_95193756","4"
"huttich_johann_viaf_5722622","1"
"imhoff_hans_(V)_viaf_64775849","1"
"imhoff_hans_(VI)_viaf_81855873","1"
"imhoff_hieronymus_viaf_unknown","1"
"imhoff_sebastian_I_viaf_22145067039866631202","1"
"jechler_lorenz_viaf_uncertain","1"
"kaden_michael_von_viaf_80400410","1"
"käuffelin_balthasar_viaf_81875487","1"
"klays_konrad_viaf_unknown","1"
"klingenberg_johann_jakob_viaf_uncertain","1"
"koler_katharina_viaf_unknown","1"
"kreber_leonhard_viaf_unknown","5"
"kreber_michael_viaf_unknown","1"
"kreß_magdalena_viaf_unknown","1"
"laeus_johannes_viaf_uncertain","1"
"lang_johann_viaf_67343955","1"
"leib_kilian_viaf_57412912","1"
"leupolt_gangolf_viaf_unknown","1"
"lier_gottfried_von_viaf_unknown","1"
"linck_wenzeslaus_viaf_25394616","1"
"locher_jakob_viaf_22239224","1"
"lochinger_hans_viaf_unknown","3"
"loeffelholz_von_colberg_martin_viaf_86025775","2"
"lotzer_johann_(1)_viaf_37256989","1"
"luther_martin_viaf_14773105","1"
"macrinus_melchior_viaf_1369145857002922920825","1"
"maier_bartholomaeus_viaf_unknown","1"
"malon_gabriel_de_viaf_unknown","1"
"marchello_david_de_viaf_unknown","5"
"marstaller_michael_viaf_232122308","2"
"maximilian_I_holy_roman_emperor_viaf_293727145","5"
"melanchthon_philipp_viaf_76319978","2"
"miltiz_karl_von_viaf_72189171","3"
"montanus_jakob_viaf_52459266","1"
"mosham_ruprecht_von_viaf_20551741","1"
"murr_brigitta_von_viaf_unknown","1"
"murr_eufemia_von_viaf_37687141","1"
"nausea_friedrich_viaf_248203874","2"
"neudörffer_johann_viaf_49456710","1"
"neuenar_hermann_graf_von_viaf_18164526","3"
"nicolai_konrad_viaf_unknown","1"
"nürnberg_town_council_ältere_herren_viaf_not_applicable","1"
"nürnberg_town_council_of_viaf_not_applicable","1"
"nützel_kaspar_viaf_15536542","1"
"oecolampadius_johann_viaf_56634092","2"
"öffl_sebastian_viaf_unknown","1"
"opsopoeus_vincentius_viaf_100205376","1"
"pellicanus_konrad_viaf_41862976","1"
"peutinger_konrad_viaf_56776766","1"
"pfintzing_melchior_viaf_56753537","3"
"pflug_julius_von_viaf_3265533","2"
"pfnzing_sebald_viaf_80893478","1"
"phrygio_paul_constantin_viaf_100373177","1"
"pico_della_mirandola_giovanni_francesco_viaf_100167850","3"
"pirckheimer_caritas_die_ältere_viaf_41848634","1"
"pirckheimer_caritas_die_jüngere_viaf_1024145858287223022794","1"
"pirckheimer_eufemia_viaf_100506353","1"
"pirckheimer_katharina_die_ältere_viaf_17967599","1"
"pirckheimer_katharina_die_jüngere_viaf_unknown","1"
"pirckheimer_klara_viaf_11044869","2"
"pirckheimer_sabina_viaf_100506400","1"
"pirckheimer_walburg_viaf_unknown","1"
"pirckheimer_willibald_viaf_27173507","11"
"plaß_philipp_viaf_unknown","1"
"plick_wolfgang_viaf_unknown","1"
"poemer_hektor_viaf_30282831","1"
"pöll_johann_viaf_unknown","2"
"pufler_michael_viaf_unknown","1"
"rauch_margareta_viaf_unknown","3"
"rehlinger_johann_viaf_13057141","1"
"reinhart_martin_viaf_273051457","1"
"reuchlin_johann_viaf_66542815","2"
"reusch_johannes_viaf_309696969","1"
"reyffsteck_friedrich_viaf_unknown","1"
"rhegius_urbanus_viaf_17232588","1"
"rhenanus_beatus_viaf_39415982","1"
"ricius_paulus_viaf_60018918","1"
"rieter_eustachius_viaf_232348969","1"
"romming_johannes_viaf_54965890","1"
"ruchamer_jobst_viaf_54965971","1"
"rüttel_andreas_viaf_231891749","1"
"sauermann_georg_viaf_49957282","1"
"savorgnanus_petrus_viaf_54549501","3"
"schade_peter_viaf_12457732","2"
"schanz_wolf_viaf_unknown","1"
"scharpff_hans_viaf_unknown","1"
"schenk_von_limburg_karl_sigismund_viaf_uncertain","1"
"scheurl_christoph_viaf_18017875","2"
"schick_hans_viaf_unknown","1"
"schluchter_michael_viaf_27850722","1"
"schöner_johannes_viaf_41849693","2"
"schutter_hieronymus_viaf_35231205","1"
"schwarzenberg_johann_von_viaf_41987336","2"
"schwarzenberg_paul_von_viaf_15581090","1"
"schweicker_thomas_viaf_67241738","1"
"schweiß_alexander_von_viaf_89934990","5"
"sibutus_georg_viaf_89560455","1"
"spalatin_georg_viaf_240011410","4"
"spengler_lazarus_viaf_14956752","1"
"sperantius_sebastian_viaf_20458910","1"
"spiegel_jakob_viaf_24846746","1"
"sporer_georg_viaf_unknown","1"
"stabius_johannes_viaf_27933625","2"
"stahl_peter_viaf_54920016","1"
"sternberg_hans_von_viaf_15976378","1"
"straub_hans_viaf_unknown","3"
