"Id","Label","locations_modern_state","locations_modern_province","locations_lat","locations_lng"
"altenburg_DE_gid_2957773","Altenburg","Germany","Thuringia","50.98763","12.43684"
"ansbach_DE_gid_2955936","Ansbach","Germany","Bavaria","49.30481","10.5931"
"antwerpen_BE_gid_2803138","Antwerp","Belgium","Flanders","51.21989","4.40346"
"arberg_DE_gid_2955697","Arberg","Germany","Bavaria","49.14428","10.61722"
"augsburg_DE_gid_2954172","Augsburg","Germany","Bavaria","48.37154","10.89851"
"bad_windsheim_DE_gid_2953314","Bad Windsheim","Germany","Bavaria","49.50274","10.41539"
"bamberg_DE_gid_2952984","Bamberg","Germany","Bavaria","49.89873","10.90067"
"basel_CH_gid_2661604","Basel","Switzerland","Basel-City","47.5584","7.57327"
"bergen_abbey_DE_gid_unknown","Bergen Abbey","Germany","Bavaria","48.7842","11.1421"
"biberach_DE_gid_2949423","Biberach an der Riss","Germany","Baden-Wurttemberg","48.09345","9.79053"
"bologna_IT_gid_3181928","Bologna","Italy","Emilia-Romagna","44.49381","11.33875"
"bressanone_IT_gid_3181550","Brixen","Italy","Trentino-Alto Adige","46.71503","11.65598"
"dresden_DE_gid_2935022","Dresden","Germany","Saxony","51.05089","13.73832"
"eichstätt_DE_gid_2932069","Eichstätt","Germany","Bavaria","48.88854","11.19675"
"erfurt_DE_gid_2929670","Erfurt","Germany","Thuringia","50.9787","11.03283"
"ferrara_IT_gid_3177090","Ferrara","Italy","Emilia-Romagna","44.84346","11.60868"
"frankfurt_am_main_DE_gid_2925533","Frankfurt am Main","Germany","Hesse","50.11552","8.68417"
"freiburg_DE_gid_2925177","Freiburg im Breisgau","Germany","Baden-Wurttemberg","47.9959","7.85222"
"geisenfeld_abbey_DE_gid_unknown","Geisenfeld Abbey","Germany","Bavaria","48.6833","11.6135"
"heidelberg_DE_gid_2907911","Heidelberg","Germany","Baden-Wurttemberg","49.40768","8.69079"
"herford_DE_gid_2906121","Herford","Germany","North Rhine-Westphalia","52.11457","8.67343"
"ingolstadt_DE_gid_2895992","Ingolstadt","Germany","Bavaria","48.76508","11.42372"
"kaisheim_DE_gid_2893983","Kaisheim","Germany","Bavaria","48.76751","10.79639"
"kloster_schamhaupten_DE_gid_unknown","Monastery Schamhaupten","Germany","Bavaria","48.9138","11.5966"
"köln_DE_gid_2886242","Cologne","Germany","North Rhine-Westphalia","50.93333","6.95"
"laufenburg_DE_gid_2880121","Laufenburg","Germany","Baden-Wurttemberg","47.56512","8.06045"
"leipzig_DE_gid_2879139","Leipzig","Germany","Saxony","51.33962","12.37129"
"leuven_BE_gid_2792482","Leuven","Belgium","Flanders","50.87959","4.70093"
"lindau_DE_gid_2877550","Lindau","Germany","Bavaria","47.54612","9.68431"
"mainz_DE_gid_2874225","Mainz","Germany","Rheinland-Pfalz","49.98419","8.2791"
"mirandola_IT_gid_3173370","Mirandola","Italy","Emilia-Romagna","44.88515","11.06902"
"monastery_rebdorf_DE_gid_unknown","Monastery Rebdorf","Germany","Bavaria","48.8881","11.1676"
"neunhof_DE_gid_2864443","Neunhof","Germany","Bavaria","49.55495","11.23017"
"neustadt_an_der_aisch_DE_gid_2864057","Neustadt an der Aisch","Germany","Bavaria","49.57953","10.61126"
"nördlingen_DE_gid_2861914","Nördlingen","Germany","Bavaria","48.85122","10.48868"
"nürnberg_DE_gid_2861650","Nuremberg","Germany","Bavaria","49.45421","11.07752"
"nürnberg_klarissenkloster_st_klara_DE_gid_unknown","Klarissenkloster St. Klara","Germany","Bavaria","49.4486","11.0794"
"padova_IT_gid_3171728","Padua","Italy","Veneto","45.40797","11.88586"
"pavia_IT_gid_3171366","Pavia","Italy","Lombardy","45.19205","9.15917"
"pfunds_AT_gid_2768905","Pfunds","Austria","Tyrol","46.96667","10.55"
"ravensburg_DE_gid_2849802","Ravensburg","Germany","Baden-Wurttemberg","47.78198","9.61062"
"rome_IT_gid_3169070","Rome","Italy","Lazio","41.89193","12.51133"
"sélestat_FR_gid_2975233","Sélestat","France","Grand Est","48.26667","7.45"
"speyer_DE_gid_2830582","Speyer","Germany","Rheinland-Pfalz","49.32083","8.43111"
"strasbourg_FR_gid_2973783","Strasbourg","France","Grand Est","48.58342","7.74296"
"stuttgart_DE_gid_2825297","Stuttgart","Germany","Baden-Wurttemberg","48.78232","9.17702"
"tübingen_DE_gid_2820860","Tübingen","Germany","Baden-Wurttemberg","48.52266","9.05222"
"ulm_DE_gid_2820256","Ulm","Germany","Baden-Wurttemberg","48.39841","9.99155"
"venice_IT_gid_3164603","Venice","Italy","Veneto","45.43713","12.33265"
"vienna_AT_gid_2761369","Vienna","Austria","Vienna","48.20849","16.37208"
"weinsberg_DE_gid_2812158","Weinsberg","Germany","Baden-Wurttemberg","49.15127","9.28762"
"wittenberg_DE_gid_7303020","Wittenberg","Germany","Saxony-Anhalt","51.8661","12.64973"
