"Id","Label","locations_modern_state","locations_modern_province","locations_lat","locations_lng"
"altenburg_DE_gid_2957773","Altenburg","Germany","Thuringia","50.98763","12.43684"
"amberg_DE_gid_2956656","Amberg","Germany","Bavaria","49.44287","11.86267"
"ansbach_DE_gid_2955936","Ansbach","Germany","Bavaria","49.30481","10.5931"
"antwerpen_BE_gid_2803138","Antwerp","Belgium","Flanders","51.21989","4.40346"
"aschaffenburg_DE_gid_2955272","Aschaffenburg","Germany","Bavaria","49.97704","9.15214"
"augsburg_DE_gid_2954172","Augsburg","Germany","Bavaria","48.37154","10.89851"
"bad_tölz_DE_gid_2953324","Bad Tölz","Germany","Bavaria","47.76111","11.5589"
"baden_AT_gid_2782067","Baden bei Wien","Austria","Lower Austria","48.00543","16.23264"
"bamberg_DE_gid_2952984","Bamberg","Germany","Bavaria","49.89873","10.90067"
"basel_CH_gid_2661604","Basel","Switzerland","Basel-City","47.5584","7.57327"
"beaune_FR_gid_3034126","Beaune","France","Bourgogne-Franche-Comté","47.03333","4.83333"
"bergen_abbey_DE_gid_unknown","Bergen Abbey","Germany","Bavaria","48.7842","11.1421"
"biberach_DE_gid_2949423","Biberach an der Riss","Germany","Baden-Wurttemberg","48.09345","9.79053"
"blois_FR_gid_3032213","Blois","France","Centre-Val de Loire","47.58333","1.33333"
"bologna_IT_gid_3181928","Bologna","Italy","Emilia-Romagna","44.49381","11.33875"
"bolzano_IT_gid_3181913","Bolzano","Italy","Trentino-Alto Adige","46.49067","11.33982"
"burgos_ES_gid_3127461","Burgos","Spain","Castille and León","42.35022","-3.67527"
"chiateoscutella_IT_gid_unknown","Chiateoscutella","Italy","Unknown","NULL","NULL"
"dachsbach_DE_gid_2939608","Dachsbach","Germany","Bavaria","49.64051","10.70652"
"donauwörth_DE_gid_2936253","Donauwörth","Germany","Bavaria","48.71804","10.7793"
"dresden_DE_gid_2935022","Dresden","Germany","Saxony","51.05089","13.73832"
"ebernburg_castle_DE_gid_unknown","Burg Ebernburg","Germany","Rheinland-Pfalz","49.807044","7.838608"
"eichstätt_DE_gid_2932069","Eichstätt","Germany","Bavaria","48.88854","11.19675"
"erfurt_DE_gid_2929670","Erfurt","Germany","Thuringia","50.9787","11.03283"
"esslingen_DE_gid_2928751","Esslingen am Neckar","Germany","Baden-Wurttemberg","48.73961","9.30473"
"feldkirch_AT_gid_2779674","Feldkirch","Austria","Vorarlberg","47.23306","9.6"
"feldlager_bei_herrenberg_gid_unknown","Feldlager bei Herrenberg","Germany","Baden-Wurttemberg","48.59523","8.86648"
"ferrara_IT_gid_3177090","Ferrara","Italy","Emilia-Romagna","44.84346","11.60868"
"florence_IT_gid_3176959","Florence","Italy","Tuscany","43.77925","11.24626"
"forchheim_DE_gid_2925910","Forchheim","Germany","Bavaria","49.71754","11.05877"
"frankfurt_am_main_DE_gid_2925533","Frankfurt am Main","Germany","Hesse","50.11552","8.68417"
"freiberg_DE_gid_2925192","Freiberg","Germany","Saxony","50.91089","13.33881"
"freiburg_DE_gid_2925177","Freiburg im Breisgau","Germany","Baden-Wurttemberg","47.9959","7.85222"
"fürth_DE_gid_2923544","Fürth","Germany","Bavaria","49.47593","10.98856"
"garmisch_partenkirchen_DE_gid_2922530","Garmisch-Partenkirchen","Germany","Bavaria","47.49209","11.09576"
