"correspondents_id","name_in_edition","Beginning of correspondence with Pirckheimer","End of the correspondence with Pirckheimer"
"adelmann_von_adelmannsfelden_konrad_viaf_70113118","Konrad Adelmann","1523-11-01","1523-11-01"
"adelman_von_adelmannsfelden_bernhard_von_viaf_37722933","Bernhard Adelmann","1514-10-01","1523-07-08"
"adrian_vi_ pope_ viaf_76430137","Papst Hadrian VI","1522-04-01","1522-04-01"
"aesticampianus_johannes_viaf_41271419","Johannes Rhagius Aesticampianus","1519-02-16","1519-02-16"
"albersdorff_ulrich_von_viaf_unknown","Ulrich von Albersdorff","1518-05-08","1518-05-08"
"andreis_franjo_trankvil_viaf_22294763","Tranquillus Parthenius Andronicus","1518-06-01","1519-01-03"
"ansbach_margrave_counselors_of_viaf_not_applicable","Räte des Markgrafen in Ansbach","1513-04-07","1513-04-07"
"arzt_ulrich_viaf_62731686","Ulrich Arzt","1514-04-22","1514-04-22"
"auerbach_heinrich_viaf_69872391","Heinrich Stromer","1517-11-01","1526-10-15"
"aventinus_johannes_viaf_24865681","Johannes Aventinus","1530-12-01","1530-12-01"
"a_prince_of_the_holy_roman_empire_viaf_not_applicable","Ein Reichsfürst","1523-02-14","1523-02-14"
"balthasar_konstanz_bischof_viaf_42723378","Balthasar Merklin","1528-08-08","1528-08-08"
"bannicius_jacobus_viaf_72207021","Jakob de Bannissis","1514-12-01","1524-03-02"
"basellius_nikolaus_viaf_30349975","Nikolaus Basellius","1519-11-05","1519-11-05"
"baumann_konrad_viaf_unknown","Konrad Baumann","1513-07-16","1513-07-16"
"baumgartner_hans_(II)_viaf_55332057","Hans II. Paumgartner // Hans Baumgartner","1514-04-26","1530-07-01"
"behaim_lorenz_viaf_20423397","Lorenz Beheim","1505-12-31","1520-04-18"
"beheim_georg_viaf_52872509","Georg Beheim","1507-10-25","1507-10-25"
"bernardina_wpirck_corpus_viaf_unknown","Bernardina","1495-09-14","1495-09-14"
"bild_veit_viaf_42582972","Veit Bild","1523-01-22","1528-10-02"
"billicanus_theobald_viaf_54939371","Theobald Billicanus","1526-03-18","1526-03-18"
"boemio_johannes_viaf_unknown","Johannes Boemio","1507-04-27","1507-04-27"
"brant_sebastian_viaf_29530930","Sebastian Brant","1513-08-20","1513-08-20"
"brassicanus_joannes_alexander_viaf_9899294","Johannes Alexander Brassicanus","1519-11-16","1521-03-05"
"brenz_johannes_viaf_19687604","Johannes Brenz","1517-05-10","1517-05-10"
