"recipient_id","FLFE","LLFE"
"pirckheimer_johannes_viaf_45097499","1491-05-04","1494-11-23"
"imhoff_andreas_viaf_25371459","1526-09-01","1526-09-01"
"volckamer_clemens_viaf_10624711","1527-02-14","1527-02-14"
"wolmershausen_georg_von_viaf_171769668","1528-05-14","1528-05-14"
"reuter_konrad_viaf_40196398","1530-03-15","1530-03-15"
"eyb_kaspar_von_viaf_unknown","1506-10-31","1507-02-19"
"froben_hieronymus_viaf_32319505","1530-10-15","1530-10-15"
"wallenfelser_endres_viaf_unknown","1499-06-13","1499-06-13"
"gotzendorffer_hans_viaf_unknown","1499-06-13","1499-06-13"
"laufenburg_town_council_of_viaf_not_applicable","1507-05-20","1507-05-20"
"beheim_georg_viaf_52872509","1507-10-25","1507-10-25"
"staupitz_johann_von_viaf_46769278","1510-01-01","1510-01-01"
"ansbach_margrave_counselors_of_viaf_not_applicable","1513-04-07","1513-04-07"
"baumann_konrad_viaf_unknown","1513-07-16","1513-07-16"
"brant_sebastian_viaf_29530930","1513-08-20","1513-08-20"
"praun_hans_viaf_unknown","1513-10-05","1513-10-05"
"arzt_ulrich_viaf_62731686","1514-04-22","1514-04-22"
"lentersheim_veit_von_viaf_unknown","1514-04-24","1514-04-24"
"stetten_katharina_von_viaf_unknown","1514-04-29","1514-08-08"
"leo_x_pope_viaf_316407579","1515-01-01","1520-12-01"
"lupf_augustin_viaf_unknown","1515-01-01","1515-01-01"
"streitberg_gabriel_von_viaf_unknwon","1515-10-17","1515-10-26"
"eck_johann_viaf_100185986","1515-12-20","1515-12-20"
"schleinitz_heinrich_von_viaf_32935699","1516-02-20","1516-02-20"
"kress_anton_viaf_8938667","1499-01-12","1504-04-12"
"thierstein_thomas_von_viaf_unknown","1502-03-01","1502-03-01"
"irenicus_franciscus_viaf_52493747","1517-11-01","1518-07-20"
"longinus_vincentius_viaf_49659875","1502-01-01","1502-01-01"
"nürnberg_town_council_fünf_herren","1518-01-01","1518-01-01"
"gerbel_nicolaus_viaf_60906847","1518-05-10","1518-05-10"
"hipler_johann_viaf_unknown","1518-05-25","1521-10-01"
"celtis_konrad_viaf_64142723","1502-12-16","1504-03-14"
"lawyers_of_two_counts_of_hohenlohe_viaf_not_applicable","1504-12-28","1504-12-28"
"volprecht_wolfgang_viaf_35275753","1520-10-18","1520-10-18"
"adrian_vi_ pope_ viaf_76430137","1522-04-01","1522-04-01"
"thüngen_konrad_ii_von_viaf_26411713","1522-08-01","1522-08-01"
"helfenstein_ulrich_von_viaf_232441970","1522-08-31","1522-08-31"
"a_prince_of_the_holy_roman_empire_viaf_not_applicable","1523-02-14","1523-02-14"
"adelmann_von_adelmannsfelden_konrad_viaf_70113118","1523-11-01","1523-11-01"
"ludwig_V_pfalz_kurfürst_viaf_61689502","1524-01-01","1524-01-01"
"nürnberg_mayor_of_viaf_not_applicable","1499-05-14","1499-05-14"
"koberger_johannes_viaf_100735335","1525-03-20","1525-03-20"
