"Correspondent","name_in_edition","Beginning of the correspondence","End of the correspondence"
"0075c169-6576-4112-99ef-80dbaa3bfeb7","Wenceslaus Linck","1518-05-01","1521-03-04"
"01158833-7c72-471b-92a6-68219236b5e3","Caritas Pirckheimer d. Ä.","1502-01-01","1528-05-01"
"048e0147-58cf-45e5-8312-f52998ca0ee4","Hieronymus Emser","1515-11-22","1523-08-10"
"058dce68-7011-4fb4-80c0-857d53d038b6","Melchior Pfinzing","1512-01-01","1530-12-05"
"05d146d0-11f3-4d82-96b2-c185556a745f","Lazarus Spengler","1520-10-20","1523-10-01"
"090248fc-426e-4cf6-9d53-348e10aed335","Johannes Trithemius","1507-07-01","1515-06-13"
"0a95f39c-14b2-4b72-8af4-2499f2e74f1a","Hans Geuder","1515-03-01","1529-10-20"
"0d599fd9-9b40-486b-b020-05270480e038","Giovanni Francesco Pico della Mirandola","1502-12-15","1530-03-15"
"0ebbde82-bd06-4dba-9d95-d0375207c54c","Paul Brotbeck","1516-02-20","1518-08-05"
"0ec03581-0e29-4e21-88cd-139033fd0f9e","Beatus Rhenanus","1513-11-01","1529-11-20"
"1418e3ea-66a2-44a8-a4ec-3600f6bff1eb","Johann von Schwarzenberg","1512-10-22","1526-03-20"
"14dfb636-35b2-4f7f-b356-4f5e3ce31704","Kilian Leib","1502-01-01","1530-10-03"
"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Desiderius Erasmus","1515-01-24","1530-08-29"
"1d206913-3666-4b58-9ec3-ff95863e8f94","Johannes Oecolampadius","1517-03-20","1527-02-01"
"26d1a52c-5363-4617-ac45-9741fc316647","Wolfgang von Tannberg","1519-10-15","1530-11-03"
"2aa41263-d982-430a-886a-7ca04aa606f0","Eufemia Pirckheimer","1505-12-21","1530-11-13"
"2bf9cc2d-d91a-4d46-b38a-c2c0584f1ab0","Philipp Melanchthon","1516-09-01","1526-09-10"
"33114d5c-9a6d-45c0-916c-59090904787f","Sebastian Sperantius","1506-01-01","1524-08-01"
"340496ce-5779-4edf-8f68-fd0141451b27","Rat der Stadt Nürnberg","1499-05-08","1529-06-15"
"3914a97e-ae0c-4426-87fd-b5fc649fe382","Johannes Reusch","1520-03-15","1520-09-01"
"3d874c24-b7bf-4657-a0a6-96b4cc27c718","Nikolaus Zinner","1518-12-18","1529-12-01"
"4c4a50b8-17ae-4d2b-9d4e-af875c1fcff4","Georg Geuder","1515-03-01","1530-06-24"
"4cabf5c0-2b3c-4bb7-9837-8e29e814d814","Hans Scharpff // Hans Scharpf","1514-02-26","1530-03-10"
"4e1811b8-de56-49bd-b14e-64ffae110e46","Helius Eobanus Hessus","1521-06-01","1530-10-09"
"5d99a856-5f72-480e-a00e-7a9b421a9383","Christoph Koler","1519-09-21","1528-03-01"
"6130c2bf-0d6b-44bf-a738-2b2383200bb9","Johann Tschertte","1524-04-15","1530-11-15"
"62ef8b11-62fe-4cd7-b137-1fbca96c7a84","Johann Huttich","1524-10-18","1525-03-17"
"6fc3d197-6ece-40c4-829a-fb63f2ed1ea3","Ulrich von Hutten","1517-04-20","1521-11-01"
"70d2929a-a318-4a6b-8642-2e2fdccfc920","Jörg Truchseß","1517-03-15","1517-03-26"
"76b78dc7-2aaf-42b0-b0b7-ced06ae7fbc1","Bartholomaeus Maier","1528-04-16","1528-04-29"
"7ebb6cfa-ce0f-4644-b60b-7591b784f052","Sebald Geuder","1515-03-01","1530-06-27"
"801483b2-c423-4b08-957b-fc245b201c87","Bischof Georg von Bamberg // Georg III., Schenk von Limpurg","1512-09-18","1520-12-03"
"815a554d-ab8d-4726-bb2a-7fc02321b3e3","Kaiser Maximilian","1512-09-01","1518-03-29"
"82023df8-a729-45f3-9e10-690acb331101","Hans II. Paumgartner // Hans Baumgartner","1514-04-26","1530-07-01"
"8444896d-fb1b-4eb5-9f39-39b1e78d470c","Jakob de Bannissis","1514-12-01","1524-03-02"
"853e25f4-7e65-49c4-a737-7fdba57aa66c","Kurfürst Friedrich der Weise von Sachsen","1514-05-18","1522-08-01"
"86955a69-408e-4036-928d-ae732549f50c","Johann Grieninger","1524-06-01","1529-12-18"
"87af3740-6b36-4e29-b4eb-b699da0ee2ab","Heinrich Stromer","1517-11-01","1526-10-15"
"8ad99d13-2ff3-4b64-b5aa-253a2613dc74","Johannes Cochläus","1511-02-03","1530-10-18"
"8c816868-8923-4daa-a154-e00dd8f38dff","Johannes Reuchlin","1511-10-01","1520-12-21"
