"name_in_edition"
"Wenceslaus Linck"
"Caritas Pirckheimer d. Ä."
"Hieronymus Emser"
"Melchior Pfinzing"
"Lazarus Spengler"
"Johannes Trithemius"
"Hans Geuder"
"Giovanni Francesco Pico della Mirandola"
"Paul Brotbeck"
"Beatus Rhenanus"
"Johann von Schwarzenberg"
"Kilian Leib"
"Desiderius Erasmus"
"Johannes Oecolampadius"
"Wolfgang von Tannberg"
"Eufemia Pirckheimer"
"Philipp Melanchthon"
"Sebastian Sperantius"
"Rat der Stadt Nürnberg"
"Johannes Reusch"
"Nikolaus Zinner"
"Georg Geuder"
"Hans Scharpff // Hans Scharpf"
"Helius Eobanus Hessus"
"Christoph Koler"
"Johann Tschertte"
"Johann Huttich"
"Ulrich von Hutten"
"Jörg Truchseß"
"Bartholomaeus Maier"
"Sebald Geuder"
"Bischof Georg von Bamberg // Georg III., Schenk von Limpurg"
"Kaiser Maximilian"
"Hans II. Paumgartner // Hans Baumgartner"
"Jakob de Bannissis"
"Kurfürst Friedrich der Weise von Sachsen"
"Johann Grieninger"
"Heinrich Stromer"
"Johannes Cochläus"
"Johannes Reuchlin"
"Georg Sauermann // Johann [?]"
"Baptista Egnatius"
"Albrecht Dürer"
"Michael Hummelberg"
"Katharina Pirckheimer d. J."
"Ulrich Zasius"
"Konrad Peutinger"
"Ulrich Zwingli"
"Walburg Pirckheimer"
"Michael Pufler"
"Ungenannt // Unbekannt"
"Paulus Constantinus Phrygio"
"Katharina Pirckheimer d. Ä."
"Hermann von Neuenahr"
"Gabriel von Eyb"
"Bernhard Adelmann"
"Klara Pirckheimer"
"Jakob Ziegler"
"Friedrich Nausea"
"Petrus Mosellanus"
"Jakob Montanus"
"Sabina Pirckheimer"
"Johannes Cuspinianus"
"Lorenz Beheim"
"Georg Spalatin"
"Ulrich Varnbühler // Ulrich Varnbüler"
"Kaspar Nützel"
"Johannes Alexander Brassicanus"
"Caritas Pirckheimer d. J."
"Veit Bild"
