"target_loc_id","TargetNameModern","TargetLAT","TargetLNG","source_loc_id","SourceNameModern","SourceLAT","SourceLNG"
"speyer_DE_gid_2830582","Speyer","49.32083","8.43111","nürnberg_DE_gid_2861650","Nuremberg","49.45421","11.07752"
"kaisheim_DE_gid_2893983","Kaisheim","48.76751","10.79639","nürnberg_DE_gid_2861650","Nuremberg","49.45421","11.07752"
"arberg_DE_gid_2955697","Arberg","49.14428","10.61722","nürnberg_DE_gid_2861650","Nuremberg","49.45421","11.07752"
"bad_windsheim_DE_gid_2953314","Bad Windsheim","49.50274","10.41539","pfunds_AT_gid_2768905","Pfunds","46.96667","10.55"
"schweinfurt_DE_gid_2834498","Schweinfurt","50.04937","10.22175","pfunds_AT_gid_2768905","Pfunds","46.96667","10.55"
"laufenburg_DE_gid_2880121","Laufenburg","47.56512","8.06045","nürnberg_DE_gid_2861650","Nuremberg","49.45421","11.07752"
"neustadt_an_der_aisch_DE_gid_2864057","Neustadt an der Aisch","49.57953","10.61126","nürnberg_DE_gid_2861650","Nuremberg","49.45421","11.07752"
"heidelberg_DE_gid_2907911","Heidelberg","49.40768","8.69079","nürnberg_DE_gid_2861650","Nuremberg","49.45421","11.07752"
"bressanone_IT_gid_3181550","Brixen","46.71503","11.65598","nürnberg_DE_gid_2861650","Nuremberg","49.45421","11.07752"
"unknown_location_in_italy_IT_gid_unknown","Unknown Location in Italy","NULL","NULL","nürnberg_DE_gid_2861650","Nuremberg","49.45421","11.07752"
"kloster_schamhaupten_DE_gid_unknown","Monastery Schamhaupten","48.9138","11.5966","nürnberg_DE_gid_2861650","Nuremberg","49.45421","11.07752"
