"locations_id","Location Name Modern","Latitude","Longitude","NoCorrToPirck","NoCorrFromPirck"
"altenburg_DE_gid_2957773","Altenburg","50.98763","12.43684","1","1"
"amberg_DE_gid_2956656","Amberg","49.44287","11.86267","2","NULL"
"ansbach_DE_gid_2955936","Ansbach","49.30481","10.5931","2","1"
"antwerpen_BE_gid_2803138","Antwerp","51.21989","4.40346","1","1"
"arberg_DE_gid_2955697","Arberg","49.14428","10.61722","NULL","1"
"aschaffenburg_DE_gid_2955272","Aschaffenburg","49.97704","9.15214","1","NULL"
"augsburg_DE_gid_2954172","Augsburg","48.37154","10.89851","31","7"
"baden_AT_gid_2782067","Baden bei Wien","48.00543","16.23264","1","NULL"
"bad_tölz_DE_gid_2953324","Bad Tölz","47.76111","11.5589","1","NULL"
"bad_windsheim_DE_gid_2953314","Bad Windsheim","49.50274","10.41539","NULL","1"
"bamberg_DE_gid_2952984","Bamberg","49.89873","10.90067","10","6"
"basel_CH_gid_2661604","Basel","47.5584","7.57327","5","4"
"beaune_FR_gid_3034126","Beaune","47.03333","4.83333","1","NULL"
"bergen_abbey_DE_gid_unknown","Bergen Abbey","48.7842","11.1421","6","4"
"blois_FR_gid_3032213","Blois","47.58333","1.33333","2","NULL"
"bologna_IT_gid_3181928","Bologna","44.49381","11.33875","6","4"
"bolzano_IT_gid_3181913","Bolzano","46.49067","11.33982","1","NULL"
"bressanone_IT_gid_3181550","Brixen","46.71503","11.65598","NULL","1"
"burgos_ES_gid_3127461","Burgos","42.35022","-3.67527","4","NULL"
"chiateoscutella_IT_gid_unknown","Chiateoscutella","NULL","NULL","2","NULL"
"dachsbach_DE_gid_2939608","Dachsbach","49.64051","10.70652","1","NULL"
"donauwörth_DE_gid_2936253","Donauwörth","48.71804","10.7793","4","NULL"
"dresden_DE_gid_2935022","Dresden","51.05089","13.73832","1","1"
"ebernburg_castle_DE_gid_unknown","Burg Ebernburg","49.807044","7.838608","1","NULL"
"eichstätt_DE_gid_2932069","Eichstätt","48.88854","11.19675","9","1"
