"Year","Average number of letters sent from Pirckheimer per correspondent this year"
"","1.0000"
"1491","2.0000"
"1494","1.0000"
"1499","1.4000"
"1501","3.0000"
"1502","1.5000"
"1503","1.7500"
"1504","1.0000"
"1505","1.0000"
"1506","1.0000"
"1507","1.2000"
"1508","1.0000"
"1510","1.0000"
"1511","1.0000"
"1512","1.2000"
"1513","2.2500"
"1514","1.6154"
"1515","1.2500"
"1516","1.3333"
"1517","1.7692"
"1518","1.2727"
"1519","1.0000"
"1520","1.4000"
"1521","1.0000"
"1522","1.0000"
"1523","1.0000"
"1524","1.0000"
"1525","1.2222"
"1526","1.2000"
"1527","1.0909"
"1528","0.7500"
"1529","1.0000"
"1530","1.0000"
