"Year","Average number of letters sent per correspondent to Pirckheimer this year"
"1495","1.0000"
"1499","28.0000"
"1501","1.0000"
"1502","2.0000"
"1504","1.0000"
"1505","3.6667"
"1506","2.4000"
"1507","1.6471"
"1508","1.6667"
"1509","1.0000"
"1510","1.0000"
"1511","1.8000"
"1512","5.0000"
"1513","3.1111"
"1514","3.2857"
"1515","1.0000"
"1516","2.0000"
"1517","2.7500"
"1518","1.4848"
"1519","2.0000"
"1520","2.8077"
"1521","1.1250"
"1522","1.2857"
"1523","1.7000"
"1524","1.9070"
"1525","2.5641"
"1526","1.6744"
"1527","1.8750"
"1528","1.9583"
"1529","2.1923"
"1530","1.7353"
