"Location Name","Latitude","Longitude","Number of years Pirckheimer writes letters from this location","Number of letters written by Pirckheimer from this location","Average number of letters written by Pirckheimer from this location per year"
"Nürnberg","49.45421","11.07752","29","245","8.4483"
"Neunhof","49.55495","11.23017","2","11","5.5000"
"Augsburg","48.37154","10.89851","2","9","4.5000"
"Lindau","47.54612","9.68431","1","3","3.0000"
"Nördlingen","48.85122","10.48868","1","2","2.0000"
"Padova","45.40797","11.88586","1","2","2.0000"
"Pfunds","46.96667","10.55","1","1","1.0000"
"Biberach","48.09345","9.79053","1","1","1.0000"
"Pavia","45.19205","9.15917","1","1","1.0000"
"Ulm","48.39841","9.99155","1","1","1.0000"
