"Year","Number of correspondents receiving letters from Pirckheimer this year","Number of letters sent from Pirckheimer this year"
"1491","1","2"
"1494","1","1"
"1499","5","7"
"1501","1","3"
"1502","5","7"
"1503","4","6"
"1504","4","4"
"1505","1","1"
"1506","2","2"
"1507","5","6"
"1508","1","1"
"1510","1","1"
"1511","4","4"
"1512","5","6"
"1513","12","28"
"1514","13","21"
"1515","20","25"
"1516","12","16"
"1517","13","23"
"1518","12","15"
"1519","10","10"
"1520","10","14"
"1521","11","11"
"1522","6","6"
"1523","6","6"
"1524","8","8"
"1525","9","11"
"1526","5","6"
"1527","11","12"
"1528","16","11"
"1529","6","6"
"1530","8","8"
