"Year","Number of correspondents writing letters to Pirckheimer this year","Number of letters sent to Pirckheimer this year"
"1495","1","1"
"1499","2","29"
"1501","3","3"
"1502","3","5"
"1504","1","1"
"1505","7","24"
"1506","20","52"
"1507","17","29"
"1508","3","6"
"1509","5","7"
"1510","1","1"
"1511","5","9"
"1512","5","25"
"1513","9","28"
"1514","7","23"
"1515","11","12"
"1516","8","16"
"1517","28","78"
"1518","33","49"
"1519","36","72"
"1520","26","75"
"1521","8","9"
"1522","7","9"
"1523","10","17"
"1524","44","83"
"1525","39","101"
"1526","43","73"
"1527","32","60"
"1528","24","47"
"1529","26","58"
"1530","34","59"
