"YEAR","NewCorrWritingToPirck"
"NULL","0"
"NULL","0"
"NULL","0"
"NULL","0"
"NULL","0"
"NULL","0"
"1495","1"
"NULL","0"
"NULL","0"
"NULL","0"
"1499","1"
"NULL","0"
"1501","2"
"1502","2"
"NULL","0"
"1504","1"
"1505","5"
"1506","14"
"1507","9"
"1508","2"
"1509","3"
"1511","3"
"1512","1"
"1513","4"
"1514","3"
"1515","7"
"1516","4"
"1517","15"
"1518","21"
"1519","21"
"1520","12"
"1521","1"
"1522","3"
"1523","3"
"1524","27"
"1525","12"
"1526","12"
"1527","8"
"1528","8"
"1529","8"
"1530","7"
"NULL","0"
"NULL","0"
"NULL","0"
"NULL","0"
"NULL","0"
"NULL","0"
