"recipient_id","name_in_edition","Number of letters sent by Pirckheimer to this correspondent"
"340496ce-5779-4edf-8f68-fd0141451b27","Rat der Stadt Nürnberg","28"
"be1dcbc4-3987-472a-b4a0-c3305ead139f","Ungenannt // Unbekannt","18"
"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Desiderius Erasmus","15"
"1418e3ea-66a2-44a8-a4ec-3600f6bff1eb","Johann von Schwarzenberg","13"
"801483b2-c423-4b08-957b-fc245b201c87","Bischof Georg von Bamberg // Georg III., Schenk von Limpurg","13"
"c7280d05-7044-4b72-9af8-5dcff8b57743","Hermann von Neuenahr","10"
"cf6d52cd-2ef5-49ff-8e06-04b8ffa8f56e","Bernhard Adelmann","10"
"34bdbfd6-fc21-429b-9935-21bfc976c386","Anton Kreß","8"
"14dfb636-35b2-4f7f-b356-4f5e3ce31704","Kilian Leib","7"
"1d206913-3666-4b58-9ec3-ff95863e8f94","Johannes Oecolampadius","7"
"8c816868-8923-4daa-a154-e00dd8f38dff","Johannes Reuchlin","7"
"01158833-7c72-471b-92a6-68219236b5e3","Caritas Pirckheimer d. Ä.","6"
"fbe48cf3-563d-4db6-8ebe-176778754602","Veit Bild","6"
"048e0147-58cf-45e5-8312-f52998ca0ee4","Hieronymus Emser","5"
"0ec03581-0e29-4e21-88cd-139033fd0f9e","Beatus Rhenanus","5"
"6fc3d197-6ece-40c4-829a-fb63f2ed1ea3","Ulrich von Hutten","5"
"815a554d-ab8d-4726-bb2a-7fc02321b3e3","Kaiser Maximilian","5"
"e921d3e6-9dc2-40e7-9fe6-902dcd5cfe9b","Georg Spalatin","5"
"41247441-d948-4e05-9904-f0e97e4a93f7","Konrad Celtis","4"
"87af3740-6b36-4e29-b4eb-b699da0ee2ab","Heinrich Stromer","4"
"8ad99d13-2ff3-4b64-b5aa-253a2613dc74","Johannes Cochläus","4"
"13d9f78b-717e-44fb-a12a-c60936064c2a","Hans Pirckheimer","3"
"2bf9cc2d-d91a-4d46-b38a-c2c0584f1ab0","Philipp Melanchthon","3"
"33114d5c-9a6d-45c0-916c-59090904787f","Sebastian Sperantius","3"
"4cabf5c0-2b3c-4bb7-9837-8e29e814d814","Hans Scharpff // Hans Scharpf","3"
"8444896d-fb1b-4eb5-9f39-39b1e78d470c","Jakob de Bannissis","3"
"a8915958-1e3e-4751-a321-72aff9459479","Michael Hummelberg","3"
"ed930b47-2327-461d-8784-59d26a9694dd","Ulrich Varnbühler // Ulrich Varnbüler","3"
"0075c169-6576-4112-99ef-80dbaa3bfeb7","Wenceslaus Linck","2"
"090248fc-426e-4cf6-9d53-348e10aed335","Johannes Trithemius","2"
"0a95f39c-14b2-4b72-8af4-2499f2e74f1a","Hans Geuder","2"
"0d599fd9-9b40-486b-b020-05270480e038","Giovanni Francesco Pico della Mirandola","2"
"1a6fcf1d-5396-4d62-b0b2-ae3f59589fa7","Kaspar von Eyb","2"
"2aa41263-d982-430a-886a-7ca04aa606f0","Eufemia Pirckheimer","2"
"4c4a50b8-17ae-4d2b-9d4e-af875c1fcff4","Georg Geuder","2"
"4e1811b8-de56-49bd-b14e-64ffae110e46","Helius Eobanus Hessus","2"
"571100dc-d375-4337-bf6e-f0648770f2d3","Johann Hipler","2"
"60fe675b-3fee-49ac-b637-0c26342e511c","Franciscus Irenicus","2"
"62ef8b11-62fe-4cd7-b137-1fbca96c7a84","Johann Huttich","2"
"7757435c-2f90-47a9-b456-fd93dcc011fd","Gabriel von Streitberg","2"
