"Location Name","Latitude","Longitude","Number of correspondents Pirckheimer writes to","Number of letters written by Pirckheimer","Average Number of letters per correspondent"
"Nuremberg","49.45421","11.07752","15","48","3.2000"
"Augsburg","48.37154","10.89851","7","21","3.0000"
"Bamberg","49.89873","10.90067","6","33","5.5000"
"Strasbourg","48.58342","7.74296","4","6","1.5000"
"Klarissenkloster St. Klara","49.4486","11.0794","4","8","2.0000"
"Rome","41.89193","12.51133","4","5","1.2500"
"Leipzig","51.33962","12.37129","4","7","1.7500"
"Bologna","44.49381","11.33875","4","4","1.0000"
"Bergen Abbey","48.7842","11.1421","4","3","0.7500"
"Basel","47.5584","7.57327","4","17","4.2500"
"Mainz","49.98419","8.2791","3","3","1.0000"
"Heidelberg","49.40768","8.69079","3","4","1.3333"
"Vienna","48.20849","16.37208","3","7","2.3333"
"Ingolstadt","48.76508","11.42372","3","3","1.0000"
"Wittenberg","51.8661","12.64973","3","7","2.3333"
"Tübingen","48.52266","9.05222","2","2","1.0000"
"Sélestat","48.26667","7.45","2","3","1.5000"
"Freiburg im Breisgau","47.9959","7.85222","2","2","1.0000"
"Geisenfeld Abbey","48.6833","11.6135","2","3","1.5000"
"Cologne","50.93333","6.95","2","10","5.0000"
"Neuenstein","49.2049","9.58","1","1","1.0000"
"Monastery Rebdorf","48.8881","11.1676","1","5","5.0000"
"Neustadt an der Aisch","49.57953","10.61126","1","1","1.0000"
"Monastery Schamhaupten","48.9138","11.5966","1","2","2.0000"
"Ravensburg","47.78198","9.61062","1","3","3.0000"
"Speyer","49.32083","8.43111","1","1","1.0000"
"Stuttgart","48.78232","9.17702","1","6","6.0000"
"Venice","45.43713","12.33265","1","1","1.0000"
"Weinsberg","49.15127","9.28762","1","2","2.0000"
"Ferrara","44.84346","11.60868","1","1","1.0000"
"Ansbach","49.30481","10.5931","1","1","1.0000"
"Antwerp","51.21989","4.40346","1","3","3.0000"
"Arberg","49.14428","10.61722","1","2","2.0000"
"Bad Windsheim","49.50274","10.41539","1","1","1.0000"
"Brixen","46.71503","11.65598","1","2","2.0000"
"Dresden","51.05089","13.73832","1","5","5.0000"
"Eichstätt","48.88854","11.19675","1","2","2.0000"
"Erfurt","50.9787","11.03283","1","1","1.0000"
"Mirandola","44.88515","11.06902","1","2","2.0000"
"Frankfurt am Main","50.11552","8.68417","1","1","1.0000"
"Herford","52.11457","8.67343","1","1","1.0000"
"Innsbruck","47.26266","11.39454","1","1","1.0000"
"Kaisheim","48.76751","10.79639","1","1","1.0000"
"Altenburg","50.98763","12.43684","1","2","2.0000"
"Laufenburg","47.56512","8.06045","1","1","1.0000"
"Leuven","50.87959","4.70093","1","2","2.0000"
