"LocationName","Latitude","Longitude","NoLettersWrittenTOPirckheimer","NoLettersWrittenBYPirckheimerTO"
"Basel","47.5584","7.57327","45","17"
"Freiburg","47.9959","7.85222","9","2"
"Frankfurt am Main","50.11552","8.68417","10","1"
"Antwerpen","51.21989","4.40346","1","3"
"Leuven","50.87959","4.70093","4","2"
"Nürnberg","49.45421","11.07752","200","48"
"Augsburg","48.37154","10.89851","110","21"
"Ravensburg","47.78198","9.61062","4","3"
"Vienna","48.20849","16.37208","12","7"
"Altenburg","50.98763","12.43684","5","2"
"Rome","41.89193","12.51133","6","5"
"Herford","52.11457","8.67343","20","1"
"Bergen Abbey","48.73218","11.18709","85","4"
"Speyer","49.32083","8.43111","NULL","1"
"Klarissenkloster St. Klara","49.448611","11.079444","71","8"
"Köln","50.93333","6.95","5","9"
"Monastery Rebdorf","48.888103","11.167556","8","5"
"Sélestat","48.26667","7.45","2","3"
"Kaisheim","48.76751","10.79639","NULL","1"
"Arberg","49.14428","10.61722","NULL","2"
"Ferrara","44.84346","11.60868","1","1"
"Ingolstadt","48.76508","11.42372","14","3"
"Bad Windsheim","49.50274","10.41539","NULL","1"
"Laufenburg","47.56512","8.06045","NULL","1"
"Mainz","49.98419","8.2791","4","3"
"Wittenberg","51.8661","12.64973","12","7"
"Stuttgart","48.78232","9.17702","10","6"
"Bamberg","49.89873","10.90067","89","33"
"Ansbach","49.30481","10.5931","3","1"
"Strasbourg","48.58342","7.74296","12","6"
"Neustadt an der Aisch","49.57953","10.61126","NULL","1"
"Geisenfeld Abbey","48.683256","11.613472","19","3"
"Heidelberg","49.40768","8.69079","NULL","4"
"Bressanone","46.71503","11.65598","NULL","2"
"Bologna","44.49381","11.33875","22","4"
"Mirandola","44.88515","11.06902","3","2"
"Dresden","51.05089","13.73832","5","5"
"Eichstätt","48.88854","11.19675","13","2"
"Weinsberg","49.15127","9.28762","1","2"
"Tübingen","48.52266","9.05222","3","2"
"Monastery Schamhaupten","48.91497","11.59863","NULL","2"
"Leipzig","51.33962","12.37129","27","7"
"Neuenstein","49.2049","9.58","2","1"
"Venice","45.43713","12.33265","19","1"
"Erfurt","50.9787","11.03283","5","1"
"Esslingen","48.73961","9.30473","2","NULL"
"Toledo","39.8581","-4.02263","4","NULL"
"Königstein","49.60854","11.63143","1","NULL"
"Donauwörth","48.71804","10.7793","4","NULL"
"Graz","47.06667","15.45","1","NULL"
"Bad Tölz","47.76111","11.5589","1","NULL"
"Nördlingen","48.85122","10.48868","4","NULL"
"Schloss Schwarzenberg (Scheinfeld)","49.672","10.47555","1","NULL"
"Sevilla","37.38283","-5.97317","2","NULL"
"Granada","37.18817","-3.60667","4","NULL"
"Passau","48.5665","13.43122","5","NULL"
"Innsbruck","47.26266","11.39454","13","NULL"
"Lichtenau","49.27746","10.68674","4","NULL"
"Mainz-St. Viktorsberg","49.98419","8.2791","3","NULL"
"Katharinenkloster Nürnberg","49.451667","11.081944","1","NULL"
"Prague","50.08804","14.42076","1","NULL"
"Valladolid","41.65518","-4.72372","4","NULL"
"Milano","45.46427","9.18951","5","NULL"
"Pillenreuth Abbey","49.379167","11.078056","1","NULL"
"Feldkirch","47.23306","9.6","13","NULL"
"Tours","47.38333","0.68333","1","NULL"
"Palencia","42.00955","-4.52406","1","NULL"
"Burgos","42.35022","-3.67527","5","NULL"
"Toulouse","43.60426","1.44367","1","NULL"
"Orléans","47.90289","1.90389","1","NULL"
"Forchheim","49.71754","11.05877","2","NULL"
"Schwäbisch Hall","49.11127","9.73908","2","NULL"
"Wrocław","51.1","17.03333","4","NULL"
"Blois","47.58333","1.33333","2","NULL"
"Salzburg","47.79941","13.04399","1","NULL"
"Munich","48.13743","11.57549","2","NULL"
"Neumarkt in der Oberpfalz","49.28028","11.46278","1","NULL"
