"LocationName","Latitude","Longitude","NoLettersWrittenByPirckheimerTO","NoLettersWrittenBYPirckheimerAT"
"Altenburg","50.98763","12.43684","2","NULL"
"Ansbach","49.30481","10.5931","1","NULL"
"Antwerpen","51.21989","4.40346","3","NULL"
"Arberg","49.14428","10.61722","2","NULL"
"Augsburg","48.37154","10.89851","21","9"
"Bad Windsheim","49.50274","10.41539","1","NULL"
"Bamberg","49.89873","10.90067","33","NULL"
"Basel","47.5584","7.57327","17","NULL"
"Bergen Abbey","48.73218","11.18709","4","NULL"
"Bologna","44.49381","11.33875","4","NULL"
"Bressanone","46.71503","11.65598","2","NULL"
"Dresden","51.05089","13.73832","5","NULL"
"Eichstätt","48.88854","11.19675","2","NULL"
"Erfurt","50.9787","11.03283","1","NULL"
"Ferrara","44.84346","11.60868","1","NULL"
"Frankfurt am Main","50.11552","8.68417","1","NULL"
"Freiburg","47.9959","7.85222","2","NULL"
"Geisenfeld Abbey","48.683256","11.613472","3","NULL"
"Heidelberg","49.40768","8.69079","4","NULL"
"Herford","52.11457","8.67343","1","NULL"
"Ingolstadt","48.76508","11.42372","3","NULL"
"Kaisheim","48.76751","10.79639","1","NULL"
"Klarissenkloster St. Klara","49.448611","11.079444","8","NULL"
"Köln","50.93333","6.95","9","NULL"
"Laufenburg","47.56512","8.06045","1","NULL"
"Leipzig","51.33962","12.37129","7","NULL"
"Leuven","50.87959","4.70093","2","NULL"
"Mainz","49.98419","8.2791","3","NULL"
"Mirandola","44.88515","11.06902","2","NULL"
"Monastery Rebdorf","48.888103","11.167556","5","NULL"
"Monastery Schamhaupten","48.91497","11.59863","2","NULL"
"Neuenstein","49.2049","9.58","1","NULL"
"Neustadt an der Aisch","49.57953","10.61126","1","NULL"
"Nürnberg","49.45421","11.07752","48","245"
"Ravensburg","47.78198","9.61062","3","NULL"
"Rome","41.89193","12.51133","5","NULL"
"Sélestat","48.26667","7.45","3","NULL"
"Speyer","49.32083","8.43111","1","NULL"
"Strasbourg","48.58342","7.74296","6","NULL"
"Stuttgart","48.78232","9.17702","6","NULL"
"Tübingen","48.52266","9.05222","2","NULL"
"Venice","45.43713","12.33265","1","NULL"
"Vienna","48.20849","16.37208","7","NULL"
"Weinsberg","49.15127","9.28762","2","NULL"
"Wittenberg","51.8661","12.64973","7","NULL"
"Biberach","48.09345","9.79053","NULL","1"
"Lindau","47.54612","9.68431","NULL","3"
"Neunhof","49.55495","11.23017","NULL","11"
"Nördlingen","48.85122","10.48868","NULL","2"
"Padova","45.40797","11.88586","NULL","2"
"Pavia","45.19205","9.15917","NULL","1"
"Pfunds","46.96667","10.55","NULL","1"
"Ulm","48.39841","9.99155","NULL","1"
