"locations_name_modern","YEAR","COUNT"
"Augsburg","1511","1"
"Augsburg","1514","2"
"Augsburg","1515","3"
"Augsburg","1516","2"
"Augsburg","1517","4"
"Augsburg","1523","2"
"Augsburg","1526","1"
"Augsburg","1527","2"
"Augsburg","1528","2"
"Augsburg","1530","2"
"Bamberg","1512","3"
"Bamberg","1513","11"
"Bamberg","1514","7"
"Bamberg","1515","2"
"Bamberg","1516","4"
"Bamberg","1517","2"
"Bamberg","1519","1"
"Bamberg","1520","3"
"Basel","1513","1"
"Basel","1514","1"
"Basel","1515","3"
"Basel","1520","1"
"Basel","1522","1"
"Basel","1523","2"
"Basel","1524","2"
"Basel","1525","1"
"Basel","1526","2"
"Basel","1527","1"
"Basel","1528","1"
"Basel","1530","1"
"Nürnberg","1491","2"
"Nürnberg","1494","1"
"Nürnberg","1499","5"
"Nürnberg","1507","2"
"Nürnberg","1511","1"
"Nürnberg","1512","1"
"Nürnberg","1513","10"
"Nürnberg","1514","1"
"Nürnberg","1515","1"
"Nürnberg","1517","2"
"Nürnberg","1518","5"
"Nürnberg","1520","2"
"Nürnberg","1521","3"
"Nürnberg","1524","1"
"Nürnberg","1525","3"
"Nürnberg","1526","2"
"Nürnberg","1527","2"
"Nürnberg","1528","2"
"Nürnberg","1529","1"
"Nürnberg","1530","1"
